brocade.id,ResourceID,card,order,Comment,UserID,Legacy Comment Type
tg:lhhs:17334,3698a1a3-0d00-5a10-bd3a-812ed629f918,Users,1,Geschonken na de presentatie,jvhecke,Commentaar gebruiker
tg:lhhs:14518,b97aca93-8153-527b-a9fb-dc9de55a875f,Users,1,Aankoop The Romantic Agony.,usystem,Commentaar gebruiker
tg:lhhs:1065,ea19602d-05b7-53a9-bc55-50efe2d76cd7,Users,1,"\nachtelik\nacht01-02.tif
",jvhecke,Commentaar gebruiker
tg:lhhs:14774,a419dee8-f661-5109-95c0-6d6cdd8fc50d,Users,1,"Aankoop bij The Romantic Agony, Brussel.",jvhecke,Commentaar gebruiker
tg:lhhs:10737,8a18b25d-0f42-57be-9992-8adf19b6d0b5,Users,1,Familiegeschiedenis van de Lampo's,lwilmots,Commentaar gebruiker
tg:lhhs:3849,8be18338-aaec-5ee0-9abc-602082cd2b12,Users,1,HIRES021\mk\mk07.tif,usystem,Commentaar gebruiker
tg:lhhs:11872,7488fdc0-3145-5793-a212-a76f700aab79,Users,1,inzage alleen met toestemming auteur.,jcornilly,Commentaar gebruiker
tg:lhhs:14670,aa6bbac7-c2f0-51db-9320-b96740836cbf,Users,1,Geschenk René Pandelaers.,usystem,Commentaar gebruiker
tg:lhhs:11999,ca2a309d-a45e-5f44-9365-e3e520fb5a84,Users,1,"Geschenk van mevrouw Mia Jespers, Rotselaar.",usystem,Commentaar gebruiker
tg:lhhs:1589,8e9c0733-7a45-568f-893b-73fc0ebe59ba,Users,1,"bijlage bij brief van F. Van der Auwera aan Dietsche Warande en Belfort, 26 februari 1965",usystem,Commentaar gebruiker
tg:lhhs:11327,f4436af3-3625-5399-875d-934222949527,Users,1,"Bij publicatie toelating te vragen aan:
Dr. Rouse
Oude Oostendsesteenweg
Brugge",usystem,Commentaar gebruiker
tg:lhhs:10189,f20a2240-2a8a-5eb8-95f1-2b154abd4441,Users,1,Over Victor Hugo.,usystem,Commentaar gebruiker
tg:lhhs:14430,5f7e6c0d-be49-548b-a7e3-0b65040ca9a8,Users,1,Het handschrift zit als bijlage bij een brief van A. Nahon aan zuster Appoline (inv. nr.: 218544/2a-c).,jvhecke,Commentaar gebruiker
tg:lhhs:14719,64c4b43a-cef4-515d-b147-0ef87ed6f841,Users,1,Aankoop bij Pierre Taeijmans.,jcort,Commentaar gebruiker
tg:lhhs:5270,d8c3f3f6-ab14-5cac-90f1-66d345509cda,Users,1,Gekocht van boekhandelaar Horemans voor 75 fr. (3-9-1934),usystem,Commentaar gebruiker
tg:lhhs:1663,089d60d9-d4f9-52e5-8c7e-912394db8896,Users,1,bijlage bij brief van J. Deleu aan Dietsche Warande en Belfort (150869/1a) terug te vinden in brievendossier W 256/B2 (periode A. Westerlinck 1945-1968)2,usystem,Commentaar gebruiker
tg:lhhs:11409,aa65b0da-9138-5f43-abcc-4fce1393b57f,Users,1,Niet te raadplegen!,usystem,Commentaar gebruiker
tg:lhhs:14534,aacf66f2-4a4f-55fa-88bf-853d5bf490ee,Users,1,Aankoop De Slegte,usystem,Commentaar gebruiker
tg:lhhs:14867,4fd4a289-b194-5d1b-841c-1146ea389b3a,Users,1,Aankoop De Slegte.,jvhecke,Commentaar gebruiker
tg:lhbr:218584,b544c937-61e2-53e3-9b09-5e19f5a0e4f3,Users,1,SA848 SA925-79 SA1037 SA1144 1220,usystem,Commentaar gebruiker
tg:lhbr:238831,d2362082-f4d5-503c-9c00-ee0dad0764b3,Users,1,Aankoop antiquariaat Demian.,usystem,Commentaar gebruiker
tg:lhbr:220152,b82b0755-b25a-5ce4-8bd7-a778fa758720,Users,1,SA830,usystem,Commentaar gebruiker
tg:lhbr:231743,e6f180ba-1f64-5344-b2a4-436f3c60ec48,Users,1,Geschonken door Monika Stockebrand - Jacobs.,usystem,Commentaar gebruiker
tg:lhbr:221743,62bd37d1-b3d4-58a0-a632-87aee0e423f7,Users,1,SA943,usystem,Commentaar gebruiker
tg:lhbr:220851,e0b47039-22d8-57ee-919c-124618efea3a,Users,1,SA1001 SA840,usystem,Commentaar gebruiker
tg:lhbr:223284,73f04d1c-8409-518f-98d6-774df36623a7,Users,1,SB,usystem,Commentaar gebruiker
tg:lhbr:236985,f3c7e152-e1e3-5264-9a88-b0690050f89a,Users,1,Aankoop Julien Weverbergh.,usystem,Commentaar gebruiker
tg:lhbr:218838,c8443a9b-6d33-5580-8217-f312fc1b6314,Users,1,SA936 SA836,usystem,Commentaar gebruiker
tg:lhbr:221256,a383a226-5a3d-5e28-8191-7c2d8c7ae565,Users,1,SA831,usystem,Commentaar gebruiker
tg:lhbr:218992,e6730402-74da-5e7b-a0fd-f19fa1f0e043,Users,1,SA836 SA850/991 SA1380,usystem,Commentaar gebruiker
tg:lhbr:221606,7144f43e-a930-5cef-99ef-f7d768f56315,Users,1,SB,usystem,Commentaar gebruiker
tg:lhbr:220914,d0a56767-5096-5a87-9cb9-8e0db9cb19ce,Users,1,SA941 SA963 SA992 SA995 SA1003 SA1018 SA1395,usystem,Commentaar gebruiker
tg:lhbr:238974,c23051b5-8aa4-5079-9d2c-9b3b5cfdff7a,Users,1,"Deel van Aankoop bij Veilinghuis Marc van de Wiele, Brugge.",usystem,Commentaar gebruiker
tg:lhbr:236593,2b8c976d-2508-5f85-a8e7-db2214a5e3e4,Users,1,Aankoop veiling The Romantic Agony.,usystem,Commentaar gebruiker
tg:lhbr:231256,c4d6d132-b0f8-582f-94d2-7d05bfc1fe3e,Users,1,SA988,usystem,Commentaar gebruiker
tg:lhbr:220447,b72f2a90-284d-503b-b191-167fe1627d02,Users,1,SA899 SA1001 ,usystem,Commentaar gebruiker
