ResourceID,brocade.id,Acquisition Brocade ID,card,order,Acquisition Name,Acquisition Identifier
002b48b1-16b1-58b1-ada4-fcdd1fc7dbc3,tg:lhhs:1966,tr:lh:1944,Acquisitions,1,Archief van Gentil Antheunis,{'url':'https://id.letterenhuis.be/ark:/24970/002b48b1-16b1-58b1-ada4-fcdd1fc7dbc3'}
006b3aec-045b-5451-9720-4d69be9f8d4f,tg:lhbr:154616,tr:lh:2702,Acquisitions,1,Archiefstukken van Jan Broeckx,{'url':'https://id.letterenhuis.be/ark:/24970/006b3aec-045b-5451-9720-4d69be9f8d4f'}
008553ab-b0df-5eee-aae8-7bdcef550d61,tg:lhhs:16620,tr:lh:5002,Acquisitions,1,Archief van Vlaamsche Arbeid (1905 - 1930) uit de nalatenschap van Jozef Muls,{'url':'https://id.letterenhuis.be/ark:/24970/008553ab-b0df-5eee-aae8-7bdcef550d61'}
00d8dd8f-1b48-5b38-9299-703fa3b7548f,tg:lhbr:151947,tr:lh:5510,Acquisitions,1,Archief van August Vermeylen,{'url':'https://id.letterenhuis.be/ark:/24970/00d8dd8f-1b48-5b38-9299-703fa3b7548f'}
00e0cefb-cedd-5ccb-9cc9-713e213bb7c3,tg:lhhs:1399,tr:lh:2682,Acquisitions,1,Archiefstukken van Piet van Aken,{'url':'https://id.letterenhuis.be/ark:/24970/00e0cefb-cedd-5ccb-9cc9-713e213bb7c3'}
00e88c12-8d1b-5d69-8ce4-1c3477c2eb6f,tg:lhhs:7888,tr:lh:3148,Acquisitions,1,Schenking van Ger Schmook [Sr.],{'url':'https://id.letterenhuis.be/ark:/24970/00e88c12-8d1b-5d69-8ce4-1c3477c2eb6f'}
01029917-ea09-5c49-88f8-3107b8203fdb,tg:lhhs:6124,tr:lh:4911,Acquisitions,1,Archiefstukken van Gerard Walschap,{'url':'https://id.letterenhuis.be/ark:/24970/01029917-ea09-5c49-88f8-3107b8203fdb'}
016f671f-9952-59f2-b796-8ac25ff1b643,tg:lhbr:234812,tr:lh:9767,Acquisitions,1,Archief van het tijdschrift Yang,{'url':'https://id.letterenhuis.be/ark:/24970/016f671f-9952-59f2-b796-8ac25ff1b643'}
01ad13f5-dfd2-5a59-894c-b4275a34caa5,tg:lhbr:205359,tr:lh:6886,Acquisitions,1,Archief van Stijn Streuvels,{'url':'https://id.letterenhuis.be/ark:/24970/01ad13f5-dfd2-5a59-894c-b4275a34caa5'}
020ae529-3754-5786-8d19-a01f11525539,tg:lhbr:102975,tr:lh:403,Acquisitions,1,Archief van Jan Blockx,{'url':'https://id.letterenhuis.be/ark:/24970/020ae529-3754-5786-8d19-a01f11525539'}
0231e8fd-5eee-5636-93ff-3f3498c33beb,tg:lhdc:302,tr:lh:126473,Acquisitions,1,Archief van Prudens van Duyse,{'url':'https://id.letterenhuis.be/ark:/24970/0231e8fd-5eee-5636-93ff-3f3498c33beb'}
02454729-d3d6-501d-8ee7-a4831387df5f,tg:lhbr:38924,tr:lh:6036,Acquisitions,1,Archief van Luc Debaene,{'url':'https://id.letterenhuis.be/ark:/24970/02454729-d3d6-501d-8ee7-a4831387df5f'}
0262873a-ea2e-52a1-8e70-927cf5cb4851,tg:lhbr:51411,tr:lh:5604,Acquisitions,1,Archief van Lode Baekelmans,{'url':'https://id.letterenhuis.be/ark:/24970/0262873a-ea2e-52a1-8e70-927cf5cb4851'}
02770941-2413-5f4b-bcdb-47b9a121b2b1,tg:lhbr:283621,tr:lh:7843,Acquisitions,1,Archief van André Demedts,{'url':'https://id.letterenhuis.be/ark:/24970/02770941-2413-5f4b-bcdb-47b9a121b2b1'}
02917625-d597-55ee-a36f-2b17c557e5d8,tg:lhbr:214548,tr:lh:7406,Acquisitions,1,Archief van Randstad (1961 - 1966),{'url':'https://id.letterenhuis.be/ark:/24970/02917625-d597-55ee-a36f-2b17c557e5d8'}
02987efd-f3fe-537f-bb04-fc796552f50c,tg:lhbr:226593,tr:lh:7336,Acquisitions,1,Archief van Michel Seuphor,{'url':'https://id.letterenhuis.be/ark:/24970/02987efd-f3fe-537f-bb04-fc796552f50c'}
03121ee9-cc5a-5ae2-a79f-d11a9547c51a,tg:lhdc:266,tr:lh:126473,Acquisitions,1,Archief van Prudens van Duyse,{'url':'https://id.letterenhuis.be/ark:/24970/03121ee9-cc5a-5ae2-a79f-d11a9547c51a'}
03195429-c200-57f6-97ff-6247e9bf028e,tg:lhhs:12823,tr:lh:7870,Acquisitions,1,Archief van Michel Seuphor,{'url':'https://id.letterenhuis.be/ark:/24970/03195429-c200-57f6-97ff-6247e9bf028e'}
031b3d9b-2202-5a05-8236-e60a460a606c,tg:lhhs:17363,tr:lh:3032,Acquisitions,1,Nalatenschap van Emmanuel de Bom,{'url':'https://id.letterenhuis.be/ark:/24970/031b3d9b-2202-5a05-8236-e60a460a606c'}
03236c82-4e04-57e7-96a5-690d0bd90161,tg:lhhs:11537,tr:lh:7712,Acquisitions,1,Archiefstukken van Jan Lampo,{'url':'https://id.letterenhuis.be/ark:/24970/03236c82-4e04-57e7-96a5-690d0bd90161'}
032fb63f-baa0-5b3a-a7fd-990b2dc9bdd2,tg:lhbr:48630,tr:lh:3602,Acquisitions,1,Archiefstukken van Koninklijke Nederlandse Schouwburg,{'url':'https://id.letterenhuis.be/ark:/24970/032fb63f-baa0-5b3a-a7fd-990b2dc9bdd2'}
034a0533-24ad-5cc0-a887-57ad27817d48,tg:lhhs:20,tr:lh:2254,Acquisitions,1,Archief van Nieuw Vlaams Tijdschrift (1946 - 1983),{'url':'https://id.letterenhuis.be/ark:/24970/034a0533-24ad-5cc0-a887-57ad27817d48'}
0388dd89-0702-5bf6-bbd1-b1c0c4639250,tg:lhhs:1462,tr:lh:1954,Acquisitions,1,Archief van Klaverendrie (1937 - 1948),{'url':'https://id.letterenhuis.be/ark:/24970/0388dd89-0702-5bf6-bbd1-b1c0c4639250'}
0389cb37-ffd0-5bf6-8b38-2bc041e19b90,tg:lhhs:19150,tr:lh:126473,Acquisitions,1,Archief van Prudens van Duyse,{'url':'https://id.letterenhuis.be/ark:/24970/0389cb37-ffd0-5bf6-8b38-2bc041e19b90'}
