ResourceID,brocade.id,card,order,Language
c5db2aef-7be7-5a21-9146-0c4b9cde508c,tg:lhdc:3721,Languages,1,Nederlands
294454d0-be4b-54ae-92e9-6da58a5fdd5f,tg:lhdc:2833,Languages,1,Nederlands
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,Languages,1,Nederlands
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,tg:lhdc:3371,Languages,1,Nederlands
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,Languages,1,Nederlands
456fc8e4-524f-59bb-a7be-d14de36f2633,tg:lhdc:379,Languages,1,Nederlands
fc51f64c-6faa-5946-b18e-64976edf9643,tg:lhdc:2999,Languages,1,Nederlands
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,Languages,1,Nederlands
8e73840d-ac58-587b-b2db-ae1081b28992,tg:lhdc:2560,Languages,1,Nederlands
b6e13194-eff2-58b9-a59e-60cfe66a3091,tg:lhdc:2075,Languages,1,Nederlands
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,Languages,1,Nederlands
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,tg:lhdc:3664,Languages,1,Nederlands
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,Languages,1,Nederlands
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,Languages,1,Nederlands
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,Languages,1,Nederlands
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,tg:lhdc:3234,Languages,1,Nederlands
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,tg:lhdc:1209,Languages,1,Nederlands
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,tg:lhdc:1823,Languages,1,Nederlands
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,tg:lhdc:1989,Languages,1,Nederlands
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,tg:lhdc:4322,Languages,1,Nederlands
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,Languages,1,Nederlands
4968b442-83f7-5ac9-8739-78a9594fbb21,tg:lhdc:545,Languages,1,Nederlands
