Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card,brocade.id,Archive Brocade ID,Archive Widget,Archive Identifier,source_field,Dimension Source Note,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration URL,Illustration Type,Archive Note,Legacy Information Value,Legacy Information Type,Legacy Information Published,source_code,Object Type,ire.isaar.uuid,ISAAR Brocade ID,Entity Relation,Entity Widget,Entity Identifier,Visual ISAAR Brocade ID,Visual Actor Role,Visual Actor Widget,Visual Actor Identifier,Brocade Production Actor ID,Production Actor Role,Production Actor Widget,Production Actor Identifier,Start Date
tg:mpmph:14,Foto's,177dc347-eab9-5aa9-9bed-bcc55aa5c471,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/177dc347-eab9-5aa9-9bed-bcc55aa5c471,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,Archives,tg:mpmph:14,isad:mpm:661,"dlod={""id"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""brocadeID"":""isad:mpm:661"",""archivesSpaceID"":""/repositories/10/archival_objects/225375"",""name"":""Max Rooses herdacht 1939"",""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceID"":""/repositories/10/resources/2910"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,DimensionSourceNotes,tg:mpmph:14,,,,kenmerken.mpmformatph,175 x 233,,,,,,,,,,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,Dimensions,tg:mpmph:14,,,,kenmerken.mpmformatph,,1750.0,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,Dimensions,tg:mpmph:14,,,,kenmerken.mpmformatph,,2330.0,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,Images,tg:mpmph:14,,,,ill.lowres,,,,,https://anet.be/docstore/d:mpmdoc:3103,Lage resolutie,,,,,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,Items,tg:mpmph:14,,,,,,,,,,,isad:mpm:661,,,,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,LegacyInformation,,,,,id.objectNumber,,,,,,,,BE-ANN00/ph/000000006,referentienummer,False,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,LegacyInformation,,,,,brocade.id,,,,,,,,tg:mpmph:14,brocade id,False,,,,,,,,,,,,,,,,
,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,1,LegacyInformation,,,,,brocade.url,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:14/N,brocade url,False,,,,,,,,,,,,,,,,
