ResourceID,ResourceID_mat,mmb_id,mmb_id_mat,card,order,Material Records
f852791d-0a79-57c2-b98e-5d735f6d903f,6d1d92be-e70f-5b5e-b38c-2e01eab180d4,tg:mmbbr:1,tg:mmbbr:1_#1,e73_MaterialRecords,1,"[{""resourceId"": ""6d1d92be-e70f-5b5e-b38c-2e01eab180d4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""38c07ab2-5c04-467a-b8dc-7c232e61d04b"", ""inverseOntologyProperty"": """"}]"
0f3f8231-8178-5622-b5f4-30a3bd9a24be,207f70c0-f5f4-53dc-b744-a9c6285ac755,tg:mmbbr:2,tg:mmbbr:2_#1,e73_MaterialRecords,1,"[{""resourceId"": ""207f70c0-f5f4-53dc-b744-a9c6285ac755"", ""ontologyProperty"": """", ""resourceXresourceId"": ""351fbcca-c515-4632-a593-ca0b7b649ac8"", ""inverseOntologyProperty"": """"}]"
eae7745a-9f9c-5e6c-9cc3-5e9a1d0b4825,0da3efe2-2a75-52fc-9fc9-8d247f53d144,tg:mmbbr:3,tg:mmbbr:3_#1,e73_MaterialRecords,1,"[{""resourceId"": ""0da3efe2-2a75-52fc-9fc9-8d247f53d144"", ""ontologyProperty"": """", ""resourceXresourceId"": ""75c5c17c-b4c9-45ad-8bf7-12fea3902185"", ""inverseOntologyProperty"": """"}]"
c2f2bae1-a67b-513f-b735-cb3d5b36eb63,42f7132d-abaf-5239-a1bc-ab6d750a806b,tg:mmbbr:4,tg:mmbbr:4_#1,e73_MaterialRecords,1,"[{""resourceId"": ""42f7132d-abaf-5239-a1bc-ab6d750a806b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""82cef0cb-3215-4204-9618-2797a29a373d"", ""inverseOntologyProperty"": """"}]"
bbd62327-a257-5e38-b790-ab53a462d876,f962a591-a006-5498-b96d-26bbe01c3c46,tg:mmbbr:5,tg:mmbbr:5_#1,e73_MaterialRecords,1,"[{""resourceId"": ""f962a591-a006-5498-b96d-26bbe01c3c46"", ""ontologyProperty"": """", ""resourceXresourceId"": ""af482550-38f4-415c-b770-3035656cbc4e"", ""inverseOntologyProperty"": """"}]"
ab07241e-2ffd-56cf-8d97-168c23b93822,fd77d97e-c46a-5165-80d3-16f40bae3c2b,tg:mmbbr:6,tg:mmbbr:6_#1,e73_MaterialRecords,1,"[{""resourceId"": ""fd77d97e-c46a-5165-80d3-16f40bae3c2b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c9ef72e2-8ba8-4164-bd38-48a9d6e3a88c"", ""inverseOntologyProperty"": """"}]"
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,a562543c-4244-5348-8cb3-d4a785dff5e7,tg:mmbbr:7,tg:mmbbr:7_#1,e73_MaterialRecords,1,"[{""resourceId"": ""a562543c-4244-5348-8cb3-d4a785dff5e7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fed95c1d-9134-4451-a1e8-20453f25b891"", ""inverseOntologyProperty"": """"}]"
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,efd8e5d6-e538-5bba-b50b-7dd1abb30b76,tg:mmbbr:8,tg:mmbbr:8_#1,e73_MaterialRecords,1,"[{""resourceId"": ""efd8e5d6-e538-5bba-b50b-7dd1abb30b76"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1c6ad631-c11b-495e-a052-1d1374252bd6"", ""inverseOntologyProperty"": """"}]"
6e37c57a-1e06-5e63-a473-510ab3bb0a35,81b650c6-a859-5ab8-8dc1-0e1e0c3bd6c6,tg:mmbbr:9,tg:mmbbr:9_#1,e73_MaterialRecords,1,"[{""resourceId"": ""81b650c6-a859-5ab8-8dc1-0e1e0c3bd6c6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4c63ffe1-561c-47a4-9993-a71fdd5c2840"", ""inverseOntologyProperty"": """"}]"
3bb8c58c-8350-5b76-b227-1ec229458ba3,9e281934-a52e-50af-96b2-373b1d9d1db6,tg:mmbbr:10,tg:mmbbr:10_#1,e73_MaterialRecords,1,"[{""resourceId"": ""9e281934-a52e-50af-96b2-373b1d9d1db6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""924c0531-2337-4ac4-9927-cb587cbded34"", ""inverseOntologyProperty"": """"}]"
8772c092-86ca-5dc7-82b0-279d2069de5c,adb67cde-0a6f-5e53-ab70-01394694a09e,tg:mmbbr:11,tg:mmbbr:11_#1,e73_MaterialRecords,1,"[{""resourceId"": ""adb67cde-0a6f-5e53-ab70-01394694a09e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9f5ec128-d82c-4d86-8fbd-8cac16826dda"", ""inverseOntologyProperty"": """"}]"
1a4f67fb-b47a-5706-b748-71b9b1a5d5d2,3257aeb2-76f0-5e41-89ae-2f50b7ad69cf,tg:mmbbr:12,tg:mmbbr:12_#1,e73_MaterialRecords,1,"[{""resourceId"": ""3257aeb2-76f0-5e41-89ae-2f50b7ad69cf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""99c48161-fb74-4bf9-8353-346172dd7140"", ""inverseOntologyProperty"": """"}]"
3a3f53a5-bcda-5405-9d18-99f295ad06e3,3a3746a4-32ad-5272-bb25-e83476253ae8,tg:mmbbr:13,tg:mmbbr:13_#1,e73_MaterialRecords,1,"[{""resourceId"": ""3a3746a4-32ad-5272-bb25-e83476253ae8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2428b090-800a-4c01-9f7d-4fad163a4da9"", ""inverseOntologyProperty"": """"}]"
