ResourceID,mmb_id_mat,card,order,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget
6d1d92be-e70f-5b5e-b38c-2e01eab180d4,tg:mmbbr:1_#1,e22_ProductionActors,1,au::115226:1,"Malvezzi, Luigi",briefschrijver,"No match for au::115226, briefschrijver, Malvezzi, Luigi",
6d1d92be-e70f-5b5e-b38c-2e01eab180d4,tg:mmbbr:1_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
207f70c0-f5f4-53dc-b744-a9c6285ac755,tg:mmbbr:2_#1,e22_ProductionActors,1,au::115227:1,"Olivier, Franciscus Johannes",briefschrijver,"No match for au::115227, briefschrijver, Olivier, Franciscus Johannes",
207f70c0-f5f4-53dc-b744-a9c6285ac755,tg:mmbbr:2_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
0da3efe2-2a75-52fc-9fc9-8d247f53d144,tg:mmbbr:3_#1,e22_ProductionActors,1,au::20898:1,"Vijt, Camille",briefschrijver,,"dlod={""suggest"":[""/agents/people/2236086"",""au::20898"",""au::20898:1"",""ark:/83110/x0/62491e6c-59ca-5747-a803-be585cc387a1"",""Camille Vyt""],""name"":""Camille Vyt"",""ark"":""ark:/83110/x0/62491e6c-59ca-5747-a803-be585cc387a1"",""uri"":""/agents/people/2236086"",""id"":""au::20898:1"",""isCapacity"":false}"
0da3efe2-2a75-52fc-9fc9-8d247f53d144,tg:mmbbr:3_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
42f7132d-abaf-5239-a1bc-ab6d750a806b,tg:mmbbr:4_#1,e22_ProductionActors,1,au::20898:1,"Vijt, Camille",briefschrijver,,"dlod={""suggest"":[""/agents/people/2236086"",""au::20898"",""au::20898:1"",""ark:/83110/x0/62491e6c-59ca-5747-a803-be585cc387a1"",""Camille Vyt""],""name"":""Camille Vyt"",""ark"":""ark:/83110/x0/62491e6c-59ca-5747-a803-be585cc387a1"",""uri"":""/agents/people/2236086"",""id"":""au::20898:1"",""isCapacity"":false}"
42f7132d-abaf-5239-a1bc-ab6d750a806b,tg:mmbbr:4_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
f962a591-a006-5498-b96d-26bbe01c3c46,tg:mmbbr:5_#1,e22_ProductionActors,1,,"Picqué, Camille",briefschrijver,"No au_code for briefschrijver, Picqué, Camille",
f962a591-a006-5498-b96d-26bbe01c3c46,tg:mmbbr:5_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
fd77d97e-c46a-5165-80d3-16f40bae3c2b,tg:mmbbr:6_#1,e22_ProductionActors,1,au::115229:1,"Feurardent, Félix",briefschrijver,"No match for au::115229, briefschrijver, Feurardent, Félix",
fd77d97e-c46a-5165-80d3-16f40bae3c2b,tg:mmbbr:6_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
a562543c-4244-5348-8cb3-d4a785dff5e7,tg:mmbbr:7_#1,e22_ProductionActors,1,au::115229:1,"Feurardent, Félix",briefschrijver,"No match for au::115229, briefschrijver, Feurardent, Félix",
a562543c-4244-5348-8cb3-d4a785dff5e7,tg:mmbbr:7_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
efd8e5d6-e538-5bba-b50b-7dd1abb30b76,tg:mmbbr:8_#1,e22_ProductionActors,1,au::115230:1,"Cerexhe, Michel",briefschrijver,"No match for au::115230, briefschrijver, Cerexhe, Michel",
efd8e5d6-e538-5bba-b50b-7dd1abb30b76,tg:mmbbr:8_#1,e22_ProductionActors,2,au::12085:1,"Mayer van den Bergh, Fritz",geadresseerde,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}"
81b650c6-a859-5ab8-8dc1-0e1e0c3bd6c6,tg:mmbbr:9_#1,e22_ProductionActors,1,au::115231:1,"Caucich, Antonio Riccardo",briefschrijver,"No match for au::115231, briefschrijver, Caucich, Antonio Riccardo",
