ResourceID,mmb_id,card,order,Acquisition Brocade ID,Acquisition Widget
1416c068-5e55-5fca-a9e9-8d108bac7b37,tg:mmbbr:1246,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
f47e721b-7039-5208-989f-e066149d467d,tg:mmbbr:1247,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
12092386-b603-5dff-b80c-e7119acf9b53,tg:mmbbr:1248,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
36bff2f2-bf2d-52f6-adb6-b889df46457f,tg:mmbbr:1249,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
f7a23184-c34f-5391-9f5a-6c79fe4a95ab,tg:mmbbr:1250,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
32830b1a-65a0-5c71-bc7a-4f535254beab,tg:mmbbr:1251,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
4607ecc1-ce6b-51ea-b60b-94300753d12c,tg:mmbbr:1252,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
820cb08f-0bcb-5a27-a1b6-93ae687aa00c,tg:mmbbr:1253,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
c5708bac-3a24-5412-9e01-41291b2bb29c,tg:mmbbr:1254,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
1c8b5918-c81e-5ba4-9e02-5d995512af2f,tg:mmbbr:1255,e22_Acquisitions,1,tr:lh:9347,"dlod={""name"":""Brief aan Hubert Malfait van Maurice Roelants"",""ark"":""ark:/24970/x0/0a398bbe-aed6-5450-91d2-e182eb2590b7"",""uri"":""/repositories/11/accessions/1000132"",""id"":""tr:lh:9347"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}"
