ResourceID,card,order,Object Identifier,Other Identifier Type,Object Number,Other Identifier,Description Type,Description Language,Description,Language,Record Type
f852791d-0a79-57c2-b98e-5d735f6d903f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f852791d-0a79-57c2-b98e-5d735f6d903f,object identifier,tg:mmbbr:1,MMB.A.0001,descriptive note,Nederlands,de expertise van een schilderij van Madonna met kind in een landschap toegeschreven aan Rafael en in het bezit van Foscati Crespi,Italian (language),Brieven
0f3f8231-8178-5622-b5f4-30a3bd9a24be,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0f3f8231-8178-5622-b5f4-30a3bd9a24be,object identifier,tg:mmbbr:2,MMB.A.0002,descriptive note,Nederlands,"het aanbod van het derde deel van de ""Traité honorifique de la Noblesse d'Anvers""",French (language),Brieven
eae7745a-9f9c-5e6c-9cc3-5e9a1d0b4825,AA,0,https://data.museummayervandenbergh.be/ark:/59511/eae7745a-9f9c-5e6c-9cc3-5e9a1d0b4825,object identifier,tg:mmbbr:3,MMB.A.0003,descriptive note,Nederlands,het aanbod van een medaille van Paus Adrianus VI,French (language),Brieven
c2f2bae1-a67b-513f-b735-cb3d5b36eb63,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c2f2bae1-a67b-513f-b735-cb3d5b36eb63,object identifier,tg:mmbbr:4,MMB.A.0004,descriptive note,Nederlands,"de verzending van de medaille van Paus Adrianus VI, de prijs van een 'Butkens' op de veiling van Vergauwen en de zoektocht naar een ingekaderde gravure 'chasse à courre'",French (language),Brieven
bbd62327-a257-5e38-b790-ab53a462d876,AA,0,https://data.museummayervandenbergh.be/ark:/59511/bbd62327-a257-5e38-b790-ab53a462d876,object identifier,tg:mmbbr:5,MMB.A.0005,descriptive note,Nederlands,"de keuring van tien aangeboden medailles (van Ludovicus Perez, van Adrianus VI, van Maximiliaan en Maria van Bougondië, van Frederik III en Maximiliaan I, van Louis en Maria van Hongarije, van Filips II, Karel V, van Don Juan, van Cruningham en een loden medaille van Matthias)",French (language),Brieven
ab07241e-2ffd-56cf-8d97-168c23b93822,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ab07241e-2ffd-56cf-8d97-168c23b93822,object identifier,tg:mmbbr:6,MMB.A.0006,descriptive note,Nederlands,"de aankoop van enkele stukken op de veiling van Robinson en het aanbod van vijf medailles (van Filips II, van Filips III, van Barbadigus oratur, Karel V en van 'Virnuil')",French (language),Brieven
a3ec9d01-bfe2-501f-8b82-2a146fc11a66,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a3ec9d01-bfe2-501f-8b82-2a146fc11a66,object identifier,tg:mmbbr:7,MMB.A.0007,descriptive note,Nederlands,de verzending van de aankopen op de veiling van Robinson en van twee medailles (van Filips II en van Louis [en Maria] van Hongarije),French (language),Brieven
f7e41eb2-650d-5bfa-a46e-14fd00fa7489,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f7e41eb2-650d-5bfa-a46e-14fd00fa7489,object identifier,tg:mmbbr:8,MMB.A.0008,descriptive note,Nederlands,"het aanbod van dertien medailles (van admiraal Everts, van admiraal de Ruyter, van Leopold van Oostenrijk, van Sigismund van Polen, van Filips II, van Calvijn, van de Geuzen, van een gotisch huwelijk, van de Vrede van Munster, van Jan II en twee van Van Abeele)",French (language),Brieven
6e37c57a-1e06-5e63-a473-510ab3bb0a35,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6e37c57a-1e06-5e63-a473-510ab3bb0a35,object identifier,tg:mmbbr:9,MMB.A.0009,descriptive note,Nederlands,kwitantie voor de aankoop van de zilveren medaille van de Markies de Croy,French (language),Brieven
3bb8c58c-8350-5b76-b227-1ec229458ba3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/3bb8c58c-8350-5b76-b227-1ec229458ba3,object identifier,tg:mmbbr:10,MMM.A.0010,descriptive note,Nederlands,het aanbod van een ruil van een medaille tegen een schilderij van de eigenaar van het kasteel van Tolera,French (language),Brieven
8772c092-86ca-5dc7-82b0-279d2069de5c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/8772c092-86ca-5dc7-82b0-279d2069de5c,object identifier,tg:mmbbr:11,MMB.A.0011,descriptive note,Nederlands,"de verzending van twee munten (het aanbod van drie familiepenningen (van de Caron, van de Sauvage en van Van Os) en van acht penningen die verband houden met de geschiedenis van Antwerpen (van Antigoon, van Filips de Goede, van '1476 MM', van Jean Cobbe, van 'A', van 1541 en een satirische penning), de verzending van twee munten (van Karel V en van Maximiliaan en Maria van Borugondië), de vraag naar geld, de afrekening voor een medaille van Karel de Grote, inlichtingen over een penning van Delft en de vraag naar de prijslimieten voor de veiling van Olivier",French (language),Brieven
1a4f67fb-b47a-5706-b748-71b9b1a5d5d2,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1a4f67fb-b47a-5706-b748-71b9b1a5d5d2,object identifier,tg:mmbbr:12,MMB.A.0012,descriptive note,Nederlands,"Kwitantie voor de aankopen van de veiling Van Van der Straelen-Moons-Van Lerius [beeldhouwwerk, gildebeker]",French (language),Brieven
3a3f53a5-bcda-5405-9d18-99f295ad06e3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/3a3f53a5-bcda-5405-9d18-99f295ad06e3,object identifier,tg:mmbbr:13,MMB.A.0013,descriptive note,Nederlands,de aankoop van enkele stukken [glasramen] op de veiling Van der Straelen-Moons-Van Lerius,French (language),Brieven
df144541-89d0-50b2-8965-5fb50b6c626a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/df144541-89d0-50b2-8965-5fb50b6c626a,object identifier,tg:mmbbr:14,MMB.A.0014,descriptive note,Nederlands,het aanbod van een schilderij toegeschreven aan Van Hoeck en een gotisch meubel (incl. foto),French (language),Brieven
ebe70d5d-b5b0-532e-994e-de0767490b19,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ebe70d5d-b5b0-532e-994e-de0767490b19,object identifier,tg:mmbbr:15,MMB.A.0015,descriptive note,Nederlands,het aanbod van een gotisch schilderij naar Van Eyck voorstellende Christus die de wereld zegent,French (language),Brieven
ac0d947a-e390-5e4a-a16e-164b1e318e90,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ac0d947a-e390-5e4a-a16e-164b1e318e90,object identifier,tg:mmbbr:16,MMB.A.0016,descriptive note,Nederlands,Kwitantie van een zilveren medaille ,French (language),Brieven
0a28e3e5-0fc1-55bf-b30c-ad8b8ba19028,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0a28e3e5-0fc1-55bf-b30c-ad8b8ba19028,object identifier,tg:mmbbr:17,MMB.A.0017,descriptive note,Nederlands,Factuur voor een gotische ijzeren koffer en een geëmailleerde monstrans,French (language),Brieven
