brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Location Number,Archive Note,Warehouse Location (begin),adm.note,Serial Number,Warehouse Location (ende),adm.note.language,adm.note.type
tg:lhob:683,bd7ce636-cc81-583e-a78c-3b8f0752a379,Items,1,tr:lh:2718,53782,R 985 / E,,,,,,Nederlands,remarks
tg:lhob:379,5a61ea94-31bc-52dd-a755-d066d29d47b9,Items,1,tr:lh:2595,47406,R 985 / V,isad:lh:135488,V3 B 1 A1,Doos 19 / 21,,,Nederlands,remarks
tg:lhob:396,bd6a24a7-aded-52a3-b50c-56afca72e232,Items,1,tr:lh:2190,41376,,isad:lh:134666,V3 B 1 A1,,Doos 15 / 40,,Nederlands,remarks
tg:lhob:115,ab42045f-6e40-5c85-9079-435c3680d52a,Items,1,tr:lh:6595,166147,,isad:lh:134459,V3 B 1 A1,,Doos 3 / 5,,Nederlands,remarks
tg:lhob:545,cd2daffa-e245-5210-a2df-5e8d206c2148,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:400,10ca59b0-91e3-567e-998d-80535d66fd46,Items,1,,,,isad:lh:134493,V3 B 1 A1,,Doos 15 / 44,,Nederlands,remarks
tg:lhob:284,d0040669-e75c-5a8b-871b-f280d696ae37,Items,1,tr:lh:7740,200984,S 5621 / V,isad:lh:134700,V3 B 1 A1,Doos 12 / 15,,,Nederlands,remarks
tg:lhob:142,10478800-d203-5ea2-95a8-f28860cc5b30,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 4 / 9,,,Nederlands,remarks
tg:lhob:292,bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,Items,1,,203541,,isad:lh:134513,V3 B 1 A1,,Doos 12 / 21,,Nederlands,remarks
tg:lhob:338,5ebb0f3c-cace-5b57-9dc3-cf73efb31735,Items,1,,,,isad:lh:134720,V3 B 1 A1,,Doos 14 / 19,,Nederlands,remarks
tg:lhob:441,8e3b6e00-2a8c-5128-8fb0-f42e519e1290,Items,1,,,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:695,06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,Items,1,tr:lh:7376,195826/1,,isad:lh:134288,V3 D,,,,Nederlands,remarks
tg:lhob:380,2c34ea20-351b-5681-8156-6799501d4711,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 19,,,Nederlands,remarks
tg:lhob:553,b5714f50-9ce1-55a7-a857-8d0d261f8701,Items,1,tr:lh:7740,200995,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:103,0e3c664a-3014-5589-93a4-614dc7ed5327,Items,1,tr:lh:2497,42161,,isad:lh:134273,V3 B 1 A1,,Doos 2 / 19,,Nederlands,remarks
tg:lhob:416,5cf6fb19-8a38-5706-90ee-85f1a946e015,Items,1,tr:lh:2412,,A 357 / E,,,,,,Nederlands,remarks
tg:lhob:601,ab69a3bf-86ff-5650-895c-5337902b75cd,Items,1,,,S 395 / E,,,,,,Nederlands,remarks
tg:lhob:314,8d2ffbfc-9e25-5c51-be3e-38a01561baf4,Items,1,tr:lh:315,6893,K 376 / V,isad:lh:134288,V3 B 1 A1,Doos 13 / 14,,,Nederlands,remarks
tg:lhob:197,9b7353fd-82c9-510e-9e2f-56bb58d88ad9,Items,1,tr:lh:9709,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 8 / 4,,,Nederlands,remarks
tg:lhob:528,d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,Items,1,tr:lh:6603,163526,G 395 / E,,,,,,Nederlands,remarks
tg:lhob:482,f9af0ba4-1e21-5c18-8ff9-f3f147c5be4f,Items,1,tr:lh:6444,158169,J 422 / V,isad:lh:134507,V3 D,,,,Nederlands,remarks
tg:lhob:656,44e552c6-c31f-5bd1-99c9-0b205cec829e,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,,Nederlands,remarks
tg:lhob:713,aace5079-d656-5063-aa96-7b87fd00e060,Items,1,,,BB 210 / V,isad:lh:148672,V3 B,In verwerking,,,Nederlands,remarks
tg:lhob:343,76a01cb8-b151-59c3-b593-b02b67de188f,Items,1,,1684,,isad:lh:134387,V3 B 1 A1,,Doos 14 / 24,,Nederlands,remarks
tg:lhob:590,ea048364-6101-5492-bef4-6573a816a250,Items,1,,,S 395 / E,,,,,,Nederlands,remarks
tg:lhob:98,a319e252-eb18-5a27-80bb-fa2132d48bf9,Items,1,tr:lh:6514,147122,B 153 / V,isad:lh:134417,V3 B 1 A1,Doos 2 / 3,,,Nederlands,remarks
tg:lhob:77,89346987-6164-5d91-94a1-ab22af09b8e9,Items,1,tr:lh:6595,166.138,A 493 / V,isad:lh:134335,V3 B 1 A1,Doos 1 / 9,,,Nederlands,remarks
tg:lhob:210,4556877c-3dec-5bf7-a0ca-35af1a796385,Items,1,tr:lh:4767,92950,C 2632 / V,isad:lh:134690,V3 B 1 A1,,,,Nederlands,remarks
tg:lhob:640,0f54d3fa-a71c-5e14-ba61-7ea676a233b3,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,,Nederlands,remarks
tg:lhob:355,11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,Items,1,,203541,,isad:lh:134513,V3 B 1 A1,"Doos 14 / 35
",Doos 14 / 35,,Nederlands,remarks
tg:lhob:705,ec713338-1901-5c95-a827-fe2fdffe9b37,Items,1,tr:lh:6812,168497/3,RR 62 / V,,V3 B 1 A1,,,,Nederlands,remarks
tg:lhob:586,675fe7d4-2f9c-544a-8e6a-0b763f40e77b,Items,1,,,S 395 / E,,,,,,Nederlands,remarks
tg:lhob:569,978c5a2b-bb23-5f2c-b10f-d690ec1d52ce,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:139,ea53cb96-164a-5f60-9d88-a1fab88260d0,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 4 / 6,,,Nederlands,remarks
tg:lhob:617,c2b8a3e8-a46f-5bf6-96e7-c8d288dabfe0,Items,1,,,M 5162 / E,,,,,,Nederlands,remarks
tg:lhob:302,56f69663-9f7c-52d9-9357-879ddc002097,Items,1,tr:lh:2212,42177,S 1055 / V,isad:lh:134752,V3 B 1 A1,Doos 13 / 2,,,Nederlands,remarks
tg:lhob:181,036efff3-bcb1-5176-9ca3-d2a37c44220c,Items,1,tr:lh:6595,166150,A 493 / V,isad:lh:134459,V3 B 1 A1,Doos 6 / 6,,,Nederlands,remarks
tg:lhob:549,38df51fb-9845-55ec-8d64-a9bae16384eb,Items,1,tr:lh:7740,200995,S 5621 / E,,,,,,Nederlands,remarks
tg:lhob:375,f86a177c-40a0-5a3d-98e8-ee8114ddef11,Items,1,,,,isad:lh:134799,V3 B 1 A1,,Doos 15 / 17,,Nederlands,remarks
tg:lhob:230,aa7620ed-b248-5012-801d-44af139e0277,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 9,,,Nederlands,remarks
tg:lhob:660,6568f72d-9329-5ca8-affd-da8775f9b2ca,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,,Nederlands,remarks
tg:lhob:288,1e154e2a-486a-5acd-810e-4c7155cbbfa4,Items,1,,,,isad:lh:134720,V3 B 1 A1,,Doos 12 / 13,,Nederlands,remarks
tg:lhob:322,40b73b50-6a75-5243-a771-c34a962e6579,Items,1,,,J 257 / V en J 2547 / V,isad:lh:134720,V3 B 1 A1,Doos 14 / 3,,,Nederlands,remarks
tg:lhob:637,7d7fefa8-3307-51de-a7ac-da11e4248928,Items,1,tr:lh:7398,196044,R 985/ E,,,,,,Nederlands,remarks
tg:lhob:267,8e45a706-94d5-5419-8a44-336e5610b60e,Items,1,tr:lh:2432,50022,D 1175 / V,isad:lh:134709,V3 B 1 A1,Doos 11 / 47,,,Nederlands,remarks
tg:lhob:508,049e8351-8b2c-5cca-903f-ea20425ad2aa,Items,1,,,,isad:lh:161151,,,D 4813 / 191,,Nederlands,remarks
tg:lhob:158,42f6290b-a696-5dc3-a692-36b9e0e67b51,Items,1,tr:lh:6928,,,isad:lh:109818,V3 B 1 A1,C 395 / V,Doos 4 / 25,,Nederlands,remarks
tg:lhob:334,5369b966-631a-5143-9518-ea27c85249e3,Items,1,,,,isad:lh:134688,V3 B 1 A1,,Doos 14 / 15,,Nederlands,remarks
tg:lhob:271,1bbe3e40-dd56-598f-a25d-262e4e247b86,Items,1,tr:lh:2212,42093,M 762 / V,isad:lh:134449,V3 B 1 A1,Doos 12 / 4,,,Nederlands,remarks
tg:lhob:621,312da8d8-7042-5b8d-bd81-fb3b0bb92fca,Items,1,,,M 5162 / E,,,,,,Nederlands,remarks
tg:lhob:699,a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,Items,1,tr:lh:7376,,K 376 / V,isad:lh:134288,V3 D,,,,Nederlands,remarks
tg:lhob:363,06921aaa-1516-5f27-a96a-bf985f5e3171,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 5,,,Nederlands,remarks
tg:lhob:676,2eae7de6-e530-56a3-acf9-d6e9b56384d3,Items,1,tr:lh:6898,170837,L 319 / E,,,,,,Nederlands,remarks
tg:lhob:226,1e5a2451-acba-564b-95bc-c7b12f049888,Items,1,tr:lh:7776,201537,M 295 / V,isad:lh:134697,V3 B 1 A1,Doos 11 / 5,,,Nederlands,remarks
tg:lhob:174,38b2d592-a7a1-5130-9e10-1b2c7a4af8ad,Items,1,tr:lh:6603,166277,G 395 / V,isad:lh:123315,V3 B 1 A1,Doos 5 / 15,,,Nederlands,remarks
tg:lhob:524,f23cbd96-2b7d-5902-8a8e-1491530ffb68,Items,1,tr:lh:6603,163531,G 395 / E,,,,,,Nederlands,remarks
