Object Number,Record Type,URL,ResourceID,Reference Number,Temporary Location Note,Carrier Colour,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhob:683,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:683/N,bd7ce636-cc81-583e-a78c-3b8f0752a379,BE-ANN07/ob/000000585,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bd7ce636-cc81-583e-a78c-3b8f0752a379,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:379,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:379/N,5a61ea94-31bc-52dd-a755-d066d29d47b9,BE-ANN07/ob/000000315,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5a61ea94-31bc-52dd-a755-d066d29d47b9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:396,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:396/N,bd6a24a7-aded-52a3-b50c-56afca72e232,BE-ANN07/ob/000000332,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bd6a24a7-aded-52a3-b50c-56afca72e232,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:115,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:115/N,ab42045f-6e40-5c85-9079-435c3680d52a,BE-ANN07/ob/000000073,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ab42045f-6e40-5c85-9079-435c3680d52a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:545,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:545/N,cd2daffa-e245-5210-a2df-5e8d206c2148,BE-ANN07/ob/000000447,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/cd2daffa-e245-5210-a2df-5e8d206c2148,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:400,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:400/N,10ca59b0-91e3-567e-998d-80535d66fd46,BE-ANN07/ob/000000336,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/10ca59b0-91e3-567e-998d-80535d66fd46,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:284,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:284/N,d0040669-e75c-5a8b-871b-f280d696ae37,BE-ANN07/ob/000000227,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d0040669-e75c-5a8b-871b-f280d696ae37,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:142,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:142/N,10478800-d203-5ea2-95a8-f28860cc5b30,BE-ANN07/ob/000000101,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/10478800-d203-5ea2-95a8-f28860cc5b30,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:292,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:292/N,bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,BE-ANN07/ob/000000232,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:338,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:338/N,5ebb0f3c-cace-5b57-9dc3-cf73efb31735,BE-ANN07/ob/000000276,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5ebb0f3c-cace-5b57-9dc3-cf73efb31735,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:441,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:441/N,8e3b6e00-2a8c-5128-8fb0-f42e519e1290,BE-ANN07/ob/000000376,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8e3b6e00-2a8c-5128-8fb0-f42e519e1290,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:695,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:695/N,06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,BE-ANN07/ob/000000597,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:380,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:380/N,2c34ea20-351b-5681-8156-6799501d4711,BE-ANN07/ob/000000316,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2c34ea20-351b-5681-8156-6799501d4711,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhob:553,Voorwerpen,https://anet.be/record/opaclhobj/tg:lhob:553/N,b5714f50-9ce1-55a7-a857-8d0d261f8701,BE-ANN07/ob/000000455,,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b5714f50-9ce1-55a7-a857-8d0d261f8701,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
