ResourceID,brocade.id,card,order,Material
bd7ce636-cc81-583e-a78c-3b8f0752a379,tg:lhob:683,Materials,1,enamel (fused coating)
bd7ce636-cc81-583e-a78c-3b8f0752a379,tg:lhob:683,Materials,1,metal
ab42045f-6e40-5c85-9079-435c3680d52a,tg:lhob:115,Materials,1,ceramic (material)
cd2daffa-e245-5210-a2df-5e8d206c2148,tg:lhob:545,Materials,1,enamel (fused coating)
cd2daffa-e245-5210-a2df-5e8d206c2148,tg:lhob:545,Materials,2,textile materials
cd2daffa-e245-5210-a2df-5e8d206c2148,tg:lhob:545,Materials,1,metal
10478800-d203-5ea2-95a8-f28860cc5b30,tg:lhob:142,Materials,1,wood (plant material)
bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,tg:lhob:292,Materials,1,plastic (material)
bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,tg:lhob:292,Materials,1,wood (plant material)
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,tg:lhob:338,Materials,1,glass (material)
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,tg:lhob:338,Materials,1,plastic (material)
8e3b6e00-2a8c-5128-8fb0-f42e519e1290,tg:lhob:441,Materials,1,metal
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,tg:lhob:695,Materials,1,metal
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,tg:lhob:695,Materials,2,dot NOT FOUND IN: materiaal_types.csv
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,tg:lhob:695,Materials,1,wood (plant material)
2c34ea20-351b-5681-8156-6799501d4711,tg:lhob:380,Materials,1,glass (material)
2c34ea20-351b-5681-8156-6799501d4711,tg:lhob:380,Materials,1,metal
b5714f50-9ce1-55a7-a857-8d0d261f8701,tg:lhob:553,Materials,1,metal
0e3c664a-3014-5589-93a4-614dc7ed5327,tg:lhob:103,Materials,1,metal
0e3c664a-3014-5589-93a4-614dc7ed5327,tg:lhob:103,Materials,1,bone (material)
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,Materials,1,bronze (metal)
ab69a3bf-86ff-5650-895c-5337902b75cd,tg:lhob:601,Materials,1,bronze (metal)
8d2ffbfc-9e25-5c51-be3e-38a01561baf4,tg:lhob:314,Materials,1,glass (material)
8d2ffbfc-9e25-5c51-be3e-38a01561baf4,tg:lhob:314,Materials,1,iron (metal)
d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,tg:lhob:528,Materials,1,copper (metal)
f9af0ba4-1e21-5c18-8ff9-f3f147c5be4f,tg:lhob:482,Materials,1,metal
f9af0ba4-1e21-5c18-8ff9-f3f147c5be4f,tg:lhob:482,Materials,1,wood (plant material)
44e552c6-c31f-5bd1-99c9-0b205cec829e,tg:lhob:656,Materials,1,metal
aace5079-d656-5063-aa96-7b87fd00e060,tg:lhob:713,Materials,1,paper (fiber product)
aace5079-d656-5063-aa96-7b87fd00e060,tg:lhob:713,Materials,1,glass (material)
76a01cb8-b151-59c3-b593-b02b67de188f,tg:lhob:343,Materials,1,glass (material)
76a01cb8-b151-59c3-b593-b02b67de188f,tg:lhob:343,Materials,1,metal
ea048364-6101-5492-bef4-6573a816a250,tg:lhob:590,Materials,1,textile materials
ea048364-6101-5492-bef4-6573a816a250,tg:lhob:590,Materials,1,bronze (metal)
a319e252-eb18-5a27-80bb-fa2132d48bf9,tg:lhob:98,Materials,1,metal
a319e252-eb18-5a27-80bb-fa2132d48bf9,tg:lhob:98,Materials,1,plastic (material)
89346987-6164-5d91-94a1-ab22af09b8e9,tg:lhob:77,Materials,1,wood (plant material)
4556877c-3dec-5bf7-a0ca-35af1a796385,tg:lhob:210,Materials,1,wood (plant material)
0f54d3fa-a71c-5e14-ba61-7ea676a233b3,tg:lhob:640,Materials,1,metal
11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,tg:lhob:355,Materials,1,glass (material)
11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,tg:lhob:355,Materials,1,gold (metal)
ec713338-1901-5c95-a827-fe2fdffe9b37,tg:lhob:705,Materials,1,wood (plant material)
ec713338-1901-5c95-a827-fe2fdffe9b37,tg:lhob:705,Materials,1,glass (material)
675fe7d4-2f9c-544a-8e6a-0b763f40e77b,tg:lhob:586,Materials,1,enamel (fused coating)
675fe7d4-2f9c-544a-8e6a-0b763f40e77b,tg:lhob:586,Materials,2,textile materials
675fe7d4-2f9c-544a-8e6a-0b763f40e77b,tg:lhob:586,Materials,1,metal
978c5a2b-bb23-5f2c-b10f-d690ec1d52ce,tg:lhob:569,Materials,1,metal
ea53cb96-164a-5f60-9d88-a1fab88260d0,tg:lhob:139,Materials,1,metal
ea53cb96-164a-5f60-9d88-a1fab88260d0,tg:lhob:139,Materials,1,vlak NOT FOUND IN: materiaal_types.csv
ea53cb96-164a-5f60-9d88-a1fab88260d0,tg:lhob:139,Materials,1,wood (plant material)
c2b8a3e8-a46f-5bf6-96e7-c8d288dabfe0,tg:lhob:617,Materials,1,metal
56f69663-9f7c-52d9-9357-879ddc002097,tg:lhob:302,Materials,1,vlak NOT FOUND IN: materiaal_types.csv
56f69663-9f7c-52d9-9357-879ddc002097,tg:lhob:302,Materials,1,metal
56f69663-9f7c-52d9-9357-879ddc002097,tg:lhob:302,Materials,2,glass (material)
56f69663-9f7c-52d9-9357-879ddc002097,tg:lhob:302,Materials,1,metal
