ResourceID,order,db,record.id,brocade_place_name,brocade_place_name_clean,au_id,au_uuid,au_place_name,Creation Place Note Type,Creation Place Note Language,Creation Place Widget
00108baa-a6fa-5549-82b9-cd591ea912fe,1,lhph,tg:lhph:31203,Geel,,au::100266,3a873463-f933-51c1-962a-db62e7066f51,Geel (Turnhout),,,"dlod={""name"":""Geel (Turnhout)"",""ark"":""ark:/83110/x0/3a873463-f933-51c1-962a-db62e7066f51"",""uri"":""/subjects/8404"",""id"":""au::100266"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
006b3d86-e647-582a-96bf-33675e370161,1,lhph,tg:lhph:33028,[Gestel],,au::100213,078454d2-6143-5d6b-8c32-d90d16660d0f,Gestel (Berlaar),,,"dlod={""name"":""Gestel (Berlaar)"",""ark"":""ark:/83110/x0/078454d2-6143-5d6b-8c32-d90d16660d0f"",""uri"":""/subjects/12662"",""id"":""au::100213"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
007a0a39-9678-581f-a7d6-b12f3640b72d,1,lhph,tg:lhph:12781,China,,au::101815,c79d1462-90bc-54e6-b16e-9c3c402537d8,China (Nuevo LeÛn),,,"dlod={""name"":""China (Nuevo León)"",""ark"":""ark:/83110/x0/c79d1462-90bc-54e6-b16e-9c3c402537d8"",""uri"":""/subjects/15063"",""id"":""au::101815"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
008dfc4c-2397-5423-9bd7-57d560c0f9f0,1,lhph,tg:lhph:38328,Gent,,au::100654,a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2,Gent (Arrondissement Gent),,,"dlod={""name"":""Gent (Arrondissement Gent)"",""ark"":""ark:/83110/x0/a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2"",""uri"":""/subjects/14530"",""id"":""au::100654"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
008fc852-5407-5b2c-8b9d-8d3214f3c388,1,lhph,tg:lhph:25753,Amsterdam,,au::104810,636962b7-6ad0-5b44-83b4-9eb0958ecb76,Amsterdam (Noord-Holland),,,"dlod={""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/13849"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
00a1b942-66fa-51c9-b950-9102ff4d4abd,1,lhph,tg:lhph:5012,Gent,,au::100654,a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2,Gent (Arrondissement Gent),,,"dlod={""name"":""Gent (Arrondissement Gent)"",""ark"":""ark:/83110/x0/a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2"",""uri"":""/subjects/14530"",""id"":""au::100654"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
00bd3d35-6e64-5e76-9b96-159ef9c6f486,1,lhph,tg:lhph:33132,Brussel,,au::100105,99596b2b-2b42-50f2-8ec3-d578638b6d71,Brussel (Brussel-Hoofdstad),,,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/11477"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
00c3ac6f-b1fb-519e-ab19-38f9daa886bd,1,lhph,tg:lhph:42780,Mexico,,au::104113,c3d1fd3f-77fb-53a7-a951-ba03f7c285bd,Mexico (Noord-Amerika),,,"dlod={""name"":""Mexico (Noord-Amerika)"",""ark"":""ark:/83110/x0/c3d1fd3f-77fb-53a7-a951-ba03f7c285bd"",""uri"":""/subjects/8024"",""id"":""au::104113"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
00de1a70-6d3d-5c5e-87c4-cce30d1d036c,1,lhph,tg:lhph:33166,Gent,,au::100654,a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2,Gent (Arrondissement Gent),,,"dlod={""name"":""Gent (Arrondissement Gent)"",""ark"":""ark:/83110/x0/a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2"",""uri"":""/subjects/14530"",""id"":""au::100654"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
011c721e-a14a-57d3-9fd0-535ac1b379b5,1,lhph,tg:lhph:20049,Lille,,au::103088,8559f378-e576-5c55-8772-63fcc0b5a763,Rijsel (Arrondissement de Lille),,,"dlod={""name"":""Rijsel (Arrondissement de Lille)"",""ark"":""ark:/83110/x0/8559f378-e576-5c55-8772-63fcc0b5a763"",""uri"":""/subjects/10433"",""id"":""au::103088"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
