ResourceID,brocade.id,card,order,source_field,source_code,Dimension Source Note
ddd7f9ca-ce0d-5ac3-9c61-56c4ed78fb49,tg:lhph:14757_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,37 x 30,37 x 30
b6aa3a9f-b6c9-5b8d-b851-cd136b94c849,tg:lhph:40182_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,260 x 175,260 x 175
e28d348d-01fe-5007-87d4-dbfdc30dba55,tg:lhph:4716_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,94 x 57,94 x 57
964cb231-4473-53bd-8ad5-9c89d5473a65,tg:lhph:20300_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,35mm,35mm
06f81b62-11ff-5be1-aa0b-6500135463d6,tg:lhph:41488_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,122 x 178,122 x 178
32b022ad-f8f1-53e4-a8f7-44dc20908f95,tg:lhph:30898_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,138 x 87,138 x 87
81b1b56b-98bb-57e7-8c86-b173a611cb88,tg:lhph:10399_#3,e22_DimensionSourceNotes,1,kenmerken.lhformatph,138 x 88,138 x 88
95172794-6ea6-5f7e-a577-f0b51449548c,tg:lhph:1130_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,233 x 173,233 x 173
d1be0b09-38ab-5f25-a48a-10a89c7db963,tg:lhph:37147_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,6 x 6,6 x 6
44614938-0c74-5e95-ad95-83c129d2bd02,tg:lhph:25526_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,225 x 140,225 x 140
d133ae57-430f-55d0-9048-e735f4ebc7a4,tg:lhph:9285_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,173 x 129,173 x 129
52bae1dd-a4bf-5460-aa52-11f256069341,tg:lhph:35727_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,240 x 175,240 x 175
fbd24ed5-5057-53c6-bf01-ac80eae4ca2a,tg:lhph:27346_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,138 x 86,138 x 86
a8e74ca5-e938-5130-b147-38bafa776de3,tg:lhph:3750_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,112 x 150,112 x 150
a2e95c8d-acba-5aa4-ab38-4d28f7115d75,tg:lhph:51689_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,14 x 9,14 x 9
4ba3e849-d816-55e0-b2a5-dede8e5220f2,tg:lhph:40267_#2,e22_DimensionSourceNotes,1,kenmerken.lhformatph,87 x 138,87 x 138
0d38537e-8f18-538f-a658-4bea48f3ffac,tg:lhph:13711_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,100 x 126,100 x 126
a9809b02-e454-58bd-b7ab-72c204e63d66,tg:lhph:50383_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,177 x 116,177 x 116
5b61b3e7-235f-5376-b1bc-b32712f5f79d,tg:lhph:53970_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,55 x 55,55 x 55
d1755767-d73c-555a-a782-1dd21e1f54e8,tg:lhph:22560_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,175 x 127,175 x 127
8ff39d29-67b2-5e9a-a6db-520fbb23a1ae,tg:lhph:30101_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,138 x 87,138 x 87
c15c91fe-49a8-5e3e-b3c0-feed35791057,tg:lhph:6176_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,177 x 126,177 x 126
ffed2a24-d641-5fe7-b2d9-3ca1960508c4,tg:lhph:16137_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,57 x 73,57 x 73
55c77caa-81ea-5f00-bcbc-e47cec5c2910,tg:lhph:34851_#2,e22_DimensionSourceNotes,1,kenmerken.lhformatph,(1-6)137 x 88,(1-6)137 x 88
49be5079-1a07-5941-91f2-054968ce893e,tg:lhph:51414_#2,e22_DimensionSourceNotes,1,kenmerken.lhformatph,120 x 90,120 x 90
49be5079-1a07-5941-91f2-054968ce893e,tg:lhph:51414_#2,e22_DimensionSourceNotes,2,kenmerken.lhformatph,98 x 70,98 x 70
4b84b488-b84f-5bc6-af1c-22587baf0917,tg:lhph:10503_#1,e22_DimensionSourceNotes,1,kenmerken.lhformatph,172 x 230,172 x 230
