ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,source_field,Creation Time Span Source Note,Depicted Item Role,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,ISAAR Brocade ID,Original Entity Relation,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:12738,https://data.letterenhuis.be/ark:/24970/005809e8-1240-5929-965a-82e56e96ffaf,Foto's,,,
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966-uu-uu,2081-uu-uu,In Copyright
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,e73_CreationActors,1,458a8b3d-7f0d-52bb-9bbd-2c0374af1a41,au::50972,photographers,"dlod={""name"":""Piet Selhorst"",""ark"":""ark:/83110/x0/458a8b3d-7f0d-52bb-9bbd-2c0374af1a41"",""uri"":""/agents/people/76749"",""id"":""au::50972"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/458a8b3d-7f0d-52bb-9bbd-2c0374af1a41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,id/date.exposure/so,19660000,,,,,,,,,,,,,,,,,,,,,
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,e73_CreationTimeSpans,,,,,,,1966-uu-uu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,e73_DepictedItems,2,888ede3f-9ff9-5861-a9f8-188c0365beb5,au::3319,,,,,,,,,,,,,keywords,"dlod={""name"":""Bertien Buyl"",""ark"":""ark:/83110/x0/888ede3f-9ff9-5861-a9f8-188c0365beb5"",""uri"":""/agents/people/80213"",""id"":""au::3319"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/888ede3f-9ff9-5861-a9f8-188c0365beb5,,,,,,,,,,,,,,,,,,
005809e8-1240-5929-965a-82e56e96ffaf,tg:lhph:12738,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,,"Bertien Buyl, borststuk.",descriptive note,Nederlands,,,,,,,,,,,,,,,
005809e8-1240-5929-965a-82e56e96ffaf,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,BE-ANN07/ph/000012037,referentienummer,False,,,,,,,,,,,,
005809e8-1240-5929-965a-82e56e96ffaf,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,tg:lhph:12738,brocade id,False,,,,,,,,,,,,
005809e8-1240-5929-965a-82e56e96ffaf,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:12738/N,brocade url,False,,,,,,,,,,,,
