ResourceID,brocade.id,card,order,source_field,source_code,Document status
a7e6f640-597e-5767-b78c-57638dcbaa1a,tg:mpmbr:314,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
8dc1f062-0d95-5a28-b2d8-e980880cfde0,tg:mpmbr:699,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
131170bc-9cde-54d0-8911-5028f217dd51,tg:mpmbr:735,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
3c635020-9fdd-51a8-841a-ccc6ba91031a,tg:mpmbr:871,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
081b1542-1574-5120-9782-db7824498a48,tg:mpmbr:870,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
aaca84e8-843b-5a39-9ae7-a54a32506215,tg:mpmbr:218,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
b3e01fd6-afd1-5888-82e4-0b4ea7cf020a,tg:mpmbr:872,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
d753dfe7-8e5e-50ed-a58c-871b5a8b18bb,tg:mpmbr:697,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
050c6263-a16d-54cc-b46c-dfff1b061150,tg:mpmbr:874,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
f2f64b3a-70cb-5139-a171-edf75b109a60,tg:mpmbr:116,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
987b489c-d666-553f-bbf4-42e1c673575e,tg:mpmbr:842,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
242aca66-9d60-5fbf-a2e7-bb1400f95d08,tg:mpmbr:854,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
b489d7c1-e03b-5320-bc34-f23bc2cc00d6,tg:mpmbr:696,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
b167597e-0d2c-5c0d-8e32-609da19d05de,tg:mpmbr:317,DocumentStatus,1,kenmerken.mpmorighs,tc,transcriptions (documents)
