ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type
f4b540b0-7892-55b3-8543-47493244a9fa,tg:mpmbr:1120,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
31d4b0dd-8efc-5e69-827b-d6e9e8a0a760,tg:mpmbr:786,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>'Summa quib[us] maximam partem pecuniarum exposui', Douai, 10 augustus [1591] (MPM Arch. 89 p. 465-468)</p>
","<p>'Summa quib[us] maximam partem pecuniarum exposui', Douai, 10 augustus [1591] (MPM Arch. 89 p. 465-468)</p>
",Nederlands,remarks
44f98644-c583-5fc2-b2f9-904b7b688c83,tg:mpmbr:1015,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
847cff5e-e936-553f-ae7f-b4f3c9fe8e88,tg:mpmbr:948,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat 1 wit kantmonster</p>
","<p>Bevat 1 wit kantmonster</p>
",Nederlands,remarks
457bfc14-d4c7-5b86-9598-1949c355ed3b,tg:mpmbr:933,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat 1 zwart kantmonster</p>
","<p>Bevat 1 zwart kantmonster</p>
",Nederlands,remarks
41d91efd-ec08-5aae-b85c-404a6b3de1ea,tg:mpmbr:1193,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
2129d75d-a851-55d1-9c21-5843f77aabba,tg:mpmbr:1123,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
c79cb09c-b8cd-58eb-aaa5-3141caeb2e80,tg:mpmbr:1064,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een monster van papier.</p>
","<p>Bevat een monster van papier.</p>
",Nederlands,remarks
f80b078d-ab78-524e-b006-7fb19a5ced2a,tg:mpmbr:1226,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat twee rekeningen courant.</p>
","<p>Bevat twee rekeningen courant.</p>
",Nederlands,remarks
48927026-12b2-54be-b3f9-ddb99e39d4d9,tg:mpmbr:989,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat 2 bijlagen: een vrachtbrief en een afschrift van een factuur</p>
","<p>Bevat 2 bijlagen: een vrachtbrief en een afschrift van een factuur</p>
",Nederlands,remarks
9121f174-4dd7-5e4b-9dbc-a3af5a767223,tg:mpmbr:1043,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
e53620cb-f4d6-5fad-a20b-0d0c163817db,tg:mpmbr:1210,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
e634fa9f-65a1-5073-a46c-79e2c0072652,tg:mpmbr:1069,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 380-383.</p>
","<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 380-383.</p>
",Nederlands,remarks
40f98874-e0ed-550e-b771-e830941ef322,tg:mpmbr:1205,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een bijlage.</p>
","<p>Bevat een bijlage.</p>
",Nederlands,remarks
be23409e-13be-57f1-ac3d-6feaf3eba87d,tg:mpmbr:1154,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
86843377-8569-53b2-bc15-4abca8e3eaa6,tg:mpmbr:934,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat 1 wit kantmonster</p>
","<p>Bevat 1 wit kantmonster</p>
",Nederlands,remarks
a5894acc-39b6-543c-b4d0-0375896b723a,tg:mpmbr:1068,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 376-379.</p>
","<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 376-379.</p>
",Nederlands,remarks
28131162-217b-5968-971c-f695ffbfb2d1,tg:mpmbr:1146,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
121cd02b-305d-5b9f-a807-a723a19ec9e5,tg:mpmbr:1184,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een memorie over ingeladen papier.</p>
","<p>Bevat een memorie over ingeladen papier.</p>
",Nederlands,remarks
8595c6de-aed9-5a7e-a9e7-e16bfc6978a9,tg:mpmbr:1019,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat 2 rekeningen courant.</p>
","<p>Bevat 2 rekeningen courant.</p>
",Nederlands,remarks
8be0d21c-f9af-526d-b45d-f5c691527451,tg:mpmbr:1072,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
ca1d5265-d856-5afe-b015-2ea17861b61b,tg:mpmbr:1178,e73_AnnotationsImmaterial,1,note.mpmsup,"<p>Bevat twee rekeningen courant.</p>
","<p>Bevat twee rekeningen courant.</p>
",Nederlands,remarks
