brocade.id,Change History Identifier,Change History Timespan,Change History User,Change History Description,Change History Activity,card,ResourceID
tg:mpmbr:399,,2018-01-29 12:29:58 +0000 UTC,ssciarone,,Creatie,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,10915315,2018-01-29 12:29:58 +0000 UTC,ssciarone,Bewerken van de identificatie,edit,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,10915316,2018-01-29 12:29:58 +0000 UTC,ssciarone,Bewerken van de items,edit,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,10915317,2018-01-29 12:29:58 +0000 UTC,ssciarone,Bewerken van de kenmerken,edit,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,10915321,2018-01-29 12:29:58 +0000 UTC,ssciarone,Bewerken van de ISAAR relaties,edit,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11010175,2018-02-24 07:02:12 +0000 UTC,usystem,Bewerken van de illustraties,dams,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11013571,2018-02-27 13:15:00 +0000 UTC,usystem,Bewerken van de illustraties,thumbnail,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11148717,2018-04-24 09:07:40 +0000 UTC,usystem,Bewerken van de illustraties,dams,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11152067,2018-04-24 12:11:41 +0000 UTC,usystem,Bewerken van de illustraties,thumbnail,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11313318,2018-06-21 14:50:17 +0000 UTC,usystem,Bewerken van de illustraties,dams,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11349381,2018-06-21 15:39:27 +0000 UTC,usystem,Bewerken van de illustraties,thumbnail,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11407667,2018-06-27 11:15:38 +0000 UTC,avdbergh,Bewerken van de identificatie,edit,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,11407668,2018-06-27 11:15:38 +0000 UTC,avdbergh,Bewerken van de items,edit,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,12079489,2019-01-17 10:45:32 +0000 UTC,kselle,Markering als gecontroleerd,,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,12080017,2019-01-17 11:04:15 +0000 UTC,kselle,Markering als gecontroleerd,,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,12139440,2019-02-06 08:30:57 +0000 UTC,kselle,Markering als gecontroleerd,,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,12192942,2019-02-23 12:05:23 +0000 UTC,avdbergh,Markering als gecontroleerd,,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
tg:mpmbr:399,12193327,2019-02-23 12:11:10 +0000 UTC,avdbergh,Markering als gecontroleerd,,e73_Transaction_history_df,cabaad4d-fa63-5575-8a50-cdd40a92125b
