Brocade ID,ResourceID,card,order,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type
tg:lhps:57896,d9198741-6a71-5c44-afb8-139f34d3de4f,ISAAR_Relations,1,au::50272,{'url': 'https://anet.be/record/isaarlh/au::50272'},kw,Evenement,Week van de Amateurkunsten,Trefwoord
tg:lhps:30552,9ad9e289-a225-5297-aa76-547f4a84f063,ISAAR_Relations,1,au::45461,{'url': 'https://anet.be/record/isaarlh/au::45461'},dr,Organisatie,Michiels,Drukker
tg:lhps:30552,9ad9e289-a225-5297-aa76-547f4a84f063,ISAAR_Relations,2,au::16476,{'url': 'https://anet.be/record/isaarlh/au::16476'},kw,Organisatie,Scheldezonen,Trefwoord
tg:lhps:3721,8c9b9462-a190-5ab1-9502-2d241b79933c,ISAAR_Relations,1,au::45510,{'url': 'https://anet.be/record/isaarlh/au::45510'},dr,Organisatie,Kopie Kopij,Drukker
tg:lhps:3721,8c9b9462-a190-5ab1-9502-2d241b79933c,ISAAR_Relations,2,au::10460,{'url': 'https://anet.be/record/isaarlh/au::10460'},kw,Organisatie,de Filharmonie,Trefwoord
tg:lhps:3721,8c9b9462-a190-5ab1-9502-2d241b79933c,ISAAR_Relations,3,au::9699,{'url': 'https://anet.be/record/isaarlh/au::9699'},kw,Organisatie,Jeugd en Muziek,Trefwoord
tg:lhps:51041,f893fc70-00bb-5f5f-985e-0bf44213ce73,ISAAR_Relations,1,au::7681,{'url': 'https://anet.be/record/isaarlh/au::7681'},ds,Persoon,Nicole van Goethem,Ontwerper
tg:lhps:2833,21c98bbb-66e7-5700-a722-9e9133147c34,ISAAR_Relations,1,au::21479,{'url': 'https://anet.be/record/isaarlh/au::21479'},kw,Organisatie,Willemsfonds,Trefwoord
tg:lhps:2833,21c98bbb-66e7-5700-a722-9e9133147c34,ISAAR_Relations,2,au::7320,{'url': 'https://anet.be/record/isaarlh/au::7320'},kw,Persoon,Gilberte Gepts-Buysaert,Trefwoord
tg:lhps:29289,a55f16dd-08d1-5f6e-87fa-f9ca9233c219,ISAAR_Relations,1,au::14051,{'url': 'https://anet.be/record/isaarlh/au::14051'},kw,Andere,Oorlog 1914-1918,Trefwoord
tg:lhps:29289,a55f16dd-08d1-5f6e-87fa-f9ca9233c219,ISAAR_Relations,2,au::224,{'url': 'https://anet.be/record/isaarlh/au::224'},kw,Persoon,Albert I,Trefwoord
tg:lhps:56784,f3cdb4a6-c5bd-504f-9edb-a6d043849d48,ISAAR_Relations,1,au::3283,{'url': 'https://anet.be/record/isaarlh/au::3283'},kw,Persoon,Emiel Buskens,Trefwoord
tg:lhps:56784,f3cdb4a6-c5bd-504f-9edb-a6d043849d48,ISAAR_Relations,2,au::44838,{'url': 'https://anet.be/record/isaarlh/au::44838'},kw,Organisatie,Stadsschouwburg [Mechelen],Trefwoord
tg:lhps:56784,f3cdb4a6-c5bd-504f-9edb-a6d043849d48,ISAAR_Relations,3,au::16071,{'url': 'https://anet.be/record/isaarlh/au::16071'},kw,Persoon,Felix Rossenbacker,Trefwoord
tg:lhps:49888,4fd14fcc-cb1b-5d09-bdca-ade565a0171e,ISAAR_Relations,1,au::46290,{'url': 'https://anet.be/record/isaarlh/au::46290'},dr,Organisatie,Indruk,Drukker
tg:lhps:49888,4fd14fcc-cb1b-5d09-bdca-ade565a0171e,ISAAR_Relations,2,au::17579,{'url': 'https://anet.be/record/isaarlh/au::17579'},kw,Organisatie,Stekelbees [Kindertheater],Trefwoord
tg:lhps:49888,4fd14fcc-cb1b-5d09-bdca-ade565a0171e,ISAAR_Relations,3,au::48162,{'url': 'https://anet.be/record/isaarlh/au::48162'},kw,Evenement,Victoria Festival,Trefwoord
tg:lhps:23684,30483822-d2b8-5522-91be-326506c8e801,ISAAR_Relations,1,au::44366,{'url': 'https://anet.be/record/isaarlh/au::44366'},dr,Organisatie,V. Resseler,Drukker
tg:lhps:23684,30483822-d2b8-5522-91be-326506c8e801,ISAAR_Relations,2,au::10469,{'url': 'https://anet.be/record/isaarlh/au::10469'},kw,Organisatie,Koninklijk Museum voor Schone Kunsten [Antwerpen],Trefwoord
tg:lhps:23684,30483822-d2b8-5522-91be-326506c8e801,ISAAR_Relations,3,au::11477,{'url': 'https://anet.be/record/isaarlh/au::11477'},kw,Persoon,Isidoor Leyssens,Trefwoord
tg:lhps:59471,48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,ISAAR_Relations,1,au::6754,{'url': 'https://anet.be/record/isaarlh/au::6754'},kw,Algemeen,Film,Trefwoord
