ResourceID,brocade.id,Acquisition Brocade ID,card,order,Acquisition Name,Acquisition Identifier
008f5337-4558-51f3-b446-88c4e6ec05e3,tg:lhps:27782,tr:lh:7875,Acquisitions,1,Schenking van Openluchtmuseum der Beeldhouwkunst Middelheim,{'url':'https://id.letterenhuis.be/ark:/24970/008f5337-4558-51f3-b446-88c4e6ec05e3'}
01314884-d014-5177-99ba-ad89c90c21b3,tg:lhps:11937,tr:lh:7748,Acquisitions,1,Archiefstukken van Behoud de Begeerte,{'url':'https://id.letterenhuis.be/ark:/24970/01314884-d014-5177-99ba-ad89c90c21b3'}
01519233-60b4-58a8-a125-2be613562bd2,tg:lhps:15923,tr:lh:7634,Acquisitions,1,Oningeschreven gevonden in 2006,{'url':'https://id.letterenhuis.be/ark:/24970/01519233-60b4-58a8-a125-2be613562bd2'}
01871863-9317-5913-95ae-79e48c9445fd,tg:lhps:9793,tr:lh:7284,Acquisitions,1,Oningeschreven gevonden in 1997,{'url':'https://id.letterenhuis.be/ark:/24970/01871863-9317-5913-95ae-79e48c9445fd'}
01988a1c-3450-5582-a0de-76f513492872,tg:lhps:28359,tr:lh:9937,Acquisitions,1,Affichecollectie van het Volkskundemuseum,{'url':'https://id.letterenhuis.be/ark:/24970/01988a1c-3450-5582-a0de-76f513492872'}
01c3a881-f9fb-53f2-98ed-98e2d2cad3a0,tg:lhps:57984,tr:lh:110342,Acquisitions,1,Affichecollectie verzameld door het Muziekcentrum Vlaanderen,{'url':'https://id.letterenhuis.be/ark:/24970/01c3a881-f9fb-53f2-98ed-98e2d2cad3a0'}
01c63301-5d79-539f-a2bb-ade84591a934,tg:lhps:57068,tr:lh:110342,Acquisitions,1,Affichecollectie verzameld door het Muziekcentrum Vlaanderen,{'url':'https://id.letterenhuis.be/ark:/24970/01c63301-5d79-539f-a2bb-ade84591a934'}
0201cda4-9887-57e5-95bc-74befb975f9a,tg:lhps:52378,tr:lh:110437,Acquisitions,1,Verzameling affiches van diverse culturele activiteiten in Antwerpen,{'url':'https://id.letterenhuis.be/ark:/24970/0201cda4-9887-57e5-95bc-74befb975f9a'}
024d53e5-81cc-58b0-b660-ff60af4d7cfb,tg:lhps:457,tr:lh:5395,Acquisitions,1,Archiefstukken van Robert Arens,{'url':'https://id.letterenhuis.be/ark:/24970/024d53e5-81cc-58b0-b660-ff60af4d7cfb'}
02d019a8-8764-5e1c-8af5-53a8b8f49183,tg:lhps:53302,tr:lh:9037,Acquisitions,1,Archief van Clara Haesaert,{'url':'https://id.letterenhuis.be/ark:/24970/02d019a8-8764-5e1c-8af5-53a8b8f49183'}
