ResourceID,brocade.id,card,order,note,Annotation,Annotation Type,Annotation Language
a55f16dd-08d1-5f6e-87fa-f9ca9233c219,tg:lhps:29289,Annotations,1,note.lhalg,Oude nummering Volkskunde: 93.21.44,Algemeen,Nederlands
73342a2f-8adb-5759-bf27-b4749aee9845,tg:lhps:47195,Annotations,1,note.lhalg,Illustratie: Kaatje Vermeire,Algemeen,Nederlands
528c7092-4e99-5cf9-be4f-7d9121f0906c,tg:lhps:729,Annotations,1,note.lhalg,ex. gesigneerd door kunstenaar,Algemeen,Nederlands
abd1628e-c49b-5615-acf4-6a0e517fd9af,tg:lhps:29773,Annotations,1,note.lhalg,Oude nummering Volkskunde: 90.56.11,Algemeen,Nederlands
d3641323-a5b0-5af3-b5ef-98834690fd96,tg:lhps:32095,Annotations,1,note.lhalg,"Reclame voor het Amerikaanse tijdschrift """"Collier's Weekly""""

Kleurenlitho: gamma's van grijsblauw, grijsbruin en grijsgroen; monogram l.o.
""""M.P."""" toegeschreven aan Maxfield Parrish""""

Tekst op achterzijde: reclame voor: Williams Shaving Stick, Quaker Oats,
Cecilian Piano-player, The Nelson Hammerless",Algemeen,Nederlands
aeb9ca95-a323-5689-8e5e-04600caeaa00,tg:lhps:6489,Annotations,1,note.lhalg,"Prent gesign. r.o. """"Gérard Portielje""""

Reklameplakkaat met kalender",Algemeen,
959eaa13-0eaa-5a72-85d0-4303addd3681,tg:lhps:59021,Annotations,1,note.lhalg,Beeld: Johan De Wit,Algemeen,Nederlands
b17ea09e-5207-5ab5-a8f6-48b1e02d1e81,tg:lhps:29323,Annotations,1,note.lhalg,Oude nummering Volkskunde: 93.21.138,Algemeen,Nederlands
f0fa1af9-fb98-5bae-8354-d2fa2921b3b5,tg:lhps:51942,Annotations,1,note.lhalg,ontwerp: Dewynters PLC London,Algemeen,Nederlands
d7e3736c-a419-5d5b-88d0-7e63e550016c,tg:lhps:36486,Annotations,1,note.lhalg,"Kleurenlithografie; gesign. l.o. """"H. Cassiers""""

pub: _Das frühe Plakat_, II, p. 290, nr. 998; K. Scheerlinck, _Aperçu des
affiches et des projets d'affiches d'Henri Cassiers_, in: _Henri Cassiers
1858-1944_, p. 151, nr. 5

Tweede ex. niet opgekleefd en beschadigd

Permanente bruikleen Red Star Line Museum",Algemeen,Nederlands
df455a42-42b3-5ea4-9498-ae2ff9b364bd,tg:lhps:47896,Annotations,1,note.lhalg,Foto: Greetje van Buggenhout,Algemeen,Nederlands
2c5a292f-ff54-5b98-aee4-41b6e95e47e8,tg:lhps:33684,Annotations,1,note.lhalg,"Kleurenlithografie; monogram en datum l.m. """"AO 16.1.XVIII""""

pub.: K. Scheerlinck, _Alfred Ost 1884-1945 Affiches/Posters Oeuvrecatalogus_,
p. 140, cat. I/94",Algemeen,Nederlands
