Object Number,Record Type,URL,ResourceID,Reference Number,Material Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhps:57896,Affiche,https://anet.be/record/opaclhobj/tg:lhps:57896/N,d9198741-6a71-5c44-afb8-139f34d3de4f,BE-ANN07/ps/000053692,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d9198741-6a71-5c44-afb8-139f34d3de4f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:30552,Affiche,https://anet.be/record/opaclhobj/tg:lhps:30552/N,9ad9e289-a225-5297-aa76-547f4a84f063,BE-ANN07/ps/000029857,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/9ad9e289-a225-5297-aa76-547f4a84f063'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:3721,Affiche,https://anet.be/record/opaclhobj/tg:lhps:3721/N,8c9b9462-a190-5ab1-9502-2d241b79933c,BE-ANN07/ps/000003688,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8c9b9462-a190-5ab1-9502-2d241b79933c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:51041,Affiche,https://anet.be/record/opaclhobj/tg:lhps:51041/N,f893fc70-00bb-5f5f-985e-0bf44213ce73,BE-ANN07/ps/000046897,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/f893fc70-00bb-5f5f-985e-0bf44213ce73'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:2833,Affiche,https://anet.be/record/opaclhobj/tg:lhps:2833/N,21c98bbb-66e7-5700-a722-9e9133147c34,BE-ANN07/ps/000002804,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/21c98bbb-66e7-5700-a722-9e9133147c34'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:29289,Affiche,https://anet.be/record/opaclhobj/tg:lhps:29289/N,a55f16dd-08d1-5f6e-87fa-f9ca9233c219,BE-ANN07/ps/000028601,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a55f16dd-08d1-5f6e-87fa-f9ca9233c219'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:56784,Affiche,https://anet.be/record/opaclhobj/tg:lhps:56784/N,f3cdb4a6-c5bd-504f-9edb-a6d043849d48,BE-ANN07/ps/000052575,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/f3cdb4a6-c5bd-504f-9edb-a6d043849d48'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:49888,Affiche,https://anet.be/record/opaclhobj/tg:lhps:49888/N,4fd14fcc-cb1b-5d09-bdca-ade565a0171e,BE-ANN07/ps/000045754,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/4fd14fcc-cb1b-5d09-bdca-ade565a0171e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:23684,Affiche,https://anet.be/record/opaclhobj/tg:lhps:23684/N,30483822-d2b8-5522-91be-326506c8e801,BE-ANN07/ps/000023028,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/30483822-d2b8-5522-91be-326506c8e801'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:24141,Affiche,https://anet.be/record/opaclhobj/tg:lhps:24141/N,62fe1480-2a29-52a7-a83d-48890c025ad3,BE-ANN07/ps/000023483,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/62fe1480-2a29-52a7-a83d-48890c025ad3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhps:59471,Affiche,https://anet.be/record/opaclhobj/tg:lhps:59471/N,48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,BE-ANN07/ps/000055263,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/48bc1480-91cc-5ae5-bb99-0eb688e8ef4f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
