ResourceID,card,order,Object Identifier,Other Identifier Type,Object Number,Other Identifier,Language,Record Type,Description Type,Description Language,Description
01387253-bbda-50a3-8790-18c69b47734d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/01387253-bbda-50a3-8790-18c69b47734d,object identifier,tg:mmbdc:1,MMB.A.1189,French (language),Documenten,,,
e76e0866-39a5-5fff-969d-855d05005a4d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e76e0866-39a5-5fff-969d-855d05005a4d,object identifier,tg:mmbdc:2,MMB.A.1190,French (language),Documenten,,,
b69cc2df-8442-51a0-a796-7206b92e2201,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b69cc2df-8442-51a0-a796-7206b92e2201,object identifier,tg:mmbdc:3,MMB.A.1191,French (language),Documenten,,,
4028c865-2608-5574-a8ff-779529f18cbe,AA,0,https://data.museummayervandenbergh.be/ark:/59511/4028c865-2608-5574-a8ff-779529f18cbe,object identifier,tg:mmbdc:4,MMB.A.1192,French (language),Documenten,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,object identifier,tg:mmbdc:5,MMB.A.1193,French (language),Documenten,,,
484623ef-fa84-59f8-aaf9-6dadbecc8f89,AA,0,https://data.museummayervandenbergh.be/ark:/59511/484623ef-fa84-59f8-aaf9-6dadbecc8f89,object identifier,tg:mmbdc:6,MMB.A.1194,French (language),Documenten,,,
1509a781-cb9d-5760-8b8f-607e96b7195c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1509a781-cb9d-5760-8b8f-607e96b7195c,object identifier,tg:mmbdc:7,MMB.A.1195,French (language),Documenten,,,
70605196-e141-5fb5-9962-2b1651f3e2a1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/70605196-e141-5fb5-9962-2b1651f3e2a1,object identifier,tg:mmbdc:8,MMB.A.1196,French (language),Documenten,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,AA,0,https://data.museummayervandenbergh.be/ark:/59511/11be8398-f75a-5694-b7b2-2b0eedf24850,object identifier,tg:mmbdc:9,MMB.A.1197,French (language),Documenten,,,
9e60796d-39b4-5c78-a699-b150df0da6ca,AA,0,https://data.museummayervandenbergh.be/ark:/59511/9e60796d-39b4-5c78-a699-b150df0da6ca,object identifier,tg:mmbdc:10,MMB.A.1198,French (language),Documenten,,,
b8a20dc0-1ed5-53cc-ad12-96498d66fe3d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b8a20dc0-1ed5-53cc-ad12-96498d66fe3d,object identifier,tg:mmbdc:11,MMB.A.1199,French (language),Documenten,,,
f4e49ea6-4484-51dd-93f6-ed1e84ddd978,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f4e49ea6-4484-51dd-93f6-ed1e84ddd978,object identifier,tg:mmbdc:12,MMB.A.1200,French (language),Documenten,,,
221ba7d8-01a9-5a18-9fec-a8fa0e47f940,AA,0,https://data.museummayervandenbergh.be/ark:/59511/221ba7d8-01a9-5a18-9fec-a8fa0e47f940,object identifier,tg:mmbdc:13,MMB.A.1201,French (language),Documenten,,,
67cca5f1-5e8a-54f4-be7b-eb7415d25c1f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/67cca5f1-5e8a-54f4-be7b-eb7415d25c1f,object identifier,tg:mmbdc:14,MMB.A.1202,French (language),Documenten,,,
431014da-4cd1-501d-a8d9-544e95217e76,AA,0,https://data.museummayervandenbergh.be/ark:/59511/431014da-4cd1-501d-a8d9-544e95217e76,object identifier,tg:mmbdc:15,MMB.A.1203,French (language),Documenten,,,
c4c8c6c9-34b2-5c89-aabf-b6f8c75534a4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c4c8c6c9-34b2-5c89-aabf-b6f8c75534a4,object identifier,tg:mmbdc:16,MMB.A.1204,French (language),Documenten,,,
9a7ba6ab-98ab-5db1-a4f6-2e056bea89c1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/9a7ba6ab-98ab-5db1-a4f6-2e056bea89c1,object identifier,tg:mmbdc:17,MMB.A.1205,French (language),Documenten,,,
20e5efa0-b6f2-53b0-acb0-bef59eaaa558,AA,0,https://data.museummayervandenbergh.be/ark:/59511/20e5efa0-b6f2-53b0-acb0-bef59eaaa558,object identifier,tg:mmbdc:18,MMB.A.1206,French (language),Documenten,,,
48abe9c0-eeff-5d2b-82eb-747ff6c2b3ff,AA,0,https://data.museummayervandenbergh.be/ark:/59511/48abe9c0-eeff-5d2b-82eb-747ff6c2b3ff,object identifier,tg:mmbdc:19,MMB.A.1207,French (language),Documenten,,,
b1783556-0408-58d4-9cfe-a7be7a192dc0,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b1783556-0408-58d4-9cfe-a7be7a192dc0,object identifier,tg:mmbdc:20,MMB.A.1208,French (language),Documenten,,,
4e49d3e0-d21a-559e-911e-9614954567c4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/4e49d3e0-d21a-559e-911e-9614954567c4,object identifier,tg:mmbdc:21,MMB.A.1209,French (language),Documenten,,,
21cd3fc7-ee0d-50a7-a0c1-1b451066fb8b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/21cd3fc7-ee0d-50a7-a0c1-1b451066fb8b,object identifier,tg:mmbdc:22,MMB.A.1210,French (language),Documenten,,,
b71f369a-0031-507e-89cc-7a9f493639e0,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b71f369a-0031-507e-89cc-7a9f493639e0,object identifier,tg:mmbdc:23,MMB.A.1211,French (language),Documenten,,,
