ResourceID,card,Object Number,Image URL
276ac32f-6efb-5018-81e5-6c720c63ec86,e22_Images,tg:mmbdc:1_#1,https://dams.antwerpen.be/asset/h14HgTMO4idlcl9hfLvdUpyM
b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,e22_Images,tg:mmbdc:2_#1,https://dams.antwerpen.be/asset/k1TnEMHQbMPQTdmgEfOKprbq
6bd190f4-1853-589f-9ca1-4cd9a512b277,e22_Images,tg:mmbdc:3_#1,https://dams.antwerpen.be/asset/z2bVWeYYwmpPZbjkVUQdoT6p
f88733b4-7a74-5fa4-9d32-2e17575faa7b,e22_Images,tg:mmbdc:4_#1,https://dams.antwerpen.be/asset/CVvxSPSiiNMMK9hCYmzhI6Nm
03e4637b-85a7-56bb-a14e-79f36c830407,e22_Images,tg:mmbdc:5_#1,https://dams.antwerpen.be/asset/U1nlQXD3UQxHOa4rcL3I80NM
52519509-91f6-51ff-b3f7-41a02116d2e7,e22_Images,tg:mmbdc:6_#1,https://dams.antwerpen.be/asset/X1Wq97xKLiJVYQgcDT2xp7dh
66461767-c6e9-5183-8ed0-53031e25ab9c,e22_Images,tg:mmbdc:7_#1,https://dams.antwerpen.be/asset/x1dGNEbKXRiTUSOIVjIsCq9Y
43041bc9-a42e-59b2-9bca-dbabb16059b9,e22_Images,tg:mmbdc:8_#1,https://dams.antwerpen.be/asset/n2k6Pk6tsdeBmFPAXwXerTWw
ec82374f-68ed-587e-89c7-8d657c97fad2,e22_Images,tg:mmbdc:9_#1,https://dams.antwerpen.be/asset/K1gSWbTjXbPrdifGUkYkdDkt
39634300-2e08-57c7-86c1-c80ade0e45e4,e22_Images,tg:mmbdc:10_#1,https://dams.antwerpen.be/asset/SPOQMaXeIcVkOZXcu226V17a
31283184-f32e-5752-acee-dfa5c3c2ffe0,e22_Images,tg:mmbdc:11_#1,https://dams.antwerpen.be/asset/N28RgGkteNYdjlPGAk3pBOC6
82ddac49-d293-5ad1-b8b2-f47291aeeea2,e22_Images,tg:mmbdc:12_#1,https://dams.antwerpen.be/asset/gchSOcPJjBMKmiXZkokijWwp
a760ecdc-ffd1-5020-9188-01fab16e8d7e,e22_Images,tg:mmbdc:13_#1,https://dams.antwerpen.be/asset/rJOGIJRTUaKC2CQ7MVGvtD3P
d2b1e801-98c8-50f2-aada-311f9dcc076b,e22_Images,tg:mmbdc:14_#1,https://dams.antwerpen.be/asset/D2LUSnmkQiUb2SgMYXRz6aHS
0b709b78-cc59-59d6-a0ea-0e08541230fa,e22_Images,tg:mmbdc:15_#1,https://dams.antwerpen.be/asset/N186SqTDYcRinPBrYixEh1vk
