ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
68a09ff2-b4bf-5cc1-979b-96655a7771a5,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000008,referentienummer,False
68a09ff2-b4bf-5cc1-979b-96655a7771a5,e73_LegacyInformation,1,brocade.id,tg:mpmph:16,brocade id,False
68a09ff2-b4bf-5cc1-979b-96655a7771a5,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:16/N,brocade url,False
177dc347-eab9-5aa9-9bed-bcc55aa5c471,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000006,referentienummer,False
177dc347-eab9-5aa9-9bed-bcc55aa5c471,e73_LegacyInformation,1,brocade.id,tg:mpmph:14,brocade id,False
177dc347-eab9-5aa9-9bed-bcc55aa5c471,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:14/N,brocade url,False
b779d048-874d-5380-96a7-853bb262031e,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000007,referentienummer,False
b779d048-874d-5380-96a7-853bb262031e,e73_LegacyInformation,1,brocade.id,tg:mpmph:15,brocade id,False
b779d048-874d-5380-96a7-853bb262031e,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:15/N,brocade url,False
839033c8-e69d-5629-948b-144adfab957f,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000003,referentienummer,False
839033c8-e69d-5629-948b-144adfab957f,e73_LegacyInformation,1,brocade.id,tg:mpmph:11,brocade id,False
839033c8-e69d-5629-948b-144adfab957f,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:11/N,brocade url,False
de60bf3e-8106-5377-b9d7-dfd48da0c477,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000005,referentienummer,False
de60bf3e-8106-5377-b9d7-dfd48da0c477,e73_LegacyInformation,1,brocade.id,tg:mpmph:13,brocade id,False
de60bf3e-8106-5377-b9d7-dfd48da0c477,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:13/N,brocade url,False
43fae41d-2b9c-5b34-b10c-e558dc89ae43,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/ph/000000004,referentienummer,False
43fae41d-2b9c-5b34-b10c-e558dc89ae43,e73_LegacyInformation,1,brocade.id,tg:mpmph:12,brocade id,False
43fae41d-2b9c-5b34-b10c-e558dc89ae43,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmph:12/N,brocade url,False
