ResourceID,brocade.id,card,order,Material Records
c285eabe-bdd8-5fa8-be09-e0d2398c5947,tg:mpmph:31,e73_MaterialRecords,1,"[{""resourceId"": ""001ccf13-ea5e-5182-902a-d87234a810c5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""772a87c5-c6a9-41f1-a8ac-e584b856f765"", ""inverseOntologyProperty"": """"}]"
32b561ba-598d-5dbe-9489-35948ec95d3c,tg:mpmph:21,e73_MaterialRecords,1,"[{""resourceId"": ""44c64192-38c7-592c-bad7-d324bbe2cc23"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8cf48594-a165-4f04-b7dc-65965a8b6763"", ""inverseOntologyProperty"": """"}]"
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,e73_MaterialRecords,1,"[{""resourceId"": ""e34d429a-2a8b-5fe9-a31e-b09e056a56d9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f0dbb83f-8cd8-41f0-b6ed-55aa18796820"", ""inverseOntologyProperty"": """"}]"
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_MaterialRecords,1,"[{""resourceId"": ""fe30a6aa-d431-5847-9e14-02977c4b1be2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4cf27d94-5abd-4deb-a354-e6c8e4c22fd8"", ""inverseOntologyProperty"": """"}]"
e272703b-d5a8-58f6-99cc-7b327f7488d7,tg:mpmph:108,e73_MaterialRecords,1,"[{""resourceId"": ""79b70912-1571-534c-9854-e4a97180a755"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e92506c1-01ca-4f46-bf09-26b8c63627c9"", ""inverseOntologyProperty"": """"}]"
48a416aa-fd0c-5b4d-88b8-8491c78d09c4,tg:mpmph:53,e73_MaterialRecords,1,"[{""resourceId"": ""9923cae1-3504-5e83-b3e0-c88424cb6e45"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f390ae45-01f1-4240-b215-dbcae0b28a62"", ""inverseOntologyProperty"": """"}]"
7bdeae05-9a01-5c7a-baba-17b7d04d3200,tg:mpmph:43,e73_MaterialRecords,1,"[{""resourceId"": ""3a2fca02-413e-55d6-9884-53909ae05518"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b0b83a25-14d8-4d49-91b6-72a14e773f74"", ""inverseOntologyProperty"": """"}]"
cf10feed-9f60-5d97-9a97-6f221a03c746,tg:mpmph:101,e73_MaterialRecords,1,"[{""resourceId"": ""bb226f0f-bd14-5144-838a-8547f916a46c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fcb39983-09f0-4448-9748-c37662a8ae97"", ""inverseOntologyProperty"": """"}]"
69b8e859-4eb7-5bdb-ba34-76e65b9a26a3,tg:mpmph:28,e73_MaterialRecords,1,"[{""resourceId"": ""7c593b11-17ee-5c52-918e-2fc0f2fa9244"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f1a6f106-2c37-4ba6-8649-044249cfd776"", ""inverseOntologyProperty"": """"}]"
1f65494d-9c65-535d-bcb1-a04cf80de46f,tg:mpmph:38,e73_MaterialRecords,1,"[{""resourceId"": ""ec05a67f-760c-5f02-a723-d48b9bf3441f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f8b8f743-40f3-4fc4-ade7-1c92adb7b4b0"", ""inverseOntologyProperty"": """"}]"
