ResourceID,brocade.id,card,Start Date Type,Start Date,End Date,End Date Type
bd7ce636-cc81-583e-a78c-3b8f0752a379,tg:lhob:683,ProductionTimeSpans,zonder datum,nan,nan,nan
5a61ea94-31bc-52dd-a755-d066d29d47b9,tg:lhob:379,ProductionTimeSpans,datum vóór,1906,nan,nan
bd6a24a7-aded-52a3-b50c-56afca72e232,tg:lhob:396,ProductionTimeSpans,nan,1847,nan,nan
ab42045f-6e40-5c85-9079-435c3680d52a,tg:lhob:115,ProductionTimeSpans,circa,1970,nan,nan
cd2daffa-e245-5210-a2df-5e8d206c2148,tg:lhob:545,ProductionTimeSpans,zonder datum,nan,nan,nan
10ca59b0-91e3-567e-998d-80535d66fd46,tg:lhob:400,ProductionTimeSpans,datum vóór,1986,nan,nan
d0040669-e75c-5a8b-871b-f280d696ae37,tg:lhob:284,ProductionTimeSpans,datum vóór,1939,nan,nan
bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,tg:lhob:292,ProductionTimeSpans,datum vóór,2012,nan,nan
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,tg:lhob:338,ProductionTimeSpans,datum vóór,1986,nan,nan
8e3b6e00-2a8c-5128-8fb0-f42e519e1290,tg:lhob:441,ProductionTimeSpans,nan,1876,nan,nan
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,tg:lhob:695,ProductionTimeSpans,zonder datum,nan,nan,nan
2c34ea20-351b-5681-8156-6799501d4711,tg:lhob:380,ProductionTimeSpans,datum vóór,1986,nan,nan
b5714f50-9ce1-55a7-a857-8d0d261f8701,tg:lhob:553,ProductionTimeSpans,nan,1968,nan,nan
0e3c664a-3014-5589-93a4-614dc7ed5327,tg:lhob:103,ProductionTimeSpans,circa,1850,nan,nan
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,ProductionTimeSpans,nan,1933,nan,nan
ab69a3bf-86ff-5650-895c-5337902b75cd,tg:lhob:601,ProductionTimeSpans,nan,1969,nan,nan
8d2ffbfc-9e25-5c51-be3e-38a01561baf4,tg:lhob:314,ProductionTimeSpans,datum vóór,1916,nan,nan
