ResourceID,Record ID,id,Production Place Identifier,Production Place Widget
5ed045c7-9197-587a-8b83-a9fc7c64bf51,tg:lhob:414,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhob:415,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
2acbdd19-0ecf-5e7c-8ba8-98a18c399fe7,tg:lhob:417,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhob:418,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhob:419,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
d1a3ea5b-98c7-5670-8d8b-e0e98ca3acba,tg:lhob:693,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,tg:lhob:699,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhsc:9372,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
a4c09d85-9233-5484-afc0-799cae720c5c,tg:lhsc:5748,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
2e746cce-f1cf-51da-a6b9-df0237c68279,tg:lhsc:9370,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
05634d34-0886-5578-bf83-7c4d06355f42,tg:lhsc:9373,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhsc:9407,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
