ResourceID,brocade.id,card,order,source_field,source_code,Condition State Note,Condition State Notes Language,Condition State Notes Type
bdf60c03-0152-5b5a-ab82-b62df1f7898b,tg:lhob:725,Conditions,2,note.lhconditie,Gebruikssporen en ontbrekende stukken.,Gebruikssporen en ontbrekende stukken.,Nederlands,condition/examination description
aa7620ed-b248-5012-801d-44af139e0277,tg:lhob:230,Conditions,1,note.lhconditie,Gebroken aan de steel,Gebroken aan de steel,Nederlands,condition/examination description
1bbe3e40-dd56-598f-a25d-262e4e247b86,tg:lhob:271,Conditions,1,note.lhconditie,In drie delen gebroken,In drie delen gebroken,Nederlands,condition/examination description
3e19ea84-4ecb-5977-9421-9ffa7cf127b1,tg:lhob:318,Conditions,1,note.lhconditie,Deel van een veer afgebroken.,Deel van een veer afgebroken.,Nederlands,condition/examination description
52ee1d6d-2804-50d3-bfd3-61042162ed3c,tg:lhob:709,Conditions,1,note.lhconditie,Er ontbreekt een schilfer aan de achterzijde.,Er ontbreekt een schilfer aan de achterzijde.,Nederlands,condition/examination description
d30cff16-d872-5c7e-a09f-b05ede5c5258,tg:lhob:335,Conditions,1,note.lhconditie,Corrosie,Corrosie,Nederlands,condition/examination description
67ada668-af59-5fa5-b6b1-825fbac71ed9,tg:lhob:724,Conditions,2,note.lhconditie,Gebruikssporen.,Gebruikssporen.,Nederlands,condition/examination description
f4f2a252-84d5-5a08-9bd2-056b52781658,tg:lhob:723,Conditions,2,note.lhconditie,Gebruikssporen.,Gebruikssporen.,Nederlands,condition/examination description
10619e69-ff8e-5edd-98f3-0ac22ca386df,tg:lhob:332,Conditions,1,note.lhconditie,"Gecorrodeerd, gebroken waardoor de glazen los zitten.","Gecorrodeerd, gebroken waardoor de glazen los zitten.",Nederlands,condition/examination description
55a3c15a-6c59-54e5-93ba-a2a4ce1453b0,tg:lhob:365,Conditions,1,note.lhconditie,"In meerdere delen gebroken  
","In meerdere delen gebroken  
",Nederlands,condition/examination description
3f6babf2-cc05-501a-be7f-d9ef1934ed2f,tg:lhob:719,Conditions,2,note.lhconditie,Gebruikssporen.,Gebruikssporen.,Nederlands,condition/examination description
c7609d4e-70de-55ef-bd48-bf2988c00bc3,tg:lhob:328,Conditions,1,note.lhconditie,Eén veer ontbreekt.,Eén veer ontbreekt.,Nederlands,condition/examination description
c22f879e-9ad3-5c38-a0d9-e566a793d403,tg:lhob:410,Conditions,1,note.lhconditie,Oog aan rechterkant ontbreekt.,Oog aan rechterkant ontbreekt.,Nederlands,condition/examination description
6c3b7bf3-02a3-5fa3-a92e-4b8e98bf0e89,tg:lhob:411,Conditions,1,note.lhconditie,Roestvorming op belletjes,Roestvorming op belletjes,Nederlands,condition/examination description
42ac0737-ca74-5339-9934-cdd7b8d6ad05,tg:lhob:295,Conditions,1,note.lhconditie,Reeds opnieuw verstevigd met plakband.,Reeds opnieuw verstevigd met plakband.,Nederlands,condition/examination description
5ef54a65-13f2-5c36-a854-cdb5b5b59cc6,tg:lhob:329,Conditions,1,note.lhconditie,Eén gebarsten glas.,Eén gebarsten glas.,Nederlands,condition/examination description
c644b3f1-3028-5120-b346-3acade491b77,tg:lhob:283,Conditions,1,note.lhconditie,Gebroken steel.,Gebroken steel.,Nederlands,condition/examination description
33a45644-c571-515d-a4cd-feeca33a7fe3,tg:lhob:718,Conditions,2,note.lhconditie,Gebruikssporen; krassen en barstjes in het tafelblad.,Gebruikssporen; krassen en barstjes in het tafelblad.,Nederlands,condition/examination description
0d59cead-0e6a-5456-a01f-2fd1c1f91b63,tg:lhob:722,Conditions,2,note.lhconditie,De vering van de zitbank is in slechte staat. Gebruikssporen.,De vering van de zitbank is in slechte staat. Gebruikssporen.,Nederlands,condition/examination description
878376c8-056e-5d6d-b0de-1f65d45905c9,tg:lhob:263,Conditions,1,note.lhconditie,Afgebroken ontbrekend deel aan de rand.,Afgebroken ontbrekend deel aan de rand.,Nederlands,condition/examination description
f5fb8982-6320-5ad9-83b8-330917c18bd4,tg:lhob:721,Conditions,2,note.lhconditie,De vering van de fauteuils is in slechte staat. Beide fauteuils vertonen gebruikssporen.,De vering van de fauteuils is in slechte staat. Beide fauteuils vertonen gebruikssporen.,Nederlands,condition/examination description
0847d133-0ada-5261-bee0-1f179bc0f263,tg:lhob:516,Conditions,2,note.lhconditie,Oxidatie,Oxidatie,Nederlands,condition/examination description
e23288ee-aaa0-55b6-a9dc-96ef68bc2b6d,tg:lhob:700,Conditions,2,note.lhconditie,De rand van de kop heeft een kleine beschadiging.,De rand van de kop heeft een kleine beschadiging.,Nederlands,condition/examination description
9e467cf2-532f-5f14-a60c-b4c7970f5835,tg:lhob:720,Conditions,2,note.lhconditie,"De stoffering, onderstoffering en vering van de stoelen zijn in zeer slechte staat. Ook de poten en de armleuningen vertonen gebruikssporen.","De stoffering, onderstoffering en vering van de stoelen zijn in zeer slechte staat. Ook de poten en de armleuningen vertonen gebruikssporen.",Nederlands,condition/examination description
3971c9bc-2e36-58a9-86f3-09084647bf74,tg:lhob:274,Conditions,1,note.lhconditie,Gebroken onder de ketel. In het verleden reeds verlijmd.,Gebroken onder de ketel. In het verleden reeds verlijmd.,Nederlands,condition/examination description
bf488e8e-0d36-5e38-8c12-df9cc968fa9f,tg:lhob:357,Conditions,1,note.lhconditie,Twee afgebroken veren,Twee afgebroken veren,Nederlands,condition/examination description
c51130d7-eff4-5fc8-80d5-926020c83fe7,tg:lhsc:729,Conditions,2,note.lhconditie,"* opp.vuil

* vlekken: grijze schimmelvlekjes

* lacunes: rechterzijkant, kleine lacune

* schimmel:

(23/08/2001)","* opp.vuil

* vlekken: grijze schimmelvlekjes

* lacunes: rechterzijkant, kleine lacune

* schimmel:

(23/08/2001)",Nederlands,condition/examination description
76d1d594-7daa-5788-b714-b5e906c49376,tg:lhsc:683,Conditions,1,note.lhconditie,"* opp.vuil

* lacunes: kleine lacunes verspreid over het beeld

(03/09/2001)","* opp.vuil

* lacunes: kleine lacunes verspreid over het beeld

(03/09/2001)",Nederlands,condition/examination description
4581f726-f3be-55e0-9df3-a7421168cf88,tg:lhsc:6935,Conditions,2,note.lhconditie,"19/09/2006: Matig, afschilfering van de verflaag linkerwenkbrauw, neus, rechterslaap, baard, linker en rechterhoek. Druipspoor van haarlijn linksboven tot onderaan kraag.","19/09/2006: Matig, afschilfering van de verflaag linkerwenkbrauw, neus, rechterslaap, baard, linker en rechterhoek. Druipspoor van haarlijn linksboven tot onderaan kraag.",Nederlands,condition/examination description
964cc9f8-c6fb-5e05-be6f-a69ec8f45f88,tg:lhsc:816,Conditions,2,note.lhconditie,"* opp.vuil

(31/08/2001)","* opp.vuil

(31/08/2001)",Nederlands,condition/examination description
84c924d8-6955-52ca-b091-4cf48979272b,tg:lhsc:1989,Conditions,2,note.lhconditie,goed 4/11/2003. Vuil,goed 4/11/2003. Vuil,Nederlands,condition/examination description
41b4a25e-fb9e-5f1c-898b-5cf330d4ad97,tg:lhsc:1120,Conditions,3,note.lhconditie,"* opp.vuil

* lacunes: kleine, in het haar

Conditie van de sokkel

* opp.vuil

* lacunes: linkerhoek, links achter

(04/09/2001)","* opp.vuil

* lacunes: kleine, in het haar

Conditie van de sokkel

* opp.vuil

* lacunes: linkerhoek, links achter

(04/09/2001)",Nederlands,condition/examination description
c57d3dff-ca95-5c7a-a70c-0715b04bad2c,tg:lhsc:1065,Conditions,3,note.lhconditie,"* opp.vuil

* lacunes: linker oor

* krassen

* lacunes in de afwerkingslaag: kleintjes

(05/09/2001)","* opp.vuil

* lacunes: linker oor

* krassen

* lacunes in de afwerkingslaag: kleintjes

(05/09/2001)",Nederlands,condition/examination description
edc8c733-dcfd-5003-b0f8-e0983ef6b059,tg:lhsc:953,Conditions,2,note.lhconditie,"* opp.vuil

(10/09/2001)","* opp.vuil

(10/09/2001)",Nederlands,condition/examination description
544acddc-3fe4-5e0d-b9d3-5229b7329e99,tg:lhsc:791,Conditions,2,note.lhconditie,"* opp.vuil

* krassen: linkerzijde hals

(05/09/2001)

09/02/2005: Krassen op de rechterwang. Afschilfering van een hoekje uit de
linkerbovenzijde van de sokkel.","* opp.vuil

* krassen: linkerzijde hals

(05/09/2001)

09/02/2005: Krassen op de rechterwang. Afschilfering van een hoekje uit de
linkerbovenzijde van de sokkel.",Nederlands,condition/examination description
c109e1c8-3c8c-5d08-ab95-85b87e1decba,tg:lhsc:1177,Conditions,3,note.lhconditie,"* opp.vuil

Conditie van de sokkel

* opp.vuil

(29/08/2001)","* opp.vuil

Conditie van de sokkel

* opp.vuil

(29/08/2001)",Nederlands,condition/examination description
9a3697a7-0eb4-5fc8-8218-9cadb7d1fd11,tg:lhsc:841,Conditions,2,note.lhconditie,"* opp.vuil

* vlekken: onder en langs rechterrand resten van witte verf

(24/08/2001)","* opp.vuil

* vlekken: onder en langs rechterrand resten van witte verf

(24/08/2001)",Nederlands,condition/examination description
45f7e0df-8b29-5eb8-9067-5079ce728265,tg:lhsc:904,Conditions,2,note.lhconditie,"* opp.vuil

* vlekken: zwarte schimmel

* schimmel

(22/08/2001)","* opp.vuil

* vlekken: zwarte schimmel

* schimmel

(22/08/2001)",Nederlands,condition/examination description
67c5f24b-ffab-5b5d-82d4-1c9e129a3fa8,tg:lhsc:1198,Conditions,2,note.lhconditie,"* opp.vuil

* lacunes in de afwerkingslaag: wandelstok, voorkant lichaam

(10/09/2001)","* opp.vuil

* lacunes in de afwerkingslaag: wandelstok, voorkant lichaam

(10/09/2001)",Nederlands,condition/examination description
1609b2cf-5d7d-50bc-ab15-5385e12df4b2,tg:lhsc:457,Conditions,3,note.lhconditie,"* opp.vuil

* barsten: linkervleugel stormvogel

* lacunes: in de vleugel

* lacunes in de afwerkingslaag: linkerbovenbeen

(11/09/2001)

1/09/2004: Goed, gerestaureerd door privérestauratrice Kim Raymakers.","* opp.vuil

* barsten: linkervleugel stormvogel

* lacunes: in de vleugel

* lacunes in de afwerkingslaag: linkerbovenbeen

(11/09/2001)

1/09/2004: Goed, gerestaureerd door privérestauratrice Kim Raymakers.",Nederlands,condition/examination description
1906ee6d-eb81-5292-bc07-6bc13cd7780d,tg:lhsc:9402,Conditions,1,note.lhconditie,"* opp.vuil
* lacunes in de afwerkingslaag: schilfers

(30/08/2001)","* opp.vuil
* lacunes in de afwerkingslaag: schilfers

(30/08/2001)",Nederlands,condition/examination description
0e60bd6c-c9d5-570a-a65a-f17bbf834784,tg:lhsc:1032,Conditions,2,note.lhconditie,"* opp.vuil

* vlekken: voorhoofd, schimmel, blauwe verfvlek rechts op het voorhoofd

* barsten: boven het rechter oor

* lacunes: topje van de neus

* schimmel

* lacunes in de afwerkingslaag: op de kin en op de ploien in de hals

(06/09/2001)","* opp.vuil

* vlekken: voorhoofd, schimmel, blauwe verfvlek rechts op het voorhoofd

* barsten: boven het rechter oor

* lacunes: topje van de neus

* schimmel

* lacunes in de afwerkingslaag: op de kin en op de ploien in de hals

(06/09/2001)",Nederlands,condition/examination description
ae836d71-5e59-5462-9c05-31c088dd28c5,tg:lhsc:768,Conditions,2,note.lhconditie,"* opp.vuil

* lacunes in de afwerkingslaag: een aantal zeer kleine lacunes

(24/08/2001)","* opp.vuil

* lacunes in de afwerkingslaag: een aantal zeer kleine lacunes

(24/08/2001)",Nederlands,condition/examination description
30d5beb5-d97e-5113-9ef4-c93ee48fe2a4,tg:lhsc:1618,Conditions,2,note.lhconditie,goed 9/09/2003,goed 9/09/2003,Nederlands,condition/examination description
8952ee98-4a3b-5e5a-b709-53a2465da5a3,tg:lhsc:9382,Conditions,2,note.lhconditie,28/05/2014: goed,28/05/2014: goed,Nederlands,condition/examination description
