ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
ab42045f-6e40-5c85-9079-435c3680d52a,tg:lhob:115,Dimensions,kenmerken.lhdiamob,45,diameter,millimeter
d0040669-e75c-5a8b-871b-f280d696ae37,tg:lhob:284,Dimensions,kenmerken.lhdiamob,140,diameter,millimeter
bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,tg:lhob:292,Dimensions,kenmerken.lhdiamob,160,diameter,millimeter
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,tg:lhob:338,Dimensions,kenmerken.lhdiamob,150,diameter,millimeter
8e3b6e00-2a8c-5128-8fb0-f42e519e1290,tg:lhob:441,Dimensions,kenmerken.lhdiamob,28,diameter,millimeter
b5714f50-9ce1-55a7-a857-8d0d261f8701,tg:lhob:553,Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,Dimensions,kenmerken.lhdiamob,70,diameter,millimeter
ab69a3bf-86ff-5650-895c-5337902b75cd,tg:lhob:601,Dimensions,kenmerken.lhdiamob,70,diameter,millimeter
8d2ffbfc-9e25-5c51-be3e-38a01561baf4,tg:lhob:314,Dimensions,kenmerken.lhdiamob,95,diameter,millimeter
d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,tg:lhob:528,Dimensions,kenmerken.lhdiamob,95,diameter,millimeter
44e552c6-c31f-5bd1-99c9-0b205cec829e,tg:lhob:656,Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
0f54d3fa-a71c-5e14-ba61-7ea676a233b3,tg:lhob:640,Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,tg:lhob:355,Dimensions,kenmerken.lhdiamob,125,diameter,millimeter
c2b8a3e8-a46f-5bf6-96e7-c8d288dabfe0,tg:lhob:617,Dimensions,kenmerken.lhdiamob,65,diameter,millimeter
38df51fb-9845-55ec-8d64-a9bae16384eb,tg:lhob:549,Dimensions,kenmerken.lhdiamob,51,diameter,millimeter
f86a177c-40a0-5a3d-98e8-ee8114ddef11,tg:lhob:375,Dimensions,kenmerken.lhdiamob,32,diameter,millimeter
aa7620ed-b248-5012-801d-44af139e0277,tg:lhob:230,Dimensions,kenmerken.lhdiamob,210,diameter,millimeter
1e154e2a-486a-5acd-810e-4c7155cbbfa4,tg:lhob:288,Dimensions,kenmerken.lhdiamob,310,diameter,millimeter
40b73b50-6a75-5243-a771-c34a962e6579,tg:lhob:322,Dimensions,kenmerken.lhdiamob,120,diameter,millimeter
7d7fefa8-3307-51de-a7ac-da11e4248928,tg:lhob:637,Dimensions,kenmerken.lhdiamob,150,diameter,millimeter
42f6290b-a696-5dc3-a692-36b9e0e67b51,tg:lhob:158,Dimensions,kenmerken.lhdiamob,25,diameter,millimeter
1bbe3e40-dd56-598f-a25d-262e4e247b86,tg:lhob:271,Dimensions,kenmerken.lhdiamob,105,diameter,millimeter
06921aaa-1516-5f27-a96a-bf985f5e3171,tg:lhob:363,Dimensions,kenmerken.lhdiamob,140,diameter,millimeter
2eae7de6-e530-56a3-acf9-d6e9b56384d3,tg:lhob:676,Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
1e5a2451-acba-564b-95bc-c7b12f049888,tg:lhob:226,Dimensions,kenmerken.lhdiamob,150,diameter,millimeter
38b2d592-a7a1-5130-9e10-1b2c7a4af8ad,tg:lhob:174,Dimensions,kenmerken.lhdiamob,20,diameter,millimeter
f23cbd96-2b7d-5902-8a8e-1491530ffb68,tg:lhob:524,Dimensions,kenmerken.lhdiamob,60,diameter,millimeter
3e19ea84-4ecb-5977-9421-9ffa7cf127b1,tg:lhob:318,Dimensions,kenmerken.lhdiamob,120,diameter,millimeter
a008a896-b7c3-5d2f-ad98-597ad3ab33b1,tg:lhob:436,Dimensions,kenmerken.lhdiamob,22,diameter,millimeter
686aaaeb-90ba-5ddb-88fe-f13ac964755c,tg:lhob:573,Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
93cb61b6-7711-5dfe-a061-569ac06464be,tg:lhob:123,Dimensions,kenmerken.lhdiamob,62,diameter,millimeter
c7135e38-584c-5a54-8836-5433378b28ad,tg:lhob:532,Dimensions,kenmerken.lhdiamob,51,diameter,millimeter
6b25ae3c-1a1a-59a4-a776-a24cd0f9e1e6,tg:lhob:533,Dimensions,kenmerken.lhdiamob,27,diameter,millimeter
5b7bbf90-249a-50cd-b832-34789cc9fe4f,tg:lhob:564,Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
039e2f17-f200-5204-b703-688251042d88,tg:lhob:437,Dimensions,kenmerken.lhdiamob,70,diameter,millimeter
d6ddc6e0-bdbd-5df8-92e4-9f59bd1f9bb1,tg:lhob:572,Dimensions,kenmerken.lhdiamob,60,diameter,millimeter
d04d6f12-b361-5dc9-9072-33c4896dc250,tg:lhob:319,Dimensions,kenmerken.lhdiamob,140,diameter,millimeter
6168c962-3e49-5cc3-bc28-25b3366a6315,tg:lhob:525,Dimensions,kenmerken.lhdiamob,60,diameter,millimeter
38bab78f-ccfe-5cc7-ba4a-274a5667314d,tg:lhob:362,Dimensions,kenmerken.lhdiamob,110,diameter,millimeter
ae4ddc15-90b6-5216-9c39-47a4d69fee0d,tg:lhob:677,Dimensions,kenmerken.lhdiamob,70,diameter,millimeter
68063590-95c5-5ec6-9f10-fd69b8b51b68,tg:lhob:227,Dimensions,kenmerken.lhdiamob,140,diameter,millimeter
d30cff16-d872-5c7e-a09f-b05ede5c5258,tg:lhob:335,Dimensions,kenmerken.lhdiamob,110,diameter,millimeter
f71795ce-64f8-5d14-bec0-e7aaea80989f,tg:lhob:270,Dimensions,kenmerken.lhdiamob,75,diameter,millimeter
c63e171d-b02a-5052-a9f0-769d01eaab54,tg:lhob:289,Dimensions,kenmerken.lhdiamob,200,diameter,millimeter
b06ff932-a1e4-562b-944e-cd87ab59530c,tg:lhob:231,Dimensions,kenmerken.lhdiamob,110,diameter,millimeter
6ff7a84d-0bc7-58a3-bd6c-db8914a0b969,tg:lhob:616,Dimensions,kenmerken.lhdiamob,69,diameter,millimeter
ad6695ec-5571-566c-9f72-acd025570b4b,tg:lhob:246,Dimensions,kenmerken.lhdiamob,175,diameter,millimeter
cf431aeb-e507-5698-a484-13bf523fa092,tg:lhob:641,Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
