ResourceID,brocade.id,card,order,source_field,Description,Description Language,Description Type
bd7ce636-cc81-583e-a78c-3b8f0752a379,tg:lhob:683,Descriptions,1,note.lhdetail,"Een borstster in de vorm van een vierarmig, rood geëmailleerd kruis met acht punten en stralen tussen de armen. Recto: [Centraal een goudkleurig medaillon met koninklijke monogram van Isabella I van Castilië in blauwe letters. Rondom het medaillon een groene lauwerkrans omwikkeld door een wit lint met gouden boorden. Het lint is onderaan gestrikt. Boven de krans een klein, rond schildje onder een beugelkroon. Op het schildje een goudkleurige afbeelding van ‘de zuilen van Hercules’ op een blauwe achtergrond]. Op het witte lint: A LA LEALTAD ACRISOLADA / POR ISABEL LA CATÓLICA.
",Nederlands,
5a61ea94-31bc-52dd-a755-d066d29d47b9,tg:lhob:379,Descriptions,1,id.desc,"Hanger uit metaal en glas, mMet een portret en een haarlok van Jan van Ryswyck.",Nederlands,
bd6a24a7-aded-52a3-b50c-56afca72e232,tg:lhob:396,Descriptions,1,id.desc,"Metalen sigarettendoos met binnenin een opgevouwen papier, met een haarlok van Ledeganck, afgesneden tijdens het maken van zijn masker.",Nederlands,
ab42045f-6e40-5c85-9079-435c3680d52a,tg:lhob:115,Descriptions,1,id.desc,"Cilindervormig potje, mogelijk inktpot of pennenhouder.",Nederlands,
cd2daffa-e245-5210-a2df-5e8d206c2148,tg:lhob:545,Descriptions,1,note.lhdetail,"Kruisvormig ereteken met draagoog aan een blauw/wit/rood/geel lint. Recto: [Op een achtergrond van blauw email, een gekroonde goudkleurige papegaai met gespreide vleugels en een rood, geslepen steentje als oog. De papegaai heeft een Bourgondische vuurslag in zijn klauwen]. Verso: [Centraal is een zilverkleurig rond metalen plaatje bevestigd]. Op het plaatje: SEBREGTS L. / 3.",Nederlands,
10ca59b0-91e3-567e-998d-80535d66fd46,tg:lhob:400,Descriptions,1,id.desc,"Twee paar oorbellen met imitatieparels en -diamanten (theaterattributen), in een metalen sigarendoos.",Nederlands,
d0040669-e75c-5a8b-871b-f280d696ae37,tg:lhob:284,Descriptions,1,id.desc,Pijp van Benoy uit het uit nalatenschap van Lode Sebregts. Figuratieve meerschuim ketel in de vorm van een mannenhoofd. Gebogen steel. In een opbergdoosje.,Nederlands,
10478800-d203-5ea2-95a8-f28860cc5b30,tg:lhob:142,Descriptions,1,id.desc,Drie stempels met zijn initialen,Nederlands,
bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,tg:lhob:292,Descriptions,1,id.desc,"pijp met Bruyère ketel en een gebogen steel, in een stoffen zakje.",Nederlands,
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,tg:lhob:338,Descriptions,1,id.desc,Zwaar kunststoffen montuur.,Nederlands,
8e3b6e00-2a8c-5128-8fb0-f42e519e1290,tg:lhob:441,Descriptions,1,note.lhdetail,"Recto: [gekroond wapenschild van Amsterdam in lauwerkrans], A. FISCH. B. Verso: GROOTE ZANGWEDSTRIJD AMSTERDAM / AMSTELS / MANNENKOOR / 1876. Met draagoog.",Nederlands,
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,tg:lhob:695,Descriptions,1,id.desc,Stempel met handvat,Nederlands,
2c34ea20-351b-5681-8156-6799501d4711,tg:lhob:380,Descriptions,1,id.desc,"Neusknijper met een rechte verende brug, een metalen kettinkje en één oorhaak in een brillendoosje met klapdeksel.",Nederlands,
b5714f50-9ce1-55a7-a857-8d0d261f8701,tg:lhob:553,Descriptions,1,note.lhdetail,Recto: [Het gekroonde wapenschild van ‘De Gulden Rinck’ met een wildeman en wildevrouw als schildhouders. Boven en onder het schild een banderol]. Rondschrift: DE EDELE SCHUTTERSGILDE / DEN GULDEN RINCK. Op banderol boven het schild: HORIDO. Op banderol onder het schild: ATTEN / LE / TEMPS. Verso: [Drie wapenschilden van schuttersgilden]. LODE SEBREGTS / OPENINGS / SCHIETING / 1968.,Nederlands,
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,Descriptions,1,note.lhdetail,"Recto: [Centraal een tunnel geflankeerd door twee staande vrouwenfiguren die elkaar de handen reiken en bovenaan een schip op de Schelde]. Onderaan de tekst: I.M.A.L.S.O.  Links in kleine letters: PHILO VAN RIEL. Verso:  [Centraal het stadswapen van Antwerpen]. Rondom de tekst: INHULDIGING / SCHELDETUNNELS / 10 SEPT. / 1933. Op de rand: J. FONSON.

",Nederlands,
