ResourceID,brocade.id,card,order,source_field,source_code,Dimension Source Note
f054665f-e89b-5527-b4be-e1d47a4263cb,tg:lhph:30552,DimensionSourceNotes,1,kenmerken.lhformatph,6 x 6,6 x 6
87f8effb-7485-5d82-846f-99bff333cfc0,tg:lhph:37297,DimensionSourceNotes,1,kenmerken.lhformatph,"6 x 4,5","6 x 4,5"
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,DimensionSourceNotes,1,kenmerken.lhformatph,180 x 122,180 x 122
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,DimensionSourceNotes,1,kenmerken.lhformatph,65 x 108,65 x 108
ff50b330-23a5-5a54-be81-c61883a518b0,tg:lhph:2833,DimensionSourceNotes,1,kenmerken.lhformatph,89 x 85,89 x 85
bfc0ee81-10b3-54bd-8ca4-61147179c437,tg:lhph:29289,DimensionSourceNotes,1,kenmerken.lhformatph,170 x 230,170 x 230
94fe2532-900e-5ed6-ba1f-becb3618e2da,tg:lhph:23684,DimensionSourceNotes,1,kenmerken.lhformatph,181 x 122,181 x 122
f90accfd-a381-51aa-a1d4-83618b68b83f,tg:lhph:24141,DimensionSourceNotes,1,kenmerken.lhformatph,187 x 37,187 x 37
05d64298-749d-55d1-aac7-937d9ecf5d20,tg:lhph:42397,DimensionSourceNotes,1,kenmerken.lhformatph,80 x 52,80 x 52
4c4c99a5-d95e-5ec7-92c2-8931ced9578a,tg:lhph:13232,DimensionSourceNotes,1,kenmerken.lhformatph,79&Oslash,79&Oslash
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,tg:lhph:45452,DimensionSourceNotes,1,kenmerken.lhformatph,"148 x 104 (ovaal, zonder rand) <br>250 x 180 (met rand)","148 x 104 (ovaal, zonder rand) <br>250 x 180 (met rand)"
f38c9cdd-2aff-5406-a5fb-831ee705ab9b,tg:lhph:22996,DimensionSourceNotes,1,kenmerken.lhformatph,80 x 55,80 x 55
2a644055-3257-5800-85cb-54a393c05a4f,tg:lhph:38162,DimensionSourceNotes,1,kenmerken.lhformatph,60 x 60,60 x 60
65e19c5f-74bd-564c-a680-7a88e1099b2d,tg:lhph:47195,DimensionSourceNotes,1,kenmerken.lhformatph,325 x 390,325 x 390
525cb592-4469-5472-a28b-915d0df4c87b,tg:lhph:729,DimensionSourceNotes,1,kenmerken.lhformatph,190 x 250,190 x 250
2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,tg:lhph:16030,DimensionSourceNotes,1,kenmerken.lhformatph,141 x 106,141 x 106
4a6baaba-17fa-558f-965c-e7b475dac7c6,tg:lhph:40650,DimensionSourceNotes,1,kenmerken.lhformatph,35mm,35mm
