ResourceID,brocade.id,card,Start Date,End Date,Start Date Note,Start Date Note Type,Start Date Note Language
f054665f-e89b-5527-b4be-e1d47a4263cb,tg:lhph:30552,ProductionTimeSpans,nan,nan,nan,nan,nan
87f8effb-7485-5d82-846f-99bff333cfc0,tg:lhph:37297,ProductionTimeSpans,1950,nan,nan,nan,nan
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,ProductionTimeSpans,1933,nan,nan,nan,nan
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,ProductionTimeSpans,1930,nan,nan,nan,nan
ff50b330-23a5-5a54-be81-c61883a518b0,tg:lhph:2833,ProductionTimeSpans,1964,nan,nan,nan,nan
bfc0ee81-10b3-54bd-8ca4-61147179c437,tg:lhph:29289,ProductionTimeSpans,1967,nan,nan,nan,nan
94fe2532-900e-5ed6-ba1f-becb3618e2da,tg:lhph:23684,ProductionTimeSpans,1955,nan,nan,nan,nan
05d64298-749d-55d1-aac7-937d9ecf5d20,tg:lhph:42397,ProductionTimeSpans,1933-06-11,nan,nan,nan,nan
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,tg:lhph:45452,ProductionTimeSpans,1920,nan,nan,nan,nan
f38c9cdd-2aff-5406-a5fb-831ee705ab9b,tg:lhph:22996,ProductionTimeSpans,1930,nan,nan,nan,nan
2a644055-3257-5800-85cb-54a393c05a4f,tg:lhph:38162,ProductionTimeSpans,1905,nan,nan,nan,nan
65e19c5f-74bd-564c-a680-7a88e1099b2d,tg:lhph:47195,ProductionTimeSpans,1897,nan,nan,nan,nan
525cb592-4469-5472-a28b-915d0df4c87b,tg:lhph:729,ProductionTimeSpans,1966,nan,nan,nan,nan
2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,tg:lhph:16030,ProductionTimeSpans,1974,nan,nan,nan,nan
e8d3e385-f479-5b92-bf4a-b97898fa3ff1,tg:lhph:38498,ProductionTimeSpans,nan,nan,nan,nan,nan
97d26865-82f1-5053-8403-0e505e73c673,tg:lhph:41942,ProductionTimeSpans,1966,nan,nan,nan,nan
37e8668f-2309-5ed4-806b-b10a19c582e7,tg:lhph:26486,ProductionTimeSpans,1950,nan,nan,nan,nan
8978b3d2-be52-55ac-ac4c-9d80011fefc1,tg:lhph:21343,ProductionTimeSpans,1938-12-17,nan,nan,nan,nan
6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,tg:lhph:29773,ProductionTimeSpans,1918,nan,nan,nan,nan
14284bdf-7a32-570d-83ad-818e882df6e8,tg:lhph:34842,ProductionTimeSpans,1957,nan,nan,nan,nan
c2aa9ae8-0c83-52c3-ac9e-23d097803010,tg:lhph:48260,ProductionTimeSpans,1977,1978,nan,nan,nan
b692481a-9b2a-5ad9-9060-eea7c0a4fccd,tg:lhph:32095,ProductionTimeSpans,1979-11-09,nan,nan,nan,nan
e719f44a-712c-5df1-a3c0-a1d5f5191ffd,tg:lhph:6523,ProductionTimeSpans,1952-08-25,nan,nan,nan,nan
6ff9cac8-9b83-5c98-b844-5fa6712e8ff6,tg:lhph:30102,ProductionTimeSpans,1948,nan,nan,nan,nan
b14cf90b-19a9-5639-a891-8d9f62d7308b,tg:lhph:6489,ProductionTimeSpans,1957-08-18,nan,nan,nan,nan
572bd27f-1ce0-5037-9ba3-77b0cebd2b9f,tg:lhph:3371,ProductionTimeSpans,nan,nan,nan,nan,nan
c2a62fab-721e-5a30-89f9-b5c344cf7b9a,tg:lhph:683,ProductionTimeSpans,1976,nan,nan,nan,nan
