ResourceID,brocade.id,card,order,ire.isaar.uuid,ISAAR Brocade ID,Entity Relation,Entity Note,Entity Widget,Entity Identifier
f054665f-e89b-5527-b4be-e1d47a4263cb,tg:lhph:30552,OriginalBrocade,2,78628796-a7ae-58b8-b48f-0688bd36c26b,au::8204,keywords,,"dlod={""name"":""Clara Haesaert"",""ark"":""ark:/83110/x0/78628796-a7ae-58b8-b48f-0688bd36c26b"",""uri"":""/agents/people/86551"",""id"":""au::8204"",""nameWithContext"":[""Claire Weyens""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/78628796-a7ae-58b8-b48f-0688bd36c26b
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,OriginalBrocade,1,3af26a0b-9e0c-5f83-95ae-4620679c2341,au::12577,keywords,,"dlod={""name"":""Marten Melsen"",""ark"":""ark:/83110/x0/3af26a0b-9e0c-5f83-95ae-4620679c2341"",""uri"":""/agents/people/89785"",""id"":""au::12577"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3af26a0b-9e0c-5f83-95ae-4620679c2341
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,OriginalBrocade,2,f100a5a7-26d8-5a2d-9c4d-da7000787868,au::21790,keywords,,"dlod={""name"":""Lode Zielens"",""ark"":""ark:/83110/x0/f100a5a7-26d8-5a2d-9c4d-da7000787868"",""uri"":""/agents/people/81376"",""id"":""au::21790"",""nameWithContext"":[""Brabo"",""Carolus"",""Neptuin"",""Fernand van Rooy"",""Scaldis""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/f100a5a7-26d8-5a2d-9c4d-da7000787868
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,OriginalBrocade,3,1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,au::2268,keywords,,"dlod={""name"":""Emmanuel de Bom"",""ark"":""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""uri"":""/agents/people/75531"",""id"":""au::2268"",""nameWithContext"":[""H.P."",""Havelingk"",""Ernest d' Hooghe"",""Jan Baptist Janssens"",""Mane"",""Alfried Mendel"",""P.H."",""Daniel Quilp"",""W. Steenackers"",""Thekel"",""G.J van Stockstraeten"",""Karel van Mander"",""Nand Verdonck"",""Dr. Kwabbes"",""Mac Adam"",""Th. van Hauwaert"",""J. Fr. Liebrechts"",""Alfried Mandel"",""H. Ambeloke"",""Bob Calefoot"",""Cheops"",""Colum-Massa"",""Massa"",""Elinor"",""Louis Frisé"",""Piet Palings"",""L. Fré"",""Hatteras"",""Shandy"",""Tsjitsjikoff"",""Louis Trisé""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,OriginalBrocade,1,4499d336-3533-53a8-aa77-f260b15b0644,au::13772,keywords,,"dlod={""name"":""Jan van Nijlen"",""ark"":""ark:/83110/x0/4499d336-3533-53a8-aa77-f260b15b0644"",""uri"":""/agents/people/74330"",""id"":""au::13772"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4499d336-3533-53a8-aa77-f260b15b0644
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,OriginalBrocade,2,6726ddd1-e505-57f8-b876-90cb6bef21b9,au::14652,keywords,,"dlod={""name"":""Edgar du Perron"",""ark"":""ark:/83110/x0/6726ddd1-e505-57f8-b876-90cb6bef21b9"",""uri"":""/agents/people/92439"",""id"":""au::14652"",""nameWithContext"":[""W.C. Kloot van Neukema"",""Duco Perkens""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6726ddd1-e505-57f8-b876-90cb6bef21b9
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,OriginalBrocade,3,320121c1-4ca9-5a27-aec0-ed596bce9f31,au::7927,keywords,,"dlod={""name"":""Jan Greshoff"",""ark"":""ark:/83110/x0/320121c1-4ca9-5a27-aec0-ed596bce9f31"",""uri"":""/agents/people/48955"",""id"":""au::7927"",""nameWithContext"":[""Dirk Bouts"",""Joh. G. Brands"",""A. van Doorn"",""J. Janszen"",""Prikkebeen"",""Badius van Someren"",""Joost Tack"",""H.L. Voet"",""J.J. van Voorne"",""Jan van Zomeren""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/320121c1-4ca9-5a27-aec0-ed596bce9f31
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,OriginalBrocade,4,d1cff61d-0f16-510b-b15c-cbb475a42fc1,au::8555,keywords,,"dlod={""name"":""Franz Hellens"",""ark"":""ark:/83110/x0/d1cff61d-0f16-510b-b15c-cbb475a42fc1"",""uri"":""/agents/people/69321"",""id"":""au::8555"",""nameWithContext"":[""Frédéric van Ermengem""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d1cff61d-0f16-510b-b15c-cbb475a42fc1
ff50b330-23a5-5a54-be81-c61883a518b0,tg:lhph:2833,OriginalBrocade,1,c526cbe4-717b-5c2c-9bfe-491f98d553c0,au::7555,keywords,,"dlod={""name"":""Maurice Gilliams"",""ark"":""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""uri"":""/agents/people/87078"",""id"":""au::7555"",""nameWithContext"":[""Floris van Merckem""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0
bfc0ee81-10b3-54bd-8ca4-61147179c437,tg:lhph:29289,OriginalBrocade,2,ebf9812b-9ecc-5688-b579-5f8db340d104,au::15479,keywords,,"dlod={""name"":""Roger Raveel"",""ark"":""ark:/83110/x0/ebf9812b-9ecc-5688-b579-5f8db340d104"",""uri"":""/agents/people/75279"",""id"":""au::15479"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ebf9812b-9ecc-5688-b579-5f8db340d104
