ResourceID,brocade.id,card,order,note
b201c8cf-ff15-506a-9b39-d2d4f59631de,tg:lhps:13679_#1,e22_OtherIdentifiers,1,Twee exemplaren
9efb6f76-5055-5dfc-894d-867469d02330,tg:lhps:46643_#2,e22_OtherIdentifiers,2,"Twee exempl., formaat: 118,5 x 83,5"
da1d8d9c-372b-51c0-95b7-1e5765ee8cf9,tg:lhps:58663_#1,e22_OtherIdentifiers,1,Uit F 221 / 23
1bf2530d-d6ad-509a-9082-077595400d3d,tg:lhps:57590_#1,e22_OtherIdentifiers,1,Uit F 221 / 9
8aed595f-ea56-550b-b967-6baae4be7299,tg:lhps:58673_#1,e22_OtherIdentifiers,1,Uit F 221 / 47
d345e36c-1ce4-5acf-99a5-e5802c28ddb7,tg:lhps:18881_#2,e22_OtherIdentifiers,2,opgekleefd op doek
bbab89a6-b709-5648-b1ae-7f9c3e4e4ab0,tg:lhps:57842_#1,e22_OtherIdentifiers,1,Uit F 221 / 10
095f358c-6efd-5afd-809f-c8165486efb8,tg:lhps:57852_#1,e22_OtherIdentifiers,1,Uit F 221 / 11
91b78244-c83e-5430-b8a6-7781c22922a0,tg:lhps:7190_#3,e22_OtherIdentifiers,3,opgekleefd op doek
3367ecf9-eef8-5687-ab54-39252ce6e0bb,tg:lhps:57737_#1,e22_OtherIdentifiers,1,Uit F 221 / 12
9c9fb252-a0b3-5e64-8fef-4d10718e64bf,tg:lhps:43772_#1,e22_OtherIdentifiers,1,affiche op doek
12106267-affe-5195-a7dd-72863976f621,tg:lhps:57727_#1,e22_OtherIdentifiers,1,Uit F 221 / 13
e6063851-868c-5b64-a884-c6abb7160d9e,tg:lhps:33945_#1,e22_OtherIdentifiers,1,"Oud Plaatsingsnummer: AV.38.5.10.153
"
79b810e6-bc20-5e26-839e-b8e23e28f1db,tg:lhps:28202_#1,e22_OtherIdentifiers,1,Oude nummering: 60.2.229
663d540f-8b9f-5de8-9fb2-0f07504d46a0,tg:lhps:58916_#1,e22_OtherIdentifiers,1,Uit F 221 / 17
952f38b4-acda-5b8a-b0be-df133a592627,tg:lhps:34171_#2,e22_OtherIdentifiers,2,"Oude nummering Volkskunde: 93.21.246

Onderste teksrstrook ontbreekt"
323e1df6-d917-5f05-945e-b71314f2b6bb,tg:lhps:25702_#2,e22_OtherIdentifiers,2,Exemplaar zonder correctie
780c5156-2592-5227-8f9f-fc491132f7bf,tg:lhps:58906_#1,e22_OtherIdentifiers,1,Uit F 221 / 45
525fab82-72ba-5a69-a760-8375e89b841b,tg:lhps:49509_#2,e22_OtherIdentifiers,2,118 x 83
1a742d56-389d-5208-99fa-d6b0d84c50e4,tg:lhps:49234_#2,e22_OtherIdentifiers,2,Exemplaar verkregen via Prentenkabinet 27/7/2017
2c628abc-2415-534a-9130-53740b33df69,tg:lhps:49920_#1,e22_OtherIdentifiers,1,"lay-out: Rite Ronse; affiche: Els Huygelen

tekst recto verso"
24d0d05c-9529-5916-ab04-048d39266dc8,tg:lhps:52267_#1,e22_OtherIdentifiers,1,Ad hoc Design
