ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Type
af78f121-3782-5e85-b6ab-b573a281e6d8,tg:lhps:14757,e73_Copyrights,1993-09-28,2108-09-28,In Copyright
efdece0b-2f77-5c99-8f33-2e5fb2a14146,tg:lhps:40182,e73_Copyrights,uuuu-02-26,,No Copyright - Public Domain Mark 1.0
ee59d718-19e6-5e53-9559-0070c47ce55b,tg:lhps:62298,e73_Copyrights,2019-10-04,2134-10-04,In Copyright
96929729-77ba-5fda-8838-ee32a4693ff7,tg:lhps:58036,e73_Copyrights,2002-07-05,2117-07-05,In Copyright
d89cede1-6a11-592f-99c8-6db98eca4e1e,tg:lhps:11171,e73_Copyrights,1980-03-16,2095-03-16,In Copyright
bd19e15b-3444-53af-8240-6291920bbb67,tg:lhps:30898,e73_Copyrights,1990-05-05,2105-05-05,In Copyright
258525ae-3c5b-551c-be83-761cde2a1c18,tg:lhps:54936,e73_Copyrights,1993-11-05,2108-11-05,In Copyright
68f78b7f-aeb8-5d96-83e4-3b793117e1ec,tg:lhps:1130,e73_Copyrights,1957-04-11,2072-04-11,In Copyright
fca80e7c-5ff8-5f2d-9cd1-c63679752d2d,tg:lhps:25526,e73_Copyrights,1966-02-12,2081-02-12,In Copyright
da43fb42-b9c8-54a0-acfb-c7e1049bfc60,tg:lhps:9285,e73_Copyrights,1977-03-18,2092-03-18,In Copyright
b6e45373-3070-5a17-8ea6-0796583d4738,tg:lhps:35727,e73_Copyrights,1971-06-04,2086-06-04,In Copyright
37c9d1b7-f21c-59bb-8e30-8a3163208831,tg:lhps:27346,e73_Copyrights,1978-10-07,2093-10-07,In Copyright
0356dab4-2557-5a6e-b8c4-e69e5cd01cde,tg:lhps:3750,e73_Copyrights,1989-11-11,2104-11-11,In Copyright
96efb833-0d9f-58f1-973d-c08c0ffd5c48,tg:lhps:51689,e73_Copyrights,uuuu-05-28,,No Copyright - Public Domain Mark 1.0
b7c14739-f5f6-5321-95a4-0936063587ba,tg:lhps:13711,e73_Copyrights,uuuu-05-28,,No Copyright - Public Domain Mark 1.0
