ResourceID,brocade.id,card,order,ire.isaar.uuid,ISAAR Brocade ID,Original Entity Relation,Original Entity Widget,Original Entity Identifier
af78f121-3782-5e85-b6ab-b573a281e6d8,tg:lhps:14757,e73_OriginalBrocade,2,31472cf5-3b9f-5525-9c19-25e9f49e9f80,au::10964,keywords,"dlod={""name"":""Hubert Lampo"",""ark"":""ark:/83110/x0/31472cf5-3b9f-5525-9c19-25e9f49e9f80"",""uri"":""/agents/people/78533"",""id"":""au::10964"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/31472cf5-3b9f-5525-9c19-25e9f49e9f80
af78f121-3782-5e85-b6ab-b573a281e6d8,tg:lhps:14757,e73_OriginalBrocade,3,784198d4-56b2-5085-a593-e5c34562b3e0,au::656,keywords,"dlod={""name"":""Archief en Museum voor het Vlaamse Cultuurleven"",""ark"":""ark:/83110/x0/784198d4-56b2-5085-a593-e5c34562b3e0"",""uri"":""/agents/corporate_entities/21311"",""id"":""au::656"",""nameWithContext"":[""AMVC"",""Museum van de Vlaamsche Letterkunde"",""AMVC-Letterenhuis"",""Letterenhuis""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/784198d4-56b2-5085-a593-e5c34562b3e0
efdece0b-2f77-5c99-8f33-2e5fb2a14146,tg:lhps:40182,e73_OriginalBrocade,1,b6a6c72c-8d76-5caf-a26d-6af656005993,au::13549,keywords,"dlod={""name"":""Nederlands Klassiek Verbond"",""ark"":""ark:/83110/x0/b6a6c72c-8d76-5caf-a26d-6af656005993"",""uri"":""/agents/corporate_entities/19726"",""id"":""au::13549"",""nameWithContext"":[""NKV""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b6a6c72c-8d76-5caf-a26d-6af656005993
ee59d718-19e6-5e53-9559-0070c47ce55b,tg:lhps:62298,e73_OriginalBrocade,1,ccb8bea3-fa97-56ce-aacf-e9324ff2601d,au::13092,keywords,"dlod={""name"":""Monty"",""ark"":""ark:/83110/x0/ccb8bea3-fa97-56ce-aacf-e9324ff2601d"",""uri"":""/agents/corporate_entities/20659"",""id"":""au::13092"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ccb8bea3-fa97-56ce-aacf-e9324ff2601d
96929729-77ba-5fda-8838-ee32a4693ff7,tg:lhps:58036,e73_OriginalBrocade,1,50c74ac3-d221-5736-9aa6-f306f6899f12,au::48662,keywords,,
96929729-77ba-5fda-8838-ee32a4693ff7,tg:lhps:58036,e73_OriginalBrocade,2,2bad4895-046d-56c2-aa43-56d38ba14500,au::51582,keywords,"dlod={""name"":""Feestival 2002"",""ark"":""ark:/83110/x0/2bad4895-046d-56c2-aa43-56d38ba14500"",""uri"":""/agents/corporate_entities/27791"",""id"":""au::51582"",""nameWithContext"":[""Folkfestival Gooik""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2bad4895-046d-56c2-aa43-56d38ba14500
96929729-77ba-5fda-8838-ee32a4693ff7,tg:lhps:58036,e73_OriginalBrocade,3,414856ef-4604-5e35-9b37-de0a2c4f8045,au::10353,keywords,"dlod={""name"":""'t Kliekske"",""ark"":""ark:/83110/x0/414856ef-4604-5e35-9b37-de0a2c4f8045"",""uri"":""/agents/corporate_entities/14843"",""id"":""au::10353"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/414856ef-4604-5e35-9b37-de0a2c4f8045
96929729-77ba-5fda-8838-ee32a4693ff7,tg:lhps:58036,e73_OriginalBrocade,4,0784cefd-2384-556c-8329-9cbb0dfdf635,au::50636,keywords,"dlod={""name"":""Kadril"",""ark"":""ark:/83110/x0/0784cefd-2384-556c-8329-9cbb0dfdf635"",""uri"":""/agents/corporate_entities/20791"",""id"":""au::50636"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0784cefd-2384-556c-8329-9cbb0dfdf635
96929729-77ba-5fda-8838-ee32a4693ff7,tg:lhps:58036,e73_OriginalBrocade,5,0053555b-0b0f-5833-8db2-beab49979edd,au::3002,keywords,"dlod={""name"":""Fred Brouwers"",""ark"":""ark:/83110/x0/0053555b-0b0f-5833-8db2-beab49979edd"",""uri"":""/agents/people/60720"",""id"":""au::3002"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0053555b-0b0f-5833-8db2-beab49979edd
62a4d454-6e53-5d15-ad46-0b29fd9e2fab,tg:lhps:20300,e73_OriginalBrocade,2,96d29746-b93f-528a-abc8-8a08c7baed26,au::100181,keywords,,
62a4d454-6e53-5d15-ad46-0b29fd9e2fab,tg:lhps:20300,e73_OriginalBrocade,3,665341af-31dc-56d5-8ba6-d48d48390718,au::20185,keywords,"dlod={""name"":""Het Vlaamsche Front"",""ark"":""ark:/83110/x0/665341af-31dc-56d5-8ba6-d48d48390718"",""uri"":""/agents/corporate_entities/25043"",""id"":""au::20185"",""nameWithContext"":[""Vlaamsch Front""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/665341af-31dc-56d5-8ba6-d48d48390718
d89cede1-6a11-592f-99c8-6db98eca4e1e,tg:lhps:11171,e73_OriginalBrocade,1,09abdd8d-4bf7-50ad-8a0c-33b0460d8220,au::18187,keywords,,
d89cede1-6a11-592f-99c8-6db98eca4e1e,tg:lhps:11171,e73_OriginalBrocade,2,18a25d5c-8f10-5e08-bec2-b9fec80bec4b,au::45174,keywords,,
d89cede1-6a11-592f-99c8-6db98eca4e1e,tg:lhps:11171,e73_OriginalBrocade,3,f3588cfe-f8d8-5942-ba54-b6671f9e8f92,au::18141,keywords,,
38740009-4ebe-5038-9dfa-59746a5ebf72,tg:lhps:41488,e73_OriginalBrocade,1,236f04f7-114a-50b6-be46-b70a2bf408d9,au::10481,keywords,"dlod={""name"":""Koninklijke Academie voor Schone Kunsten [Antwerpen]"",""ark"":""ark:/83110/x0/236f04f7-114a-50b6-be46-b70a2bf408d9"",""uri"":""/agents/corporate_entities/17438"",""id"":""au::10481"",""nameWithContext"":[""KASKA""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/236f04f7-114a-50b6-be46-b70a2bf408d9
bd19e15b-3444-53af-8240-6291920bbb67,tg:lhps:30898,e73_OriginalBrocade,2,df2d2b3d-80c9-504c-bb06-6c136ee312d8,au::17447,keywords,"dlod={""name"":""Stadsschouwburg [Antwerpen]"",""ark"":""ark:/83110/x0/df2d2b3d-80c9-504c-bb06-6c136ee312d8"",""uri"":""/agents/corporate_entities/24964"",""id"":""au::17447"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/df2d2b3d-80c9-504c-bb06-6c136ee312d8
bd19e15b-3444-53af-8240-6291920bbb67,tg:lhps:30898,e73_OriginalBrocade,3,34d3184e-218d-5f3a-b616-bdb577c9de17,au::50602,keywords,"dlod={""name"":""Kunstcentrum \""Il Ventuno\"""",""ark"":""ark:/83110/x0/34d3184e-218d-5f3a-b616-bdb577c9de17"",""uri"":""/agents/corporate_entities/26711"",""id"":""au::50602"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/34d3184e-218d-5f3a-b616-bdb577c9de17
258525ae-3c5b-551c-be83-761cde2a1c18,tg:lhps:54936,e73_OriginalBrocade,1,4afcc038-0aad-5064-b5cb-b02220422ff3,au::4277,keywords,,
