card,order,adm.id_mat,adm.inv,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer
e22_Items,1,tg:lhps:14757_#1,215280/1,"AA 5 / A (LK XI,5)",3159e30b-0519-5d76-9ffe-5d6659dd7f9d,3159e30b-0519-5d76-9ffe-5d6659dd7f9d,tg:lhps:14757_#1,,,,
e22_Items,1,tg:lhps:40182_#1,225271/242,V 345355 / A,3ae49743-fa9c-5e1c-8dc7-26dbaf7054d2,3ae49743-fa9c-5e1c-8dc7-26dbaf7054d2,tg:lhps:40182_#1,,,,
e22_Items,1,tg:lhps:62298_#1,,MM 70 / A,dc15281f-00cc-51d8-a41a-9188fc5ff2e0,dc15281f-00cc-51d8-a41a-9188fc5ff2e0,tg:lhps:62298_#1,tr:lh:140390,,,
e22_Items,1,tg:lhps:58036_#1,,FF 94 / A,5a640ea2-6bd5-5df3-91be-a400c4892d27,5a640ea2-6bd5-5df3-91be-a400c4892d27,tg:lhps:58036_#1,tr:lh:110342,,,
e22_Items,1,tg:lhps:20300_#1,215065,F 4809 / A,6cbe6e53-ba63-51e2-96e0-c34a636f9858,6cbe6e53-ba63-51e2-96e0-c34a636f9858,tg:lhps:20300_#1,,,,
e22_Items,1,tg:lhps:11171_#1,200382/29,TT 23 / A,d2673230-d0b2-551f-8d16-385ccad62865,d2673230-d0b2-551f-8d16-385ccad62865,tg:lhps:11171_#1,,,,
e22_Items,1,tg:lhps:41488_#1,225276/28,A 1811 / A,fb346e65-3e35-5afb-b442-7860e43cd633,fb346e65-3e35-5afb-b442-7860e43cd633,tg:lhps:41488_#1,,,,
e22_Items,1,tg:lhps:30898_#1,225263/820,S 810974 / A,c1b87bd1-b252-589f-a00b-6d8d57168e43,c1b87bd1-b252-589f-a00b-6d8d57168e43,tg:lhps:30898_#1,,,,
e22_Items,2,tg:lhps:5860_#2,,K 162 / A,2f1f3a3e-4a0c-51bb-8ca2-958029f91579,2f1f3a3e-4a0c-51bb-8ca2-958029f91579,tg:lhps:5860_#2,tr:lh:103936,,,
e22_Items,1,tg:lhps:54936_#1,,C 338671 / A,9be321c2-4673-5584-9595-68390d0ec237,9be321c2-4673-5584-9595-68390d0ec237,tg:lhps:54936_#1,tr:lh:110342,,,
e22_Items,3,tg:lhps:10399_#3,170737,T 37625 / A,eb94d878-d4e8-5899-993f-387995e390ec,eb94d878-d4e8-5899-993f-387995e390ec,tg:lhps:10399_#3,tr:lh:6892,,,
