card,dataset,Documented Place Order,Documented Place Name Widget,Documented Place Note,Documented Place Note Type,Documented Place Note Language
Places,lhps,tg:lhps:14757,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:40182,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:62298,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:58036,"dlod={""name"":""Gooik (Halle-Vilvoorde)"",""ark"":""ark:/83110/x0/40bf6f48-d9ad-55b4-bedd-a677caf80db2"",""uri"":""/subjects/12855"",""id"":""au::100813"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:20300,"dlod={""name"":""Mortsel (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/96d29746-b93f-528a-abc8-8a08c7baed26"",""uri"":""/subjects/15357"",""id"":""au::100181"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:11171,"dlod={""name"":""Recklinghausen (Regierungsbezirk Münster)"",""ark"":""ark:/83110/x0/10ebdd7e-29da-5ee8-8494-7e8c9cfd8c42"",""uri"":""/subjects/12001"",""id"":""au::102280"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:41488,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:30898,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:54936,"dlod={""name"":""Wannegem-Lede (Kruisem)"",""ark"":""ark:/83110/x0/c2520f91-65ad-5fbe-98d0-eb6753c36cf9"",""uri"":""/subjects/11607"",""id"":""au::100722"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:1130,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:25526,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/11477"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:9285,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:35727,"dlod={""name"":""Bergen (Bergen)"",""ark"":""ark:/83110/x0/fb80d5da-ae3f-5f19-8bb6-0324baa66fd3"",""uri"":""/subjects/12486"",""id"":""au::101273"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:27346,"dlod={""name"":""Marcq-en-Baroeul (Arrondissement de Lille)"",""ark"":""ark:/83110/x0/39ba2fc1-3956-5cf6-a250-775387d292a9"",""uri"":""/subjects/8395"",""id"":""au::103074"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
Places,lhps,tg:lhps:3750,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,
