ResourceID,brocade.id,card,order,place_note,place_type,place_language,place_au_code,json
af78f121-3782-5e85-b6ab-b573a281e6d8,tg:lhps:14757,Places,1,Antwerpen,remarks,Nederlands,,
efdece0b-2f77-5c99-8f33-2e5fb2a14146,tg:lhps:40182,Places,1,Antwerpen,remarks,Nederlands,,
ee59d718-19e6-5e53-9559-0070c47ce55b,tg:lhps:62298,Places,1,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
96929729-77ba-5fda-8838-ee32a4693ff7,tg:lhps:58036,Places,1,,,,au::100813,"dlod={""name"":""Gooik (Halle-Vilvoorde)"",""ark"":""ark:/83110/x0/40bf6f48-d9ad-55b4-bedd-a677caf80db2"",""uri"":""/subjects/12855"",""id"":""au::100813"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
62a4d454-6e53-5d15-ad46-0b29fd9e2fab,tg:lhps:20300,Places,1,Mortsel,remarks,Nederlands,,
d89cede1-6a11-592f-99c8-6db98eca4e1e,tg:lhps:11171,Places,1,Recklinghausen,remarks,Nederlands,,
38740009-4ebe-5038-9dfa-59746a5ebf72,tg:lhps:41488,Places,1,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
bd19e15b-3444-53af-8240-6291920bbb67,tg:lhps:30898,Places,1,Antwerpen,remarks,Nederlands,,
c62ebeae-cc5e-5cf9-86d3-f6df0fc21469,tg:lhps:5860,Places,1,Antwerpen,remarks,Nederlands,,
258525ae-3c5b-551c-be83-761cde2a1c18,tg:lhps:54936,Places,1,,,,au::100722,"dlod={""name"":""Wannegem-Lede (Kruisem)"",""ark"":""ark:/83110/x0/c2520f91-65ad-5fbe-98d0-eb6753c36cf9"",""uri"":""/subjects/11607"",""id"":""au::100722"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
68f78b7f-aeb8-5d96-83e4-3b793117e1ec,tg:lhps:1130,Places,1,Antwerpen,remarks,Nederlands,,
fca80e7c-5ff8-5f2d-9cd1-c63679752d2d,tg:lhps:25526,Places,1,Brussel,remarks,Nederlands,,
da43fb42-b9c8-54a0-acfb-c7e1049bfc60,tg:lhps:9285,Places,1,Antwerpen,remarks,Nederlands,,
b6e45373-3070-5a17-8ea6-0796583d4738,tg:lhps:35727,Places,1,,,,au::101273,"dlod={""name"":""Bergen (Bergen)"",""ark"":""ark:/83110/x0/fb80d5da-ae3f-5f19-8bb6-0324baa66fd3"",""uri"":""/subjects/12486"",""id"":""au::101273"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
37c9d1b7-f21c-59bb-8e30-8a3163208831,tg:lhps:27346,Places,1,Marcq-en-Baroeul,remarks,Nederlands,,
0356dab4-2557-5a6e-b8c4-e69e5cd01cde,tg:lhps:3750,Places,1,Antwerpen,remarks,Nederlands,,
96efb833-0d9f-58f1-973d-c08c0ffd5c48,tg:lhps:51689,Places,1,,,,au::100654,"dlod={""name"":""Gent (Arrondissement Gent)"",""ark"":""ark:/83110/x0/a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2"",""uri"":""/subjects/14530"",""id"":""au::100654"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
b7c14739-f5f6-5321-95a4-0936063587ba,tg:lhps:13711,Places,1,Brussel,remarks,Nederlands,,
4556fdab-4cd6-5bad-9f48-7527d4b9e8d1,tg:lhps:50383,Places,1,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
6251852a-b22a-5d75-849f-3dbe43c7573c,tg:lhps:12867,Places,1,Doornik,remarks,Nederlands,,
6251852a-b22a-5d75-849f-3dbe43c7573c,tg:lhps:12867,Places,2,Gent,remarks,Nederlands,,
6251852a-b22a-5d75-849f-3dbe43c7573c,tg:lhps:12867,Places,3,Antwerpen,remarks,Nederlands,,
ddeef7a3-33df-5ea1-991a-9ea3d45695e9,tg:lhps:53970,Places,1,,,,au::101157,"dlod={""name"":""Waregem (Kortrijk)"",""ark"":""ark:/83110/x0/3d6c9fe8-74d8-5ca5-8d9c-2b3c09d26b3c"",""uri"":""/subjects/8727"",""id"":""au::101157"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
d19e3b90-01a6-5526-a2de-a6e67d77f8e9,tg:lhps:22560,Places,1,Recklinghausen,remarks,Nederlands,,
2da1bc19-9485-59c0-b87d-74d4f17f09de,tg:lhps:30101,Places,1,,,,au::100105,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/11477"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
8e50916f-87c2-5ff7-8b72-d2d9f41c6598,tg:lhps:48237,Places,1,,,,au::105187,"dlod={""name"":""Rotterdam (Zuid-Holland)"",""ark"":""ark:/83110/x0/2ee58405-b913-5a67-b00b-69b58b4ab0d9"",""uri"":""/subjects/9450"",""id"":""au::105187"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
2f1d1022-86ef-55b4-b901-c1374c928dde,tg:lhps:16137,Places,1,Antwerpen,remarks,Nederlands,,
4fdfb708-e2a1-590b-ad94-57be8a6eccc6,tg:lhps:2826,Places,1,Kessel,remarks,Nederlands,,
837e150f-1c84-5c52-b6bb-35a312b93317,tg:lhps:10503,Places,1,Wetteren,remarks,Nederlands,,
5821c783-bb5b-5161-8b7b-3512f238043c,tg:lhps:20278,Places,1,Antwerpen,remarks,Nederlands,,
89a3d45e-0301-53e9-a0ed-4e2fe86e6d9e,tg:lhps:47925,Places,1,,,,au::100654,"dlod={""name"":""Gent (Arrondissement Gent)"",""ark"":""ark:/83110/x0/a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2"",""uri"":""/subjects/14530"",""id"":""au::100654"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
22cea1ce-4231-57fc-a6f9-8c81b2c52069,tg:lhps:24154,Places,1,Breda,remarks,Nederlands,,
030cb5a7-8bdc-54a4-903a-0c1db83bbe7d,tg:lhps:46653,Places,1,,,,au::100105,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/11477"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
2f2301a8-3742-560f-8fda-f84a468a943e,tg:lhps:15325,Places,1,Antwerpen,remarks,Nederlands,,
fa36a343-5c07-5360-b6b7-0e039ce1e63b,tg:lhps:598,Places,1,Sint-Niklaas,remarks,Nederlands,,
8b08f720-994c-5ea6-8ca0-b60aab64eed5,tg:lhps:1048,Places,1,Antwerpen,remarks,Nederlands,,
4a48a4c0-a98b-5d14-8538-b1506121959d,tg:lhps:11009,Places,1,Antwerpen,remarks,Nederlands,,
8ab5edb6-c720-505b-92d2-459ef8cf8996,tg:lhps:28854,Places,1,Peer,remarks,Nederlands,,
2f8a1f9c-a005-5d3c-bbe1-b94ead031fad,tg:lhps:5364,Places,1,Antwerpen,remarks,Nederlands,,
86eac09e-3f26-59f4-8d37-23874da7fb76,tg:lhps:59444,Places,1,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
13915fe9-4228-53b0-b671-8daabe9f2524,tg:lhps:21772,Places,1,Antwerpen,remarks,Nederlands,,
013b44db-9eac-5595-baed-3362e2c769dc,tg:lhps:43390,Places,1,Wilrijk,remarks,Nederlands,,
a4e4012e-eb1f-583a-9722-01fe9360c5ec,tg:lhps:40963,Places,1,Antwerpen,remarks,Nederlands,,
f3585a9c-d527-58d6-8231-fea970a7aab6,tg:lhps:13669,Places,1,Brussel,remarks,Nederlands,,
9557ff8e-6c52-5916-9d5a-31a8f206c542,tg:lhps:23112,Places,1,Tervuren,remarks,Nederlands,,
7655d389-a956-5d46-a4dd-ab38a26c2fdd,tg:lhps:31573,Places,1,,,,au::105187,"dlod={""name"":""Rotterdam (Zuid-Holland)"",""ark"":""ark:/83110/x0/2ee58405-b913-5a67-b00b-69b58b4ab0d9"",""uri"":""/subjects/9450"",""id"":""au::105187"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
2d5132d5-ab80-56c4-9938-06c4247cd6c3,tg:lhps:7504,Places,1,Antwerpen,remarks,Nederlands,,
7bfb195f-34c7-5f75-879d-88d416462054,tg:lhps:49645,Places,1,,,,au::100991,"dlod={""name"":""Scherpenheuvel (Scherpenheuvel-Zichem)"",""ark"":""ark:/83110/x0/9ffc9b8c-c8bf-5d50-94f9-df035503b7f5"",""uri"":""/subjects/12017"",""id"":""au::100991"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
324a266c-91af-57c6-b618-51e4d97b3aa5,tg:lhps:17545,Places,1,Antwerpen,remarks,Nederlands,,
4e5eeab9-5d0b-5ef8-acfb-abc8e426fe75,tg:lhps:3628,Places,1,Antwerpen,remarks,Nederlands,,
1de2e160-ffcb-5a7f-a24e-26527f189c0f,tg:lhps:26734,Places,1,Duisburg,remarks,Nederlands,,
10e8ab92-3235-55fc-83ab-48225a124a81,tg:lhps:2322,Places,1,Antwerpen,remarks,Nederlands,,
7c02c45b-578e-5b03-aa64-69b2247e6bbd,tg:lhps:53808,Places,1,,,,au::100654,"dlod={""name"":""Gent (Arrondissement Gent)"",""ark"":""ark:/83110/x0/a43ec5c9-9a52-53c3-8cfc-af6cef59a6d2"",""uri"":""/subjects/14530"",""id"":""au::100654"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
