ResourceID,brocade.id,card,order,source_field,Production Time Span Source Note
d9198741-6a71-5c44-afb8-139f34d3de4f,tg:lhps:57896,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,20040430
d9198741-6a71-5c44-afb8-139f34d3de4f,tg:lhps:57896,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,20040509
9ad9e289-a225-5297-aa76-547f4a84f063,tg:lhps:30552,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19600206
8c9b9462-a190-5ab1-9502-2d241b79933c,tg:lhps:3721,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19841017
8c9b9462-a190-5ab1-9502-2d241b79933c,tg:lhps:3721,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19850504
f893fc70-00bb-5f5f-985e-0bf44213ce73,tg:lhps:51041,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19960000
21c98bbb-66e7-5700-a722-9e9133147c34,tg:lhps:2833,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,00001127
a55f16dd-08d1-5f6e-87fa-f9ca9233c219,tg:lhps:29289,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19140000
a55f16dd-08d1-5f6e-87fa-f9ca9233c219,tg:lhps:29289,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19180000
f3cdb4a6-c5bd-504f-9edb-a6d043849d48,tg:lhps:56784,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19280331
4fd14fcc-cb1b-5d09-bdca-ade565a0171e,tg:lhps:49888,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19881103
4fd14fcc-cb1b-5d09-bdca-ade565a0171e,tg:lhps:49888,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19881106
30483822-d2b8-5522-91be-326506c8e801,tg:lhps:23684,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19431219
62fe1480-2a29-52a7-a83d-48890c025ad3,tg:lhps:24141,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19650108
62fe1480-2a29-52a7-a83d-48890c025ad3,tg:lhps:24141,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19650131
48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,tg:lhps:59471,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19920906
48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,tg:lhps:59471,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19921025
c36ffa9b-bf17-5913-992c-9b5461962379,tg:lhps:42397,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,00001001
c36ffa9b-bf17-5913-992c-9b5461962379,tg:lhps:42397,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,00000430
2d138a5f-f57d-5dd6-a2ad-96899eabb14c,tg:lhps:13232,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19420416
2d138a5f-f57d-5dd6-a2ad-96899eabb14c,tg:lhps:13232,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19420423
8c9337a6-1fd9-51cd-9df9-d84d20144d84,tg:lhps:22996,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19910907
8c9337a6-1fd9-51cd-9df9-d84d20144d84,tg:lhps:22996,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19910926
73342a2f-8adb-5759-bf27-b4749aee9845,tg:lhps:47195,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,20130302
73342a2f-8adb-5759-bf27-b4749aee9845,tg:lhps:47195,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,20130317
528c7092-4e99-5cf9-be4f-7d9121f0906c,tg:lhps:729,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19750515
528c7092-4e99-5cf9-be4f-7d9121f0906c,tg:lhps:729,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19750614
8f37cfbe-cfae-53da-9474-1a3809bb9a7e,tg:lhps:16030,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19910709
8f37cfbe-cfae-53da-9474-1a3809bb9a7e,tg:lhps:16030,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19910709
b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,tg:lhps:40650,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19581201
cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,tg:lhps:41942,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19600430
cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,tg:lhps:41942,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19600511
8817d232-5930-56ae-ae0b-53760ded9232,tg:lhps:26486,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19810913
8817d232-5930-56ae-ae0b-53760ded9232,tg:lhps:26486,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19811018
cf2f2475-7f87-5466-a578-33c7e7be517e,tg:lhps:21343,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19780316
b4fb8056-312b-5f94-a0f2-20110061834f,tg:lhps:54243,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19890715
b4fb8056-312b-5f94-a0f2-20110061834f,tg:lhps:54243,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19890917
abd1628e-c49b-5615-acf4-6a0e517fd9af,tg:lhps:29773,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19900907
abd1628e-c49b-5615-acf4-6a0e517fd9af,tg:lhps:29773,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19900909
81ed1814-e5a1-54d7-bb87-89c0b5c88837,tg:lhps:53586,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19300309
a23d8928-a726-5918-b71d-996d5fee8a1b,tg:lhps:48260,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,20000430
adf89f7b-b008-50d5-a7eb-08e2c10e5d23,tg:lhps:28861,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,00000623
e864df67-7a2f-5c56-9b5a-5095c9bea5c8,tg:lhps:6523,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19820627
e864df67-7a2f-5c56-9b5a-5095c9bea5c8,tg:lhps:6523,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19821010
e949166d-3172-5e4a-bb0b-b75285d96794,tg:lhps:51411,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19940812
e949166d-3172-5e4a-bb0b-b75285d96794,tg:lhps:51411,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19941030
59c8bf1e-503c-5024-80af-3d2b60ae2e26,tg:lhps:30102,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,20071214
59c8bf1e-503c-5024-80af-3d2b60ae2e26,tg:lhps:30102,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,20071216
aeb9ca95-a323-5689-8e5e-04600caeaa00,tg:lhps:6489,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,18910000
8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,tg:lhps:3371,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19880312
8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,tg:lhps:3371,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19880403
b362c266-7802-5e2c-8e99-b118e5f8c762,tg:lhps:683,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19610323
df18cc73-b836-5d25-b31f-e2d06c18827b,tg:lhps:45002,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,20070000
3a86188e-49d1-5143-bf96-ee7eacd27e65,tg:lhps:13662,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19660610
3a86188e-49d1-5143-bf96-ee7eacd27e65,tg:lhps:13662,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19660704
959eaa13-0eaa-5a72-85d0-4303addd3681,tg:lhps:59021,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19930606
959eaa13-0eaa-5a72-85d0-4303addd3681,tg:lhps:59021,ProductionTimeSpanSourceNotes,1,id/date.creationdate/so,19930615
