ResourceID,brocade.id,card,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language
c226f9f9-3d05-5498-86f3-b5cc7a581880,tg:mpmak:115,ProductionTimeSpans,1675-04-22,nan,nan,nan,nan,nan,nan,nan,nan,nan
d3bc780d-7e26-55fa-8e90-54ee7fb8785e,tg:mpmak:284,ProductionTimeSpans,1681-05-20,nan,nan,nan,nan,nan,nan,nan,nan,nan
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,ProductionTimeSpans,1666-08-09,datum na,nan,nan,nan,nan,nan,nan,nan,nan
628846c9-1bbe-58e7-9717-8c55945f7d70,tg:mpmak:292,ProductionTimeSpans,1634-04-04,datum na,nan,nan,nan,nan,nan,nan,nan,nan
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,ProductionTimeSpans,1667-04-25,nan,nan,nan,nan,nan,nan,nan,nan,nan
869e1271-adff-515c-a7a1-ac43980f91bc,tg:mpmak:154,ProductionTimeSpans,1668-12-20,datum na,nan,nan,nan,nan,nan,nan,nan,nan
b44c89c3-67ca-58b3-9e04-fb79b19c0eb4,tg:mpmak:103,ProductionTimeSpans,1870,circa,nan,nan,nan,nan,nan,nan,nan,nan
9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,tg:mpmak:251,ProductionTimeSpans,1540-08-25,nan,nan,nan,nan,nan,nan,nan,nan,nan
30a919d4-f41d-54af-a3e5-941367e55751,tg:mpmak:314,ProductionTimeSpans,1635-01-25,datum na,nan,nan,nan,nan,nan,nan,nan,nan
c059022a-13c3-5978-ae98-a89146bc953f,tg:mpmak:197,ProductionTimeSpans,1650-03-18,datum na,nan,nan,nan,nan,nan,nan,nan,nan
ed45eb92-593c-5aa0-a37a-f1426cef366f,tg:mpmak:178,ProductionTimeSpans,1643-02-04,datum na,nan,nan,nan,nan,nan,nan,nan,nan
7414a78c-98c6-5e96-8e7b-e513ba8d8b5b,tg:mpmak:20,ProductionTimeSpans,1664-10-22,nan,1760,circa,nan,nan,nan,nan,nan,nan
3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,tg:mpmak:206,ProductionTimeSpans,1656-09-26,nan,nan,nan,nan,nan,nan,nan,nan,nan
c3d5ce56-63b9-5d07-a992-7f084c4687b5,tg:mpmak:343,ProductionTimeSpans,nan,datum na,nan,nan,nan,nan,nan,nan,nan,nan
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,ProductionTimeSpans,1869-03-31,nan,nan,nan,nan,nan,nan,nan,nan,nan
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,ProductionTimeSpans,1756-07-26,nan,nan,nan,nan,nan,nan,nan,nan,nan
