brocade.id,ResourceID,card,order,Registration Number value,Archive Note,Warehouse Location (begin),adm.note,Serial Number,adm.note.language,adm.note.type
tg:mpmak:115,c226f9f9-3d05-5498-86f3-b5cc7a581880,Items,1,Arch. 322,isad:mpm:275,10 Q 5 D,Ingebonden tussen fol. 69 links-rechts,,Nederlands,remarks
tg:mpmak:284,d3bc780d-7e26-55fa-8e90-54ee7fb8785e,Items,1,SCH HF FA 51,isad:mpm:418,10 Q 4 D,,3,Nederlands,remarks
tg:mpmak:142,68cb4d36-8a18-5160-b5c2-6efcecf21aa8,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 105 links-rechts,,Nederlands,remarks
tg:mpmak:292,628846c9-1bbe-58e7-9717-8c55945f7d70,Items,1,Arch. 134,isad:mpm:333,10 Q 3 D,,los stuk tussen fol. 86 links-rechts,Nederlands,remarks
tg:mpmak:338,54294c9c-44af-5be1-9495-a7d7a1e3ec6d,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk 4 tussen p. 148-149,Nederlands,remarks
tg:mpmak:154,869e1271-adff-515c-a7a1-ac43980f91bc,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk 3 tussen fol. 196 links-rechts,,Nederlands,remarks
tg:mpmak:103,b44c89c3-67ca-58b3-9e04-fb79b19c0eb4,Items,1,Arch. TS C stuk 3,isad:mpm:328,15 R 1 A,,,Nederlands,remarks
tg:mpmak:251,9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,Items,1,Arch. 1460,isad:mpm:351,10 R 3 B,,1,Nederlands,remarks
tg:mpmak:314,30a919d4-f41d-54af-a3e5-941367e55751,Items,1,Arch. 133,isad:mpm:333,10 Q 1 D,,los stuk tussen fol. 136 links-rechts,Nederlands,remarks
tg:mpmak:197,c059022a-13c3-5978-ae98-a89146bc953f,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk tussen fol. 152 links-rechts,,Nederlands,remarks
tg:mpmak:178,ed45eb92-593c-5aa0-a37a-f1426cef366f,Items,1,Arch. 498,isad:mpm:333,10 Q 6 C,Los stuk 4 vooraan,,Nederlands,remarks
tg:mpmak:20,7414a78c-98c6-5e96-8e7b-e513ba8d8b5b,Items,1,Arch. 329,isad:mpm:254,10 Q 5 C,,,Nederlands,remarks
tg:mpmak:206,3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,Items,1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,,C.b.3,Nederlands,remarks
tg:mpmak:343,c3d5ce56-63b9-5d07-a992-7f084c4687b5,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk 3 tussen p. 150-151,Nederlands,remarks
tg:mpmak:98,15565c71-b2cd-5925-96bd-2d1dc9c6594c,Items,1,Arch. TS A stuk 14,isad:mpm:328,15 R 1 A,Tussen fol. 185 links-rechts,,Nederlands,remarks
tg:mpmak:77,daadc3e8-0f68-5054-bc39-ad4b3996b2a4,Items,1,Arch. 1180,isad:mpm:309,10 R 6 D,,931,Nederlands,remarks
tg:mpmak:210,ae061637-9aca-53de-9042-41252b523078,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 282 links-rechts,,Nederlands,remarks
tg:mpmak:139,2f80201a-9d43-50fd-96d5-f30d3559fd0a,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk 1 tussen fol. 48 links-rechts,,Nederlands,remarks
tg:mpmak:61,4d8a45d3-21ae-5ba9-9fcf-4217e3692b90,Items,1,Arch. 998,isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:247,5b671649-4092-5832-a1f9-a8ca4b0774e4,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.X4,Nederlands,remarks
