ResourceID,brocade.id,card,order,ire.isaar.uuid,Visual ISAAR Brocade ID,Visual Actor Role,Visual Actor Note,Visual Actor Widget,Visual Actor Identifier
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,VisualContent,2,899084dd-5197-5405-a1d2-907e86ff167a,au::109073,recipients (people),,"dlod={""id"":""ark:/83110/x0/899084dd-5197-5405-a1d2-907e86ff167a"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/899084dd-5197-5405-a1d2-907e86ff167a
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,VisualContent,3,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
628846c9-1bbe-58e7-9717-8c55945f7d70,tg:mpmak:292,VisualContent,2,9f62622e-af8f-5120-8bb2-771de1268484,au::106908,recipients (people),,"dlod={""id"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,VisualContent,2,957eaa61-2650-5376-8315-8292b1aa841d,au::112367,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/957eaa61-2650-5376-8315-8292b1aa841d"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/957eaa61-2650-5376-8315-8292b1aa841d
c059022a-13c3-5978-ae98-a89146bc953f,tg:mpmak:197,VisualContent,2,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
ed45eb92-593c-5aa0-a37a-f1426cef366f,tg:mpmak:178,VisualContent,2,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,recipients (people),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,tg:mpmak:206,VisualContent,2,cd745df1-e061-5bbf-b34d-96ab1fea966b,au::109474,recipients (people),,"dlod={""id"":""ark:/83110/x0/cd745df1-e061-5bbf-b34d-96ab1fea966b"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/cd745df1-e061-5bbf-b34d-96ab1fea966b
c3d5ce56-63b9-5d07-a992-7f084c4687b5,tg:mpmak:343,VisualContent,2,7896a2de-2572-50f3-81d6-c3fda72c3155,au::112369,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/7896a2de-2572-50f3-81d6-c3fda72c3155"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/7896a2de-2572-50f3-81d6-c3fda72c3155
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,VisualContent,2,19d0c4cd-48e5-52f4-80f9-400ba31fc2e9,au::109047,recipients (people),,"dlod={""id"":""ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,VisualContent,3,eaf8fd64-b776-5396-93d4-4fcc4e470b26,au::107537,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,VisualContent,1,51c0334b-8387-5543-b521-34d3260ac51a,au::108869,recipients (people),,"dlod={""id"":""ark:/83110/x0/51c0334b-8387-5543-b521-34d3260ac51a"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/51c0334b-8387-5543-b521-34d3260ac51a
