ResourceID,brocade.id,card,order,ire.isaar.uuid,Brocade Production Actor ID,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier
c226f9f9-3d05-5498-86f3-b5cc7a581880,tg:mpmak:115,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
d3bc780d-7e26-55fa-8e90-54ee7fb8785e,tg:mpmak:284,ProductionActors,1,6c2c7467-b78b-5df2-aa6b-9383d57821e5,au::108734,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6c2c7467-b78b-5df2-aa6b-9383d57821e5"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6c2c7467-b78b-5df2-aa6b-9383d57821e5
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,ProductionActors,3,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
628846c9-1bbe-58e7-9717-8c55945f7d70,tg:mpmak:292,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,ProductionActors,1,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au::106909,originators (administrative),,"dlod={""id"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,ProductionActors,2,957eaa61-2650-5376-8315-8292b1aa841d,au::112367,writers (clerical workers),,"dlod={""id"":""ark:/83110/x0/957eaa61-2650-5376-8315-8292b1aa841d"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/957eaa61-2650-5376-8315-8292b1aa841d
869e1271-adff-515c-a7a1-ac43980f91bc,tg:mpmak:154,ProductionActors,1,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au::106905,originators (administrative),,"dlod={""id"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e
b44c89c3-67ca-58b3-9e04-fb79b19c0eb4,tg:mpmak:103,ProductionActors,1,eaf8fd64-b776-5396-93d4-4fcc4e470b26,au::107537,originators (administrative),,"dlod={""id"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26
9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,tg:mpmak:251,ProductionActors,1,d40fd868-fbe5-5229-846a-9578c84a4ffa,au::108823,originators (administrative),,"dlod={""id"":""ark:/83110/x0/d40fd868-fbe5-5229-846a-9578c84a4ffa"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d40fd868-fbe5-5229-846a-9578c84a4ffa
