ResourceID,brocade.id,card,order,Mark Text,Mark Type,Mark Language
11df1a8d-0cfe-5c0d-b000-ffef17e4d714,tg:mpmre:379,Marks,1,KKK,signatures (names),Nederlands
8470027c-e01e-5066-8f87-6407476d3ef2,tg:mpmre:396,Marks,1,DDDD,signatures (names),Nederlands
d69fef50-63e5-5b92-8a8c-85a3d2b7e6f8,tg:mpmre:400,Marks,1,HHHH,signatures (names),Nederlands
b20f6ead-5ae1-50d3-9810-6d0c452340f9,tg:mpmre:338,Marks,1,Rr [= Qq],signatures (names),Nederlands
078664be-abf9-57e6-87a7-8aec3db15b6c,tg:mpmre:154,Marks,1,F,signatures (names),Nederlands
345b9bc8-e1e8-5b21-a50c-c1f54360c746,tg:mpmre:380,Marks,1,LLL,signatures (names),Nederlands
8541045d-7931-50b7-a4c5-3acc92119669,tg:mpmre:103,Marks,1,TT,signatures (names),Nederlands
c32630df-4470-531d-a6fd-5dafa44bcf86,tg:mpmre:416,Marks,1,AAAAA,signatures (names),Nederlands
5742d406-2f5c-529d-bcff-a95f66717a5e,tg:mpmre:314,Marks,1,P,signatures (names),Nederlands
b4f612aa-aeff-5109-8ac9-0da395aa1b7d,tg:mpmre:482,Marks,1,KK,signatures (names),Nederlands
9ec56ec5-a1ae-591f-a72f-c767826ebdf1,tg:mpmre:343,Marks,1,Xx,signatures (names),Nederlands
0abaf93d-823c-5c96-88bb-911e873e5db7,tg:mpmre:98,Marks,1,PP,signatures (names),Nederlands
3d0cd201-9679-5dbf-a3c9-622231c6c5ff,tg:mpmre:77,Marks,1,Rr,signatures (names),Nederlands
86395e20-440b-59fa-8760-d13ef1992f95,tg:mpmre:640,Marks,2,+,signatures (names),Nederlands
d1349bb0-f82a-5dd8-b043-7bbb5c38ce35,tg:mpmre:355,Marks,1,KK,signatures (names),Nederlands
2b6057e0-a2b6-5305-803e-6aaf78c2375f,tg:mpmre:569,Marks,1,A,signatures (names),Nederlands
096f6819-7510-5d8a-a5e2-73c2e8096957,tg:mpmre:61,Marks,1,Ee,signatures (names),Nederlands
fc3af7e3-f3f6-56af-9dc6-cfab1b3a3f6e,tg:mpmre:617,Marks,2,C,signatures (names),Nederlands
7f79e9da-5615-5d3b-bebd-8fe6a26c66c8,tg:mpmre:36,Marks,1,CC,signatures (names),Nederlands
6d10ef00-40f4-5005-9711-aeb9e598f537,tg:mpmre:41,Marks,1,II,signatures (names),Nederlands
f469c562-5b37-5645-a2b3-9132b388cc99,tg:mpmre:375,Marks,1,FFF,signatures (names),Nederlands
7876d8af-a1e6-56a2-8de9-be7e66fdd216,tg:mpmre:322,Marks,1,Z,signatures (names),Nederlands
