ResourceID,brocade.id,card,order,source_field,source_code,Merkteken Type
c226f9f9-3d05-5498-86f3-b5cc7a581880,tg:mpmak:115,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
d3bc780d-7e26-55fa-8e90-54ee7fb8785e,tg:mpmak:284,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,tg:mpmak:251,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
7414a78c-98c6-5e96-8e7b-e513ba8d8b5b,tg:mpmak:20,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
3fd0ec04-e8b1-56c7-a678-58bc6f7ef8ec,tg:mpmak:206,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaze,seals (marks)
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,MerktekenTypes,2,kenmerken.mpmwaarmerk,akwagm,gedrukt merk
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,MerktekenTypes,3,kenmerken.mpmwaarmerk,akwaht,signatures (names)
e31457a5-0683-5ce7-9025-075a84e9c217,tg:mpmak:41,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
ef176031-3cbb-5929-a628-b4beb0f40776,tg:mpmak:230,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
fc579b29-8d1b-5c17-86a3-ff3a621e40e2,tg:mpmak:16,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
7a0698d6-a204-5490-b8e0-fffb8f14ba6b,tg:mpmak:267,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
0a8ad24d-06ef-5fc5-a44c-183b308a695c,tg:mpmak:271,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
3a6f6047-a597-5a45-a886-247420e0e561,tg:mpmak:226,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
35e43343-bb75-512b-bf32-51d4ba86d8c9,tg:mpmak:82,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
42753813-8445-5e18-83c0-4f94166455b9,tg:mpmak:162,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
435f20e0-08c1-5413-aece-381c7bd3f6d3,tg:mpmak:163,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
81aad390-43d4-53a8-9793-455cf29e2d73,tg:mpmak:319,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
f2c3f933-e405-5914-80f8-5394a93b77f0,tg:mpmak:227,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
75ae821c-f613-526a-b1fa-9a3dc0dcea0c,tg:mpmak:270,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
db169666-ad45-5492-a977-d03d0fe83423,tg:mpmak:323,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
b12dfa45-a07e-50f1-83c5-cedb4b653b49,tg:mpmak:266,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
1a3f2aec-28b9-5b78-a104-f8a16a46cb62,tg:mpmak:231,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
d346f0df-c6c8-5f22-8fa5-204ba7ac283a,tg:mpmak:211,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
09f0649e-72aa-5b96-83de-f4ccd9e5d7a0,tg:mpmak:207,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
62a1c49d-4b57-58fa-8973-e6fc5700d77f,tg:mpmak:342,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
f59cbb52-107f-58fc-bee1-9caff9833696,tg:mpmak:293,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
81a4954e-3f21-5105-8f91-cbf0c7eee977,tg:mpmak:236,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
ac89b905-ef82-5bfc-950d-f73dfc3f418b,tg:mpmak:261,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
67f06f02-d177-5d72-8bec-fff07c5f5160,tg:mpmak:332,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
f18fde71-3369-5827-b6f3-7f6765c5803d,tg:mpmak:298,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
ddee1c2e-d8d6-5845-af8d-433b336883cb,tg:mpmak:349,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaze,seals (marks)
ddee1c2e-d8d6-5845-af8d-433b336883cb,tg:mpmak:349,MerktekenTypes,2,kenmerken.mpmwaarmerk,akwaht,signatures (names)
8f33aaba-4e46-5c8e-9c2e-fc0b9eabc081,tg:mpmak:84,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
5f0752ea-2988-593b-93a1-c042240f015d,tg:mpmak:282,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
2c7c8cb2-52e4-528e-91ca-8ad0449cd30e,tg:mpmak:144,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
f932016d-6778-5a0f-ad10-ac25c2095bf2,tg:mpmak:152,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
d5a3a593-2e2b-5b53-873b-6d921d86b2d6,tg:mpmak:257,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
857aa1b6-1743-5bb3-9a33-50000bb28f81,tg:mpmak:26,MerktekenTypes,1,kenmerken.mpmwaarmerk,akwaht,signatures (names)
