ResourceID,brocade.id,card,order,source_field,Format Number,Format Unit Type,Format Number Type,Format Unit Qualifier
c226f9f9-3d05-5498-86f3-b5cc7a581880,tg:mpmak:115,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
c226f9f9-3d05-5498-86f3-b5cc7a581880,tg:mpmak:115,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios,total,
d3bc780d-7e26-55fa-8e90-54ee7fb8785e,tg:mpmak:284,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
d3bc780d-7e26-55fa-8e90-54ee7fb8785e,tg:mpmak:284,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios,total,
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,2,folios,written,
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,2,folios,total,
628846c9-1bbe-58e7-9717-8c55945f7d70,tg:mpmak:292,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
628846c9-1bbe-58e7-9717-8c55945f7d70,tg:mpmak:292,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios,total,
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios,total,
869e1271-adff-515c-a7a1-ac43980f91bc,tg:mpmak:154,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
869e1271-adff-515c-a7a1-ac43980f91bc,tg:mpmak:154,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,2,folios,total,
b44c89c3-67ca-58b3-9e04-fb79b19c0eb4,tg:mpmak:103,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
b44c89c3-67ca-58b3-9e04-fb79b19c0eb4,tg:mpmak:103,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,2,folios,total,
9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,tg:mpmak:251,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,tg:mpmak:251,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios,total,
30a919d4-f41d-54af-a3e5-941367e55751,tg:mpmak:314,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
30a919d4-f41d-54af-a3e5-941367e55751,tg:mpmak:314,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios,total,
c059022a-13c3-5978-ae98-a89146bc953f,tg:mpmak:197,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
c059022a-13c3-5978-ae98-a89146bc953f,tg:mpmak:197,Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,1,folios,total,
ed45eb92-593c-5aa0-a37a-f1426cef366f,tg:mpmak:178,Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,1,folios,written,
