ResourceID,brocade.id,card,order,External Relation,External Relation URL,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type
2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,tg:mpmak:36,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:6555673,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
fc579b29-8d1b-5c17-86a3-ff3a621e40e2,tg:mpmak:16,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:109739,zie verder bibliotheekcatalogus Museum Plantin Moretus,Ordonnantie M,Nederlands,remarks
ee2776b8-9a6c-5094-a710-c7449ca5d9d1,tg:mpmak:37,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:13275035,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
7868fa85-f20b-5104-8780-af682c5f4901,tg:mpmak:76,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:681793,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:109739,zie verder bibliotheekcatalogus Museum Plantin Moretus,Ordonnantie A,Nederlands,remarks
857aa1b6-1743-5bb3-9a33-50000bb28f81,tg:mpmak:26,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:109739,zie verder bibliotheekcatalogus Museum Plantin Moretus,Ordonnantie E,Nederlands,remarks
00f441cc-a274-59ff-93e6-ab79435a4af4,tg:mpmak:67,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:14233649,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
5652dd86-752e-542e-b882-a71c4178234e,tg:mpmak:30,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:109739,zie verder bibliotheekcatalogus Museum Plantin Moretus,Ordonnantie H,Nederlands,remarks
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:109739,zie verder bibliotheekcatalogus Museum Plantin Moretus,Ordonnantie I,Nederlands,remarks
780ee72b-6eff-5922-aa06-2fa85a3019b6,tg:mpmak:27,ExternalRelations,1,transcripts,https://anet.be/record/mpm/opacmpm/c:lvd:109739,zie verder bibliotheekcatalogus Museum Plantin Moretus,Ordonnantie F,Nederlands,remarks
