ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language,Description,Description
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,Descriptions,1,id.title/subTitle,Privilege toegekend door de Raad van Brabant aan Hubert Bincken voor het drukken van een viertal boeken voor de periode van 9 jaar,descriptive note,Nederlands,,
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,tg:mpmak:77,Descriptions,1,note.mpmcontent,,descriptive note,Nederlands,"Privilege toegekend voor:   
* Christelijcke onderwijsinge ende gebeden getrocken uijt de H. Schrifture    
* Fondamenten oft Grondt regels om [...] de nederduytsche spelkonst [...] te leeren   
* Koopmans gerief oft Comptoir almanach voor het jaar 1757 (in octavo longo en sextodecimo)   
* De cathechismus oft Christelijcke leeringe gedeijlt in vijf deelen ende 41 lessen",
1d9df6f8-63c7-534b-ac8c-e78603455e2d,tg:mpmak:181,Descriptions,1,note.mpmcontent,,descriptive note,Nederlands,Afrekening van de huur van de winkel in Frankfurt,
2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,tg:mpmak:36,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij inzake het gebruik van vuur en licht,descriptive note,Nederlands,,
fc579b29-8d1b-5c17-86a3-ff3a621e40e2,tg:mpmak:16,Descriptions,1,id.title/subTitle,Statuten van de ziekenbus met lijst van ondertekenaars,descriptive note,Nederlands,,
110a609e-10ce-5b9a-9f0c-46a6429730a6,tg:mpmak:94,Descriptions,1,note.mpmcontent,,descriptive note,Nederlands,Bevat aantekeningen van Tessaro inzake de verkoop van de aangekochte kaarten,
f388254e-8f40-5546-ad24-9310bcb73dd7,tg:mpmak:289,Descriptions,1,id.title/subTitle,Uittreksel van de openstaande schulden uit het grootboek van boekhandelaren,descriptive note,Nederlands,,
ee2776b8-9a6c-5094-a710-c7449ca5d9d1,tg:mpmak:37,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij inzake het gebruik van vuur en licht,descriptive note,Nederlands,,
7868fa85-f20b-5104-8780-af682c5f4901,tg:mpmak:76,Descriptions,1,id.desc,,descriptive note,Nederlands,,"Rekest van de vennoten van de katoendrukkerij van Dambrugge aan Karel Alexander van Lotharingen, gouverneur-generaal van de Oostenrijkse Nederlanden, inzake de vrijwaring van het octrooi van de katoendrukkerij tegen concurrentie uit het graafschap Vlaanderen"
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij,descriptive note,Nederlands,,
