ResourceID,brocade.id,card,order,source_field,Comment,Legacy Comment Type,Legacy Comment Publish Status
7868fa85-f20b-5104-8780-af682c5f4901,tg:mpmak:76,Users,1,if.rawcontent,Verwerving: veiling nummer 52 van veilinghuis The Romantic Agony op 22 november 2013 (lot 364/2),commentaar gebruiker,False
ec26d06d-411a-514f-867d-712b9bdf9532,tg:mpmak:87,Users,1,if.rawcontent,"Deze akte wordt in de Kluis bewaard in de doos met de gevlakte privileges.
KS_20150624",commentaar gebruiker,False
f5c777c2-b746-58c7-b637-0d43faaa684c,tg:mpmak:96,Users,1,if.rawcontent,De datum werd op de versozijde door Tessaro met de hand geschreven,commentaar gebruiker,False
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,Users,1,if.rawcontent,"Datering door H.D.L. Vervliet afgeleid van het overlijden van senior letterzetter Cornelis Kiel (Kilianus) in 1607. Vervliet argumenteert dat Jan I Moretus toen de noodzaak vond om de instructies voor de letterzetters neer te schrijven.   
KS_20150408",commentaar gebruiker,False
1f6cb453-1415-58f6-b857-980d4e2162d5,tg:mpmak:81,Users,2,if.rawcontent,"Niet in M. Sabbe, De Plantijnsche werkstede",commentaar gebruiker,False
4e85823a-f0b7-5c96-bfeb-79537f700758,tg:mpmre:512,Users,1,if.rawcontent,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",commentaar gebruiker,False
b20f6ead-5ae1-50d3-9810-6d0c452340f9,tg:mpmre:338,Users,1,if.rawcontent,Dit journaal werd per vergissing als 'Rr' gesigneerd in plaats van 'Qq' <br>KS_20150325,commentaar gebruiker,False
bc0baeea-451e-527d-8171-19c55d7e4737,tg:mpmre:302,Users,1,if.rawcontent,"Arch. 1265.2 wordt niet in de kluis bewaard maar in een doos op de archiefzolder. Dit archiefstuk is in uiterst slechte staat, en kan geen frequente raadpleging doorstaan.   
KS_20150130

Inmiddels wordt het bij het overige Plantijns Archief in Depot 10 bewaard op volgnummer 1265.2 (zie legbord 10-R-5-B)
KS_20170110",commentaar gebruiker,False
3ac73ff2-72f5-5146-a128-27e41fbe913f,tg:mpmre:508,Users,1,if.rawcontent,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",commentaar gebruiker,False
6313c57a-a7a1-5cee-8fef-23bca91bd29d,tg:mpmre:499,Users,1,if.rawcontent,"Alfabetische index ontbreekt   
KS_20151008",commentaar gebruiker,False
d91311fa-f48a-58dd-9345-45b566cc4051,tg:mpmre:513,Users,1,if.rawcontent,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",commentaar gebruiker,False
583bf403-e321-55fa-8d55-8d3ee03c8ff8,tg:mpmre:514,Users,1,if.rawcontent,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",commentaar gebruiker,False
673b411d-5450-5ebf-a545-8fae046af2ef,tg:mpmre:515,Users,1,if.rawcontent,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",commentaar gebruiker,False
