ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
c226f9f9-3d05-5498-86f3-b5cc7a581880,tg:mpmak:115,Dimensions,kenmerken/mpmformaths.mpmformathsafm,140,hoogte,millimeter
c226f9f9-3d05-5498-86f3-b5cc7a581880,tg:mpmak:115,Dimensions,kenmerken/mpmformaths.mpmformathsafm,210,breedte,millimeter
d3bc780d-7e26-55fa-8e90-54ee7fb8785e,tg:mpmak:284,Dimensions,kenmerken/mpmformaths.mpmformathsafm,230,hoogte,millimeter
d3bc780d-7e26-55fa-8e90-54ee7fb8785e,tg:mpmak:284,Dimensions,kenmerken/mpmformaths.mpmformathsafm,90,breedte,millimeter
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,Dimensions,kenmerken/mpmformaths.mpmformathsafm,320,hoogte,millimeter
68cb4d36-8a18-5160-b5c2-6efcecf21aa8,tg:mpmak:142,Dimensions,kenmerken/mpmformaths.mpmformathsafm,210,breedte,millimeter
628846c9-1bbe-58e7-9717-8c55945f7d70,tg:mpmak:292,Dimensions,kenmerken/mpmformaths.mpmformathsafm,320,hoogte,millimeter
628846c9-1bbe-58e7-9717-8c55945f7d70,tg:mpmak:292,Dimensions,kenmerken/mpmformaths.mpmformathsafm,220,breedte,millimeter
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,Dimensions,kenmerken/mpmformaths.mpmformathsafm,80,hoogte,millimeter
54294c9c-44af-5be1-9495-a7d7a1e3ec6d,tg:mpmak:338,Dimensions,kenmerken/mpmformaths.mpmformathsafm,180,breedte,millimeter
869e1271-adff-515c-a7a1-ac43980f91bc,tg:mpmak:154,Dimensions,kenmerken/mpmformaths.mpmformathsafm,360,hoogte,millimeter
869e1271-adff-515c-a7a1-ac43980f91bc,tg:mpmak:154,Dimensions,kenmerken/mpmformaths.mpmformathsafm,240,breedte,millimeter
