Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card,brocade.id,source_field,Description,Description Type,Description Language,Acquisition Note,Registration Number value,Location Number,Archive Note,adm.note,Warehouse Location (begin),Serial Number,Title,Title Type,Title Language,Material Records,ire.isaar.uuid,Creation ISAAR Brocade ID,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier
tg:lhpr:4294,Prenten,00006491-420c-5c5a-a4d4-111d45e2b856,Letterenhuis,https://data.letterenhuis.be/ark:/24970/00006491-420c-5c5a-a4d4-111d45e2b856,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,00006491-420c-5c5a-a4d4-111d45e2b856,,,,,1,ImmaterialContent,tg:lhpr:4294,,,,,,,,,,,,,,,,d8912c06-a678-57ee-a68e-5cf4b6a5c27e,au::15437,artists (visual artists),"dlod={""name"":""Henri Ramah"",""ark"":""ark:/83110/x0/d8912c06-a678-57ee-a68e-5cf4b6a5c27e"",""uri"":""/agents/people/54989"",""id"":""au::15437"",""nameWithContext"":[""Henri Raemaeker""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d8912c06-a678-57ee-a68e-5cf4b6a5c27e
,,00006491-420c-5c5a-a4d4-111d45e2b856,,,,,1,Items,tg:lhpr:4294,,,,,,36408/3,R 1627 / I,isad:lh:96535,"**Publicatie** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine roman met één personage en zeven instrumenten zijnde een volledige slagwerk batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 39. Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op Hollands papier.",,,,,,,,,,,
,,00006491-420c-5c5a-a4d4-111d45e2b856,,,,,2,Items,tg:lhpr:4294,,,,,tr:lh:4053,77778/3,R 1627 / I,isad:lh:96535,"**Publikatie:** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine
roman met één personage en zeven instrumenten zijnde een volledige slagwerk
batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 39.

Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op
Hollands papier.",,,,,,,,,,,
,,00006491-420c-5c5a-a4d4-111d45e2b856,,,,,1,MaterialRecords,tg:lhpr:4294,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""0499f7a2-f472-5a91-93ed-3d963ac342ec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eede661a-2bdc-47a4-b836-b2b5bb4cd417"", ""inverseOntologyProperty"": """"}]",,,,,
,,00006491-420c-5c5a-a4d4-111d45e2b856,,,,,1,MaterialRecords,tg:lhpr:4294,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""337a5587-81a3-550e-b052-58c1ff753296"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1076b913-2f0b-4606-9273-5cff43ab5763"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:2184,Prenten,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,Letterenhuis,https://data.letterenhuis.be/ark:/24970/02c18db7-2c9c-5a65-9396-82d4bd76e8ff,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,,,,,1,ImmaterialContent,tg:lhpr:2184,,,,,,,,,,,,,,,,65f2f5c3-1e70-5735-a6b6-8b6bf459d278,au::16881,artists (visual artists),"dlod={""name"":""Juliaan Severin"",""ark"":""ark:/83110/x0/65f2f5c3-1e70-5735-a6b6-8b6bf459d278"",""uri"":""/agents/people/57915"",""id"":""au::16881"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/65f2f5c3-1e70-5735-a6b6-8b6bf459d278
,,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,,,,,3,ImmaterialContent,tg:lhpr:2184,,,,,,,,,,,,,,,,e4bfa316-24f5-5a24-b099-92de69e3e6c8,au::16589,dedicatees,"dlod={""name"":""Ger Schmook"",""ark"":""ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8"",""uri"":""/agents/people/85284"",""id"":""au::16589"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8
,,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,,,,,1,Items,tg:lhpr:2184,,,,,,40302,Planex KP / S 535,,,,,,,,,,,,,
,,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,,,,,2,Items,tg:lhpr:2184,,,,,tr:lh:2599,52229,Planex KP / S 535,isad:lh:96336,,,,,,,,,,,,
,,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,,,,,1,MaterialRecords,tg:lhpr:2184,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""7d89982d-0ea8-5dab-bd8f-3702e599f028"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d894cc83-4e3b-4742-8b59-f228d61cb59e"", ""inverseOntologyProperty"": """"}]",,,,,
,,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,,,,,1,MaterialRecords,tg:lhpr:2184,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""17381590-bcd1-52ec-982a-0e1e174de782"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f010bbff-703e-4ba7-a33f-72a548c13381"", ""inverseOntologyProperty"": """"}]",,,,,
tg:lhpr:2050,Prenten,02f0f343-3a2f-5719-89a4-9a046c90abd7,Letterenhuis,https://data.letterenhuis.be/ark:/24970/02f0f343-3a2f-5719-89a4-9a046c90abd7,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,1,ImmaterialContent,tg:lhpr:2050,,,,,,,,,,,,,,,,8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76,au::14556,artists (visual artists),"dlod={""name"":""Louis Joannes Peeters"",""ark"":""ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76"",""uri"":""/agents/people/87707"",""id"":""au::14556"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,1,Items,tg:lhpr:2050,,,,,,27381/485,Planex KP / G 3625,,,,,,,,,,,,,
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,2,Items,tg:lhpr:2050,,,,,tr:lh:1762,32442,Planex KP / G 3625,,,,,,,,,,,,,
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,3,Items,tg:lhpr:2050,,,,,,100587,Planex KP / G 3625,,,,,,,,,,,,,
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,4,Items,tg:lhpr:2050,,,,,tr:lh:5683,114938,Planex KP / G 3625,isad:lh:96256,,,,,,,,,,,,
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,1,MaterialRecords,tg:lhpr:2050,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""0b89746d-3dfc-5ab9-b201-3d840a2fd170"", ""ontologyProperty"": """", ""resourceXresourceId"": ""64736bcf-ead6-42ce-aa4e-38574a291440"", ""inverseOntologyProperty"": """"}]",,,,,
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,1,MaterialRecords,tg:lhpr:2050,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""4a4bea00-951f-5b16-85c7-56543660b255"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c1bbd92d-4eef-4142-b966-f70fcfe3bfb1"", ""inverseOntologyProperty"": """"}]",,,,,
,,02f0f343-3a2f-5719-89a4-9a046c90abd7,,,,,1,MaterialRecords,tg:lhpr:2050,brocade.material_uuids,,,,,,,,,,,,,,"[{""resourceId"": ""4d2c6d80-1a51-55a1-b5fc-4f8aeebdb2e5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8fa79b0f-ffb4-4b41-893d-6c01325904c5"", ""inverseOntologyProperty"": """"}]",,,,,
