Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card,brocade.id,source_field,Immaterial Record,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,source_code,Carrier Type,Colour,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Illustration URL,Illustration Type,Acquisition Note,Registration Number value,Location Number,Archive Note,adm.note,Warehouse Location (begin),Serial Number,Legacy Information Value,Legacy Information Type,Legacy Information Published,Mark Text,Mark Type,Mark Language,Material,ire.isaar.uuid,ISAAR Brocade ID,Entity Relation,Entity Widget,Entity Identifier,Title,Title Type,Title Language,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Start Date,Start Date Type,End Date,End Date Type
tg:lhpr:1351_#1,Prenten,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,repository numbers,object identifier,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,Annotations,tg:lhpr:1351_#1,adm.note,,,,,"De randen van het papier zijn gerafeld en hebben nagelgaten (oorspronkelijk was het genageld aan de kader).
Maar de afbeelding op zich is eigenlijk in uitstekende staat.
18/06/2003.",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,Archives,tg:lhpr:1351_#1,,,,,,,,,isad:lh:96256,"dlod={""name"":""Prenten"",""ark"":""ark:/24970/x0/b17ce15b-6af2-5450-a779-01b3437e1e66"",""uri"":""/repositories/11/archival_objects/318976"",""id"":""isad:lh:96256"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Edward Keurvels"",""resourceArk"":""ark:/24970/x0/9dce1cf3-0547-5b77-a158-a65e0809b819"",""resourceURI"":""/repositories/11/resources/4012"",""resourceID"":""isad:lh:552"",""capacity"":""Prenten"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b17ce15b-6af2-5450-a779-01b3437e1e66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,Carrier,tg:lhpr:1351_#1,kenmerken/lhdragerico.lhdragertypeico,,,,,,,,,,,dpr,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,DimensionSourceNotes,tg:lhpr:1351_#1,kenmerken/lhdiamic.lhdiamwerkic,,,,,,,,,,,"37 x 28,5",,,,,,,,,"37 x 28,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,DimensionSourceNotes,tg:lhpr:1351_#1,kenmerken/lhdiamic.lhdiamrandic,,,,,,,,,,,"67 x 53,8",,,,,,,,,"67 x 53,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,Images,tg:lhpr:1351_#1,ill.lowres,,,,,,,,,,,,,,,,,,,,,https://anet.be/docstore/d:lh:46241,Lage resolutie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,ImmaterialRecord,tg:lhpr:1351_#1,brocade.immaterial_uuid,"[{""resourceId"": ""2fc5b956-4f27-5a59-bfeb-b70774ec9d67"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ddd82140-23f8-46ea-9850-9bad4a7cc5c3"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,Items,tg:lhpr:1351_#1,,,,,,,,,,,,,,,,,,,,,,,,,198985,Planex GP / B 435,isad:lh:96256,"De randen van het papier zijn gerafeld en hebben nagelgaten (oorspronkelijk was het genageld aan de kader).
Maar de afbeelding op zich is eigenlijk in uitstekende staat.
18/06/2003.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,0227d9d0-f0f2-5bc0-bcfb-ae1f6391709a,,,,,1,LegacyInformation,,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oorspronkelijke lijst (hout, plaaster en goudverf) eventueel laten restaureren zodat de prent heringekaderd kan worden.",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,
