Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:3721,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3721/N,d4d5d99b-cc91-583f-aba6-14b58f3e39d0,BE-ANN14/gr/000003721,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/d4d5d99b-cc91-583f-aba6-14b58f3e39d0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2833,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2833/N,175b6b9b-0937-5949-a3bf-bab05fa2d8e9,BE-ANN14/gr/000002833,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/175b6b9b-0937-5949-a3bf-bab05fa2d8e9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:729,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:729/N,787977c6-737c-565d-adab-a0c5d7cd499f,BE-ANN14/gr/000000729,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/787977c6-737c-565d-adab-a0c5d7cd499f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3371,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3371/N,b05f8d36-4693-51a8-9f9d-3a9e6c86cae0,BE-ANN14/gr/000003371,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b05f8d36-4693-51a8-9f9d-3a9e6c86cae0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:683,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:683/N,4b49359d-c991-5d73-9a5b-e7525f5101fc,BE-ANN14/gr/000000683,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/4b49359d-c991-5d73-9a5b-e7525f5101fc'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:379,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:379/N,d74c451c-9476-56a2-a712-1b3ce481c9b3,BE-ANN14/gr/000000379,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/d74c451c-9476-56a2-a712-1b3ce481c9b3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2999,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2999/N,4a97664d-dba3-5308-984c-31204cee7bf2,BE-ANN14/gr/000002999,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/4a97664d-dba3-5308-984c-31204cee7bf2'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2130,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2130/N,b425a01e-0135-5b76-a417-863e10986d85,BE-ANN14/gr/000002130,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b425a01e-0135-5b76-a417-863e10986d85'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2560,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2560/N,68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,BE-ANN14/gr/000002560,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/68172bd9-22e0-59d5-8f6f-3a1c1569ac6b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2075,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2075/N,2ca4f09a-199b-52fc-813d-6b117f4a0983,BE-ANN14/gr/000002075,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/2ca4f09a-199b-52fc-813d-6b117f4a0983'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4908,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4908/N,0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,BE-ANN14/gr/000004908,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/0d61ec22-87f6-5cb3-8d35-d1f7c6becbac'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
