ResourceID,brocade.id,card,order,Subject
787977c6-737c-565d-adab-a0c5d7cd499f,tg:rubgr:729,Subjects,a::rub.21,a::rub.21
4b49359d-c991-5d73-9a5b-e7525f5101fc,tg:rubgr:683,Subjects,a::rub.20:1,a::rub.20:1
d74c451c-9476-56a2-a712-1b3ce481c9b3,tg:rubgr:379,Subjects,a::rub.11:1,a::rub.11:1
0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,tg:rubgr:4908,Subjects,a::rub.23,a::rub.23
799335a5-10ae-5d78-ad7b-3d9e7e510a2e,tg:rubgr:1659,Subjects,a::rub.45,a::rub.45
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Subjects,a::rub.12,a::rub.12
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,Subjects,a::rub.41,a::rub.41
590fefe8-2c37-5fc6-bda7-7f12c41405b2,tg:rubgr:816,Subjects,a::rub.22,a::rub.22
33f2d377-ac3c-5327-a7be-23f4e590d677,tg:rubgr:1823,Subjects,a::rub.47,a::rub.47
31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,tg:rubgr:115,Subjects,a::rub.7,a::rub.7
04fbc0f6-7964-5fec-aa99-f37952fc1df4,tg:rubgr:1120,Subjects,a::rub.26:1,a::rub.26:1
62948151-4c94-5bdd-a21a-608f1477d274,tg:rubgr:545,Subjects,a::rub.15,a::rub.15
82f085c3-e0a3-5d76-9b29-318ffab0e03e,tg:rubgr:1570,Subjects,a::rub.42,a::rub.42
a7642b03-dd0f-571a-8b9d-8b1810effb35,tg:rubgr:4267,Subjects,a::rub.25,a::rub.25
a7642b03-dd0f-571a-8b9d-8b1810effb35,tg:rubgr:4267,Subjects,a::rub.38,a::rub.38
add7db4a-cdf4-5243-a528-79417eb20d78,tg:rubgr:1435,Subjects,a::rub.38,a::rub.38
6c64f22d-2d5d-5661-a80e-c279a5bfc831,tg:rubgr:400,Subjects,a::rub.12,a::rub.12
0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,tg:rubgr:1966,Subjects,a::rub.50,a::rub.50
f715bcfd-faf9-5f78-9baa-551d4a990414,tg:rubgr:953,Subjects,a::rub.25,a::rub.25
720fd76d-d5a6-5e2b-b964-dbd86d71de31,tg:rubgr:284,Subjects,a::rub.9,a::rub.9
037309f8-8f5b-5f37-8044-6ce5455e61ee,tg:rubgr:791,Subjects,a::rub.21,a::rub.21
1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,tg:rubgr:2188,Subjects,a::rub.52,a::rub.52
60a7ed78-29f0-5074-b651-1fe965b6967a,tg:rubgr:1527,Subjects,a::rub.41,a::rub.41
