ResourceID,brocade.id,card,order,Keyword
d4d5d99b-cc91-583f-aba6-14b58f3e39d0,tg:rubgr:3721,Keywords,1,"Junius, Franciscus"
d4d5d99b-cc91-583f-aba6-14b58f3e39d0,tg:rubgr:3721,Keywords,2,"Plinius Secundus, Gaius"
787977c6-737c-565d-adab-a0c5d7cd499f,tg:rubgr:729,Keywords,1,"Parrot, André"
4b49359d-c991-5d73-9a5b-e7525f5101fc,tg:rubgr:683,Keywords,1,"Scharf, Alfred"
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,Keywords,1,"Huys, Pieter"
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,Keywords,2,"Mandijn, Jan"
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,Keywords,3,"Castelli, Enrico"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,1,"Granvelle, Antoine Perrenot de"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,2,"Meurs, Jan van"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,3,"Castan, Auguste"
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Keywords,4,inventaris
68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,tg:rubgr:2560,Keywords,1,"Cleve, Marten van (I)"
2ca4f09a-199b-52fc-813d-6b117f4a0983,tg:rubgr:2075,Keywords,1,"Bol, Hans"
8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,tg:rubgr:2425,Keywords,1,"Koetser, Leonard F."
b054fb3a-43e0-5770-af6e-03df58406ab5,tg:rubgr:3664,Keywords,1,"Hind, Arthur Mayger"
799335a5-10ae-5d78-ad7b-3d9e7e510a2e,tg:rubgr:1659,Keywords,1,"Fetti, Domenico"
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,1,"Clovio, Giulio"
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,2,Laatste Oordeel
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,3,"Farnese, Alessandro"
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Keywords,4,New York Public Library
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,Keywords,1,iconografie
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,Keywords,2,kostuum
c6d9e256-6a1e-5a3a-9925-b584353913a0,tg:rubgr:1989,Keywords,1,"Londen, Witt Library"
c1213526-8aa3-5636-b761-88b23fd5499a,tg:rubgr:5163,Keywords,1,inventaris
c1213526-8aa3-5636-b761-88b23fd5499a,tg:rubgr:5163,Keywords,2,"Bredius, Abraham"
