ResourceID,card,order,Description,Description Type,Description Language
d4d5d99b-cc91-583f-aba6-14b58f3e39d0,Descriptions,1,"Courtauld Galleries: Bruegel Kermesse at Hoboken - Look up watermarks [...]; BM [...], Junius, De Pictura veterum, 1st Latin edition 1737 [...]; Philemon Holland, Translation  of Pliny 1601, p. 540, 2nd.ed. 1634; K. Jex-Blake, The Elder Pliny's Chapters on the History of Art, 1896, p. 129.",Beschrijving,Nederlands
175b6b9b-0937-5949-a3bf-bab05fa2d8e9,Descriptions,1,Für Quellen. S. Bibliographie bei Kindlers [Malerei Lexikon].Sources.,Beschrijving,Nederlands
787977c6-737c-565d-adab-a0c5d7cd499f,Descriptions,1,"W.[Walter] Baumgartner, [Boekbespreking]: André Parrot, 'Biblische Archäologie', in: Neue Zürcher Zeitung 1.1.1954.",Beschrijving,Nederlands
b05f8d36-4693-51a8-9f9d-3a9e6c86cae0,Descriptions,1,"Frederick Stopp, 'Burlesque Woodcuts. A Discovery in Oxford', The Times Literary Supplement Friday, April 28, 1961.",Beschrijving,Nederlands
4b49359d-c991-5d73-9a5b-e7525f5101fc,Descriptions,1,"E.M., 'View of Naples in the 15th Century, Museum of S. Martino', in: The Connoisseur vol. XXI, July 1908, n° LXXXIII, pp. 192-193; [toegevoegde vermelding]: Another version with extremely slight variations reprod. by Tolnay, Bruegel 1935, Fig. 5 from Napoli nobilissima, vol. XIII, as in Coll. Princes Strozzi, Florence, 1479. Also shown a rectangular pier. In addition to the river views and plan of Naples listed by Tolnay 1935, p. 63, n. 27. There is a painted Birds-eye view of Naples attributed to Monsù Desiderio, repr. in the catalogue by [Alfred] Scharf of the Desiderio Exhib.[= The Fantastic Visions of Monsu` Desiderio] in the [John and Mable] Ringling Museum, Sarasota [Florida Graphic Arts], 1950, [nr. 57, pl. XXXIII].",Beschrijving,Nederlands
d74c451c-9476-56a2-a712-1b3ce481c9b3,Descriptions,1,"Iona Opie and Peter Opie, Children's Games in Street and Playground, Oxford: University Press, 1969.",Beschrijving,Nederlands
4a97664d-dba3-5308-984c-31204cee7bf2,Descriptions,1,"Temptations of St. Christophorus, repr. in: Enrico CASTELLI, Il demoniaco nell’arte. Il significato filosofico del demoniaco nell’arte, Milano, Firenze, [Electa], n.d. (1952), pl. 49, Jan Mandijn, Munich pl. 71; Pieter Huys (?) Museum Dijon (does not look to be like Huys), pl. 126. Engraving after Bosch.",Beschrijving,Nederlands
b425a01e-0135-5b76-a417-863e10986d85,Descriptions,1,"Ad [Addendum] 84. Inventar Jan van Meurs, in Antwerpen 1652, wie mich F.G. [onleesbaar] erwähnt  ein Bild des gleichen Gegenstandes 'Item een Jonasken van Bruegel (Denucé, Inv. p. 134). Vielleicht dasselbe Bild, das 1607 in Inventar des Hauses Granvelle in Besançon angefuhrt wird. Castan, Palais Granvelle dageg ...[sic] ist die Stelle im Inventar wohl eher auf Jan Bruegel zubeziehen.",Beschrijving,Nederlands
68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,Descriptions,1,"Children's Games. The group which Marten van Cleef took over from Bruegel-Kermesse of St. George, much clearer in Giovanni Grimignani etching of series of Children's Games (B. xx, 203,13) see photograph in Warburg Photo Collection.",Beschrijving,Nederlands
2ca4f09a-199b-52fc-813d-6b117f4a0983,Descriptions,1,"1 zw/w foto Hans Bol1574, [Stempel: Albertina].",Beschrijving,Nederlands
0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,Descriptions,1,"Bruegel Procession to Calvary. Rev. Speary 3-2-56. The presence of the Tall Rock stands for Christ [...]; [toegevoegde vermelding]: 'F.G. John 3, 8 (Christ to Nicodemus). 'The wind bloweth where it listeth, and thou hearest the sound thereof, but canst not tell whence it cometh, and whither it goeth: so is every one that is born of the Spirit.'",Beschrijving,Nederlands
8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,Descriptions,1,Korte inhoud: Vraag om snel contact op te telefoneren.,Beschrijving,Nederlands
b054fb3a-43e0-5770-af6e-03df58406ab5,Descriptions,1,"Hind, Catal. of Drawings by Dutch and Flemish Artists in the BM, IV, Dutch Drawings of the XVIIC 1931, R. Savery, citaat p. 55, 1 Three Hungarian Horse-Soldiers (pl. XXXIII)",Beschrijving,Nederlands
799335a5-10ae-5d78-ad7b-3d9e7e510a2e,Descriptions,1,"Parable of the Blind. Domenico Feti: Exh. Europ[äische] Landschaftsmalerei, [1550-1650], Dresden 29 April -11 Juni 1972, exh N° 32 [...]",Beschrijving,Nederlands
bf61acd1-1a65-57f6-baec-029912374c27,Descriptions,1,"J.B. Bedaux, A. van Gool, 'Bruegel's Birthyear, motive of an ars/natura transmutation', Simiolus 7 (1974), pp. 133-156.",Beschrijving,Nederlands
353d1bea-869d-55ba-8541-cb90e5330b2c,Descriptions,1,"Fall of Rebel Angels. For composition: starting at top with small figures in distance and moving to foreground bottom large figures, cf. Clovio, Last Judgment inTowneley Lectionarium (with 'Bruegel's sea battle at bottom) - though in Clovio less continous. The same principle (derived from Bruegel's Fall of Rebel Angels?) in Floris's Last Judgment, Vienna.",Beschrijving,Nederlands
2d4b2d19-0e2d-521b-bfc1-8963c4b5088b,Descriptions,1,"[recto] Ad [Addendum] 100. Witt Library. Under P.B.I. Piper= Bagpiperplayer: A) Man walking towards left: 1) A. S. Drey, Munich 1932, 45 x 75 cm. Fürstenberg Coll. [?] Signed and dated bottom left P. BRVEGHEL 1610 (see also under P.B.II & Vinckeboon)(Good large photo), better version than; 2) Sale Christie, 7-III-1927. Brughel [sic] 56 A Village scene, with a piper surrounded by children. Panel 171/2 x 291/2 in. Signed and dated 'P.Brueghel 1610'(??); [verso] B) Similar composition, with only a few similar motifs but [?] in reverse with the man - a here hurdy gurdy player, walking to the right; [toegevoegde vermelding]: 'F.G. Probably Vinckboons'; 1) Löwenfeld, Coll. Munich 1897, N° 37 (Panel, 39 x 55 cm, Schloß Reinach, nr. Afschaffenburg (with false sdignature and date butom right P. BRVEGHEL 1568.",Beschrijving,Nederlands
8042eaa7-0073-558c-945d-d5bad0bf545f,Descriptions,1,"Murder of Innocents. Similar motifs; horsemen in armour etc. In Conversion of Saul. Seen together, the poor quality of the Murder of Innocents in Vienna is particularly apparent.",Beschrijving,Nederlands
590fefe8-2c37-5fc6-bda7-7f12c41405b2,Descriptions,1,"9. Der Turmbau zu Babel (kleine Fassung). Stall: Rotterdam, Vierhouten [...][scan]",Beschrijving,Nederlands
