ResourceID,brocade.id,card,order,Related Dossier
d4d5d99b-cc91-583f-aba6-14b58f3e39d0,tg:rubgr:3721,RelatedDossiers,1,AFG_098
175b6b9b-0937-5949-a3bf-bab05fa2d8e9,tg:rubgr:2833,RelatedDossiers,1,AFG_086
787977c6-737c-565d-adab-a0c5d7cd499f,tg:rubgr:729,RelatedDossiers,1,AFG_017
b05f8d36-4693-51a8-9f9d-3a9e6c86cae0,tg:rubgr:3371,RelatedDossiers,1,AFG_093
4b49359d-c991-5d73-9a5b-e7525f5101fc,tg:rubgr:683,RelatedDossiers,1,AFG_016
d74c451c-9476-56a2-a712-1b3ce481c9b3,tg:rubgr:379,RelatedDossiers,1,AFG_007
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,RelatedDossiers,1,AFG_088
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,RelatedDossiers,1,AFG_058
68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,tg:rubgr:2560,RelatedDossiers,1,AFG_083
2ca4f09a-199b-52fc-813d-6b117f4a0983,tg:rubgr:2075,RelatedDossiers,1,AFG_057
0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,tg:rubgr:4908,RelatedDossiers,1,AFG_136
0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,tg:rubgr:4908,RelatedDossiers,2,AFG_019
8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,tg:rubgr:2425,RelatedDossiers,1,AFG_081
b054fb3a-43e0-5770-af6e-03df58406ab5,tg:rubgr:3664,RelatedDossiers,1,AFG_097
799335a5-10ae-5d78-ad7b-3d9e7e510a2e,tg:rubgr:1659,RelatedDossiers,1,AFG_045
bf61acd1-1a65-57f6-baec-029912374c27,tg:rubgr:2976,RelatedDossiers,1,AFG_087
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,RelatedDossiers,1,AFG_008
2d4b2d19-0e2d-521b-bfc1-8963c4b5088b,tg:rubgr:3234,RelatedDossiers,1,AFG_091
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,RelatedDossiers,1,AFG_029
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,RelatedDossiers,2,AFG_041
590fefe8-2c37-5fc6-bda7-7f12c41405b2,tg:rubgr:816,RelatedDossiers,1,AFG_018
33f2d377-ac3c-5327-a7be-23f4e590d677,tg:rubgr:1823,RelatedDossiers,1,AFG_048
c6d9e256-6a1e-5a3a-9925-b584353913a0,tg:rubgr:1989,RelatedDossiers,1,AFG_055
c1213526-8aa3-5636-b761-88b23fd5499a,tg:rubgr:5163,RelatedDossiers,1,AFG_143
6865645d-835d-5edb-a6fa-84e89256c876,tg:rubgr:4322,RelatedDossiers,1,AFG_111
31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,tg:rubgr:115,RelatedDossiers,1,AFG_003
04fbc0f6-7964-5fec-aa99-f37952fc1df4,tg:rubgr:1120,RelatedDossiers,1,AFG_024
