ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,db,record.id,record_uuid,source_place_name,source_au_uuid,match_id,record_id,Creation Place Widget,Creation Place Note,Creation Place Note Language,Creation Place Note Type,Start Date,Start Date Type,End Date,End Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:1035,https://data.letterenhuis.be/ark:/24970/0037c8b2-625d-5e8e-a6f5-fef61711e8d9,Beeldhouwwerken,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.0,2050,In Copyright
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935-06-28,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,e73_DepictedItems,,,au::19557,,,,lh,,,0480f420-0175-5bec-8d5d-f686082fe286,kw,,au::19557:1,au::19557g:1,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/2092599"",""au::19557"",""au::19557:1"",""ark:/83110/x0/0480f420-0175-5bec-8d5d-f686082fe286"",""Lode Verhees""],""name"":""Lode Verhees"",""ark"":""ark:/83110/x0/0480f420-0175-5bec-8d5d-f686082fe286"",""uri"":""/agents/people/2092599"",""id"":""au::19557:1"",""isCapacity"":false}",ark:/83110/x0/0480f420-0175-5bec-8d5d-f686082fe286,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,e73_Descriptions,1.0,note.lhdetail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Aangezichtsmasker met oren. Geen steunrand.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000418,referentienummer,False,,,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1035,brocade id,False,,,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:1035/N,brocade url,False,,,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""445a8e17-fa6e-58a6-93df-2d1215553faf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d601c575-fa76-42ce-b28e-9bd0bde8d367"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
0037c8b2-625d-5e8e-a6f5-fef61711e8d9,tg:lhsc:1035,e73_Titles,1,id.title/description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dodenmasker van Lode Verhees,constructed titles,Dutch (language),,,,,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,tg:lhsc:1090,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:1090,https://data.letterenhuis.be/ark:/24970/00e7c800-363d-5867-af7e-9bdc361c7afc,Beeldhouwwerken,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,tg:lhsc:1090,e73_CreationActors,,,au::54779,,,,lh,lhsc,Object,1b8ac7fb-66e2-53ce-82e2-2c72188ccfa0,ar,artists (visual artists),au::54779:1,au::54779g:1,,"dlod={""suggest"":[""/agents/people/5861353"",""au::54779"",""au::54779:1"",""ark:/83110/x0/1b8ac7fb-66e2-53ce-82e2-2c72188ccfa0"",""L. Meeus""],""name"":""L. Meeus"",""ark"":""ark:/83110/x0/1b8ac7fb-66e2-53ce-82e2-2c72188ccfa0"",""uri"":""/agents/people/5861353"",""id"":""au::54779:1"",""isCapacity"":false}",ark:/83110/x0/1b8ac7fb-66e2-53ce-82e2-2c72188ccfa0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,tg:lhsc:1090,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined
00e7c800-363d-5867-af7e-9bdc361c7afc,tg:lhsc:1090,e73_DepictedItems,,,au::21136,,,,lh,,,2d3dd90a-c5d4-5c01-92a0-cdb9bf10f662,kw,,au::21136:1,au::21136g:1,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/2261552"",""au::21136"",""au::21136:1"",""ark:/83110/x0/2d3dd90a-c5d4-5c01-92a0-cdb9bf10f662"",""Andreas de Weerdt""],""name"":""Andreas de Weerdt"",""ark"":""ark:/83110/x0/2d3dd90a-c5d4-5c01-92a0-cdb9bf10f662"",""uri"":""/agents/people/2261552"",""id"":""au::21136:1"",""isCapacity"":false}",ark:/83110/x0/2d3dd90a-c5d4-5c01-92a0-cdb9bf10f662,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,tg:lhsc:1090,e73_Descriptions,1.0,note.lhdetail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Afwerkingslaag: marmerimitatie (grijs-wit)</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/sc/000000472,referentienummer,False,,,,,,,,,,,,,,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1090,brocade id,False,,,,,,,,,,,,,,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhsc:1090/N,brocade url,False,,,,,,,,,,,,,,,,,,
00e7c800-363d-5867-af7e-9bdc361c7afc,tg:lhsc:1090,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f688221a-ae10-5e44-a53d-1d83aabbf89c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4c330a83-c575-4339-8f4b-b0763dd2da7a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
