ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,adm.id_mat,adm.inv,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,ire.isaar.uuid,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Identifier
0052e414-f8a2-52b1-8b71-4d188bde897a,tg:lhps:49523_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:49523_#1,https://data.letterenhuis.be/ark:/24970/0052e414-f8a2-52b1-8b71-4d188bde897a
0052e414-f8a2-52b1-8b71-4d188bde897a,tg:lhps:49523_#1,e22_AcquisitionNumbers,1,,,,225293/485,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0052e414-f8a2-52b1-8b71-4d188bde897a,tg:lhps:49523_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,50 x 35,,,,,,,,,,,50 x 35,,,,,,,,,,,,,,,
0052e414-f8a2-52b1-8b71-4d188bde897a,tg:lhps:49523_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,500.0,hoogte,millimeter,,,,,,,,,,,,,,,,
0052e414-f8a2-52b1-8b71-4d188bde897a,tg:lhps:49523_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,350.0,breedte,millimeter,,,,,,,,,,,,,,,,
0052e414-f8a2-52b1-8b71-4d188bde897a,tg:lhps:49523_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:49523_#1,225293/485,P 625 / A,0052e414-f8a2-52b1-8b71-4d188bde897a,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:34478_#1,https://data.letterenhuis.be/ark:/24970/00602213-f6a6-511b-813f-0edd62f816e0
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_AcquisitionNumbers,1,,,,225272/2441,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_AnnotationsMaterial,1,,,,,,note.lhalg,"<p>Kleurenlithografie; gesign. l.o. &quot;PAL</p>
","<p>Kleurenlithografie; gesign. l.o. &quot;PAL</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_Archives,1,,,,,,,,,,,isad:lh:92750,"dlod={""name"":""Legaat Jules Baetes (1938)"",""ark"":""ark:/24970/x0/728fbc45-c264-5207-8c63-47d6f6b26f6c"",""uri"":""/repositories/11/archival_objects/271768"",""id"":""isad:lh:92750"",""resourceName"":""Affichecollectie van Museum Vleeshuis"",""resourceArk"":""ark:/24970/x0/f6c95b67-ed69-5283-93e0-66c4960b34da"",""resourceURI"":""/repositories/11/resources/3452"",""resourceID"":""isad:lh:92216"",""capacity"":""Legaat Jules Baetes (1938)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/728fbc45-c264-5207-8c63-47d6f6b26f6c,,,,,,,,,,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_Carrier,1,,,,,,kenmerken.lhdragerps,ddo,,,,,,,canvas (textile material),,,,,,,,,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,121 x 82,,,,,,,,,,,121 x 82,,,,,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,1210.0,hoogte,millimeter,,,,,,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,820.0,breedte,millimeter,,,,,,,,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:34478_#1,225272/2441,AV.38.5.10.605,00602213-f6a6-511b-813f-0edd62f816e0,,isad:lh:92750,,,,,,,,,
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,c2df3c41-4e39-5886-8c50-685b0006ad7c,au::57231,printers (people),"dlod={""name"":""Imp. Paul Dupont"",""ark"":""ark:/83110/x0/c2df3c41-4e39-5886-8c50-685b0006ad7c"",""uri"":""/agents/corporate_entities/14108"",""id"":""au::57231"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c2df3c41-4e39-5886-8c50-685b0006ad7c,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:10513_#1,https://data.letterenhuis.be/ark:/24970/008807f6-a15a-56b8-a6e2-b94c6062e4ac
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_AcquisitionNumbers,1,,,,185460,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_Acquisitions,1,tr:lh:7284,"dlod={""name"":""Oningeschreven gevonden in 1997"",""ark"":""ark:/24970/x0/8dd3ec58-eb3e-5442-8d71-0424de32ca35"",""uri"":""/repositories/11/accessions/10669"",""id"":""tr:lh:7284"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/8dd3ec58-eb3e-5442-8d71-0424de32ca35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_AnnotationsMaterial,1,,,,,,note.lhalg,"<p>gesign. GAL, naar Roy Lichtenstein</p>
","<p>gesign. GAL, naar Roy Lichtenstein</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,98 x 60,,,,,,,,,,,98 x 60,,,,,,,,,,,,,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,980.0,hoogte,millimeter,,,,,,,,,,,,,,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,600.0,breedte,millimeter,,,,,,,,,,,,,,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:10513_#1,185460,M 1864 / A,008807f6-a15a-56b8-a6e2-b94c6062e4ac,tr:lh:7284,,,,,,,,,,
008807f6-a15a-56b8-a6e2-b94c6062e4ac,tg:lhps:10513_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,e40dcc4b-721a-524a-a88c-97489e7b1d73,au::44456,printers (people),"dlod={""name"":""De Cuyper"",""ark"":""ark:/83110/x0/e40dcc4b-721a-524a-a88c-97489e7b1d73"",""uri"":""/agents/corporate_entities/23099"",""id"":""au::44456"",""nameWithContext"":[""De Cuyper-Robberecht""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e40dcc4b-721a-524a-a88c-97489e7b1d73,,,
0129e053-8e0a-5e12-a6b8-4a9ed081a52f,tg:lhps:932_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:932_#1,https://data.letterenhuis.be/ark:/24970/0129e053-8e0a-5e12-a6b8-4a9ed081a52f
0129e053-8e0a-5e12-a6b8-4a9ed081a52f,tg:lhps:932_#1,e22_AcquisitionNumbers,1,,,,239660,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0129e053-8e0a-5e12-a6b8-4a9ed081a52f,tg:lhps:932_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,34 x 50,,,,,,,,,,,34 x 50,,,,,,,,,,,,,,,
0129e053-8e0a-5e12-a6b8-4a9ed081a52f,tg:lhps:932_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,340.0,hoogte,millimeter,,,,,,,,,,,,,,,,
0129e053-8e0a-5e12-a6b8-4a9ed081a52f,tg:lhps:932_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,500.0,breedte,millimeter,,,,,,,,,,,,,,,,
0129e053-8e0a-5e12-a6b8-4a9ed081a52f,tg:lhps:932_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,tg:lhps:932_#1,239660,B 9324 / A,0129e053-8e0a-5e12-a6b8-4a9ed081a52f,,,,,,,,,,,
