Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:rubgr:2075,Objecten archief Grossmann,2ca4f09a-199b-52fc-813d-6b117f4a0983,Rubenianum,https://data.rubenianum.be//ark:/86530/2ca4f09a-199b-52fc-813d-6b117f4a0983,repository numbers,object identifier,0,AA
tg:rubgr:2649,Objecten archief Grossmann,a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6,Rubenianum,https://data.rubenianum.be//ark:/86530/a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6,repository numbers,object identifier,0,AA
tg:rubgr:953,Objecten archief Grossmann,f715bcfd-faf9-5f78-9baa-551d4a990414,Rubenianum,https://data.rubenianum.be//ark:/86530/f715bcfd-faf9-5f78-9baa-551d4a990414,repository numbers,object identifier,0,AA
tg:rubgr:2167,Objecten archief Grossmann,449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,Rubenianum,https://data.rubenianum.be//ark:/86530/449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,repository numbers,object identifier,0,AA
tg:rubgr:3326,Objecten archief Grossmann,443d95f3-e455-5e8a-8463-56421a30fb26,Rubenianum,https://data.rubenianum.be//ark:/86530/443d95f3-e455-5e8a-8463-56421a30fb26,repository numbers,object identifier,0,AA
tg:rubgr:2472,Objecten archief Grossmann,e47c3249-7620-578a-a233-18d69d472267,Rubenianum,https://data.rubenianum.be//ark:/86530/e47c3249-7620-578a-a233-18d69d472267,repository numbers,object identifier,0,AA
tg:rubgr:2188,Objecten archief Grossmann,1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,Rubenianum,https://data.rubenianum.be//ark:/86530/1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,repository numbers,object identifier,0,AA
tg:rubgr:3330,Objecten archief Grossmann,9b74ed7c-f590-58fb-b5df-1583dd0b6621,Rubenianum,https://data.rubenianum.be//ark:/86530/9b74ed7c-f590-58fb-b5df-1583dd0b6621,repository numbers,object identifier,0,AA
tg:rubgr:2171,Objecten archief Grossmann,b7769732-1102-575a-97b1-9f9e27c2732d,Rubenianum,https://data.rubenianum.be//ark:/86530/b7769732-1102-575a-97b1-9f9e27c2732d,repository numbers,object identifier,0,AA
tg:rubgr:2576,Objecten archief Grossmann,5c211aea-0282-5bfd-b7ca-2eb8189a8b05,Rubenianum,https://data.rubenianum.be//ark:/86530/5c211aea-0282-5bfd-b7ca-2eb8189a8b05,repository numbers,object identifier,0,AA
tg:rubgr:3388,Objecten archief Grossmann,031756e2-6d4a-5915-b5db-a9235abdbddc,Rubenianum,https://data.rubenianum.be//ark:/86530/031756e2-6d4a-5915-b5db-a9235abdbddc,repository numbers,object identifier,0,AA
