ResourceID,brocade.id,card,order,source_field,External Relation URL,External Relation,External Relation URL Type
f715bcfd-faf9-5f78-9baa-551d4a990414,tg:rubgr:953,Subjects,a::rub.25,ow.link,a::rub.25,andere,Bibliotheekcatalogus van het Rubenianum
1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,tg:rubgr:2188,Subjects,a::rub.52,ow.link,a::rub.52,andere,Bibliotheekcatalogus van het Rubenianum
0dd33f22-6022-54eb-b09e-eaa4186c4846,tg:rubgr:1321,Subjects,a::rub.35,ow.link,a::rub.35,andere,Bibliotheekcatalogus van het Rubenianum
708ed429-392e-5eca-8a18-65eae43c07fe,tg:rubgr:1399,Subjects,a::rub.38,ow.link,a::rub.38,andere,Bibliotheekcatalogus van het Rubenianum
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,Subjects,a::rub.49,ow.link,a::rub.49,andere,Bibliotheekcatalogus van het Rubenianum
97af1d09-fbb7-5c75-8de1-d3c5976d1574,tg:rubgr:586,Subjects,a::rub.15,ow.link,a::rub.15,andere,Bibliotheekcatalogus van het Rubenianum
85442c1e-b453-5a1d-a2f2-0706d61b5df0,tg:rubgr:752,Subjects,a::rub.21,ow.link,a::rub.21,andere,Bibliotheekcatalogus van het Rubenianum
cf465dec-4dd5-5e28-bd54-34d0c63c6789,tg:rubgr:181,Subjects,a::rub.7,ow.link,a::rub.7,andere,Bibliotheekcatalogus van het Rubenianum
043475a8-e637-52ef-904f-63521481bc6f,tg:rubgr:2262,Subjects,a::rub.57,ow.link,a::rub.57,andere,Bibliotheekcatalogus van het Rubenianum
b9f43f2b-27dd-50d8-b2e9-7b8d565bed3b,tg:rubgr:375,Subjects,a::rub.11,ow.link,a::rub.11,andere,Bibliotheekcatalogus van het Rubenianum
a72a1a6a-c98a-5410-b745-43abfdd72cdf,tg:rubgr:908,Subjects,a::rub.24,ow.link,a::rub.24,andere,Bibliotheekcatalogus van het Rubenianum
a88518c4-e145-5ce7-892c-68b6bca6cbed,tg:rubgr:1182,Subjects,a::rub.30,ow.link,a::rub.30,andere,Bibliotheekcatalogus van het Rubenianum
248fd077-40fa-5978-a103-71d6b813317d,tg:rubgr:2192,Subjects,a::rub.52,ow.link,a::rub.52,andere,Bibliotheekcatalogus van het Rubenianum
f76b6914-8bd7-5405-bf57-af80c1dabb98,tg:rubgr:226,Subjects,a::rub.8:1,ow.link,a::rub.8:1,andere,Bibliotheekcatalogus van het Rubenianum
22671933-0ed5-578a-87c8-7988aeed42f8,tg:rubgr:174,Subjects,a::rub.7:1,ow.link,a::rub.7:1,andere,Bibliotheekcatalogus van het Rubenianum
e7e2ea61-d663-57e0-8c6a-c292d8678095,tg:rubgr:748,Subjects,a::rub.21:1,ow.link,a::rub.21:1,andere,Bibliotheekcatalogus van het Rubenianum
2194ea8b-0a85-503f-9eee-e9972556acda,tg:rubgr:1546,Subjects,a::rub.41,ow.link,a::rub.41,andere,Bibliotheekcatalogus van het Rubenianum
931e776c-4cde-5a59-8092-a24eb9b837bb,tg:rubgr:1395,Subjects,a::rub.38,ow.link,a::rub.38,andere,Bibliotheekcatalogus van het Rubenianum
2d87282f-cc45-5ed7-8873-2a64b5bf17b3,tg:rubgr:708,Subjects,a::rub.21,ow.link,a::rub.21,andere,Bibliotheekcatalogus van het Rubenianum
