ResourceID,brocade.id,card,order,External Relation,External Relation URL,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type
a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6,tg:rubgr:2649,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:2648,Verwijzing naar Grossmann object,,,
f715bcfd-faf9-5f78-9baa-551d4a990414,tg:rubgr:953,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:952,Verwijzing naar Grossmann object,,,
e47c3249-7620-578a-a233-18d69d472267,tg:rubgr:2472,ExternalRelations,1,gerelateerd object,https://anet.be/record/rub/opacrub/tg:rubgr:2473,Verwijzing naar Grossmann object,,,
b7769732-1102-575a-97b1-9f9e27c2732d,tg:rubgr:2171,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:2170,Verwijzing naar Grossmann object,,,
5c211aea-0282-5bfd-b7ca-2eb8189a8b05,tg:rubgr:2576,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:2567,Verwijzing naar Grossmann object,,,
031756e2-6d4a-5915-b5db-a9235abdbddc,tg:rubgr:3388,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:3387,Verwijzing naar Grossmann object,,,
a92134b5-0ae2-5049-83e8-8a59785c8357,tg:rubgr:2433,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:2431,Verwijzing naar Grossmann object,,,
85442c1e-b453-5a1d-a2f2-0706d61b5df0,tg:rubgr:752,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:746,Verwijzing naar Grossmann object,,,
16e1dee2-135a-5ea2-87e8-73755c94bfa9,tg:rubgr:2645,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/rub/opacrub/c:lvd:13126762,Bibliotheekcatalogus van het Rubenianum,,,
16e1dee2-135a-5ea2-87e8-73755c94bfa9,tg:rubgr:2645,ExternalRelations,2,gerelateerd object,https://anet.be/record/rub/opacrub/tg:rubgr:2644,Verwijzing naar Grossmann object,,,
