ResourceID,brocade.id,card,order,Production Technique Type,source_code
449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,tg:rubgr:2167,ProductionTechniques,1,handwriting,dtrvnt
b7769732-1102-575a-97b1-9f9e27c2732d,tg:rubgr:2171,ProductionTechniques,1,handwriting,dtrvnt
a92134b5-0ae2-5049-83e8-8a59785c8357,tg:rubgr:2433,ProductionTechniques,1,handwriting,dtrvnt
fb224144-3e5f-5edb-ba90-a21e0a17a872,tg:rubgr:2063,ProductionTechniques,1,handwriting,dtrvnt
245a391c-8e42-5d2a-a333-6f48ee5cd7b1,tg:rubgr:2448,ProductionTechniques,1,handwriting,dtrvnt
708ed429-392e-5eca-8a18-65eae43c07fe,tg:rubgr:1399,ProductionTechniques,2,handwriting,dtrvnt
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,ProductionTechniques,1,handwriting,dtrvnt
ecd10fbe-04eb-5005-805b-d8ef18e05da3,tg:rubgr:2235,ProductionTechniques,1,infrared photography,dtrvif
69f08c39-b838-57b1-98b6-0d04ac59ebf9,tg:rubgr:2429,ProductionTechniques,1,handwriting,dtrvnt
dbda26c2-c6ed-5f8e-98bf-d7a3763db587,tg:rubgr:2307,ProductionTechniques,1,handwriting,dtrvnt
21b98523-1953-5222-bf58-55dc47fb9c51,tg:rubgr:1747,ProductionTechniques,1,handwriting,dtrvnt
6785c56a-cdc0-5343-beb9-09959d5651a8,tg:rubgr:2311,ProductionTechniques,1,handwriting,dtrvnt
d53effcf-3a9e-5484-88f4-b10fd749efa2,tg:rubgr:2278,ProductionTechniques,1,handwriting,dtrvnt
865dad8b-53d3-5f68-929c-9321e4733174,tg:rubgr:2151,ProductionTechniques,1,handwriting,dtrvnt
931e776c-4cde-5a59-8092-a24eb9b837bb,tg:rubgr:1395,ProductionTechniques,2,handwriting,dtrvnt
33e6cb98-f088-5610-aa3a-346865cb1d69,tg:rubgr:2393,ProductionTechniques,1,handwriting,dtrvnt
437b3ab5-c7de-59c1-961f-55e0306ecb85,tg:rubgr:2280,ProductionTechniques,1,handwriting,dtrvnt
9e371504-c02c-5d27-8a8c-41ee890baee6,tg:rubgr:2150,ProductionTechniques,1,handwriting,dtrvnt
3ee7047c-78cb-536a-8a9e-9528664bc93a,tg:rubgr:2279,ProductionTechniques,1,handwriting,dtrvnt
b81ff850-c2f8-5cbd-8d2c-057c07f55b82,tg:rubgr:2347,ProductionTechniques,1,handwriting,dtrvnt
acd147e9-2051-5b99-a0b3-099b9b5c84ac,tg:rubgr:2193,ProductionTechniques,1,handwriting,dtrvnt
77cc2bdd-4788-5c63-ba14-f60e706e9a76,tg:rubgr:3151,ProductionTechniques,1,handwriting,dtrvnt
ee1c0d14-5963-56a2-aa18-5febed47009d,tg:rubgr:2255,ProductionTechniques,1,handwriting,dtrvnt
810e529c-4cfb-5f36-9b0e-339276216d32,tg:rubgr:1316,ProductionTechniques,1,handwriting,dtrvnt
2fb1321d-d223-5774-b87d-b7e11754b904,tg:rubgr:2306,ProductionTechniques,1,handwriting,dtrvnt
29b31f8d-19f8-552b-a7b1-02a44fff02ef,tg:rubgr:883,ProductionTechniques,1,handwriting,dtrvnt
5001e9ad-b31c-51a2-9dbd-7750882316e5,tg:rubgr:2058,ProductionTechniques,1,handwriting,dtrvnt
1c673a0f-cf90-534d-9a0f-9ce0acc1098e,tg:rubgr:2222,ProductionTechniques,1,handwriting,dtrvnt
9a58cc1f-600e-52f0-befa-3fa3a600d2b1,tg:rubgr:2367,ProductionTechniques,1,handwriting,dtrvnt
ea58ae57-3beb-5687-a3c3-7dde4b31653c,tg:rubgr:2275,ProductionTechniques,1,handwriting,dtrvnt
df3facf0-800b-5a3f-8bf2-d13da174eef7,tg:rubgr:3389,ProductionTechniques,2,handwriting,dtrvnt
22292a2d-27b0-529f-8b30-7cbcb86d78ea,tg:rubgr:2432,ProductionTechniques,1,handwriting,dtrvnt
d1baff79-f320-51b9-ba5b-ea42cf01bdd8,tg:rubgr:2062,ProductionTechniques,1,handwriting,dtrvnt
23b4c1d3-4e3e-5a71-b189-6b026e45c57b,tg:rubgr:2166,ProductionTechniques,1,handwriting,dtrvnt
2b42041e-fa5d-5a03-b391-c5b23a05fbea,tg:rubgr:2189,ProductionTechniques,1,handwriting,dtrvnt
01c8e252-0dd6-595d-bf6d-27747e0a3e2f,tg:rubgr:2356,ProductionTechniques,1,handwriting,dtrvnt
99bfa22e-3078-53b7-81cf-9a1742817766,tg:rubgr:2317,ProductionTechniques,1,handwriting,dtrvnt
d1747915-90a9-50d5-80a9-b2ffd1e7f4c8,tg:rubgr:1645,ProductionTechniques,1,handwriting,dtrvnt
403e04e0-99d1-5eb1-84f2-0fd960b6ad7c,tg:rubgr:2291,ProductionTechniques,1,handwriting,dtrvnt
35d9d58f-2f6d-5f20-b613-c3b51cc62175,tg:rubgr:2045,ProductionTechniques,1,handwriting,dtrvnt
60024bf2-04c6-5cdd-b9cf-8c7f68bbcb60,tg:rubgr:2395,ProductionTechniques,1,handwriting,dtrvnt
4fb2b437-4544-5320-aefc-0b96d55d3601,tg:rubgr:797,ProductionTechniques,1,handwriting,dtrvnt
b00e3e7d-9dd4-5966-9628-c8deed0cdb59,tg:rubgr:71,ProductionTechniques,1,infrared photography,dtrvif
